Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
12/12/2024 07:15 a. m.,Ordeño,11:35,18.63,1,,,,,1,,0.78,0.66,0.66,0.54,1163,1420,379,0,4.94,5.09,5.09,0.00,VMS 1,,Drenaje,Separada manualmente,1.38,1.20,1.20,1.08,4.85,4.32,4.82,4.64
14/12/2024 03:03 p. m.,Ordeño,11:35,15.05,1,,,,,1,,0.78,0.54,0.84,0.72,1087,4060,380,0,4.62,4.42,4.41,0.00,VMS 1,,Divert 3,Sangre por pezón por encima del umbral,1.32,1.08,1.38,1.62,2.60,3.15,4.37,4.93
15/12/2024 08:20 a. m.,Ordeño,09:58,9.37,1,,,TD,,1,,0.72,0.60,0.78,0.60,0,983,0,0,4.63,4.76,4.34,0.00,VMS 1,,Tanque,,1.26,1.02,1.14,1.08,2.26,2.24,3.23,1.64
16/12/2024 09:48 p. m.,Ordeño,10:47,21.35,1,,TD,,,1,,0.84,0.84,0.96,0.84,0,1012,0,0,4.98,5.25,4.92,0.00,VMS 1,,Divert 3,Sangre por pezón por encima del umbral,1.38,1.26,1.50,1.26,4.39,5.03,6.89,5.04
18/12/2024 09:28 p. m.,Ordeño,09:44,15.38,1,,,,,1,,0.66,0.66,0.96,0.84,0,0,0,0,4.56,4.81,4.63,0.00,VMS 1,,Tanque,,1.26,1.08,1.38,1.26,3.01,2.98,6.21,3.18
20/12/2024 07:14 p. m.,Ordeño,08:09,10.65,1,,,,,1,,0.66,0.60,0.90,0.78,0,0,0,0,4.84,4.67,4.52,0.00,VMS 1,,Tanque,,1.08,1.08,1.32,1.20,2.44,2.50,3.02,2.69
21/12/2024 06:07 a. m.,Ordeño,07:06,6.12,1,,,,,1,,0.60,0.60,0.72,0.72,0,0,0,0,4.77,4.35,4.23,0.00,VMS 1,,Tanque,,0.96,0.96,1.20,1.02,1.29,1.42,1.73,1.68
23/12/2024 09:22 p. m.,Ordeño,09:14,8.59,2,,,TI,,1,,0.66,0.60,0.66,0.72,0,0,0,0,4.60,4.38,3.90,0.00,VMS 1,,Tanque,,1.08,1.02,1.08,1.08,2.29,2.39,1.12,2.79
02/01/2025 06:19 a. m.,Ordeño,09:49,12.55,1,,,,,1,TI,0.66,0.60,0.90,0.72,0,0,0,0,5.74,4.87,6.60,0.00,VMS 1,,Tanque,,1.08,1.08,1.44,1.08,2.79,2.45,4.46,2.85
10/01/2025 10:14 p. m.,Ordeño,15:04,13.22,1,,,TI,TI,1,,0.72,0.54,0.00,0.72,0,0,0,0,5.76,5.79,0.00,5.18,VMS 3,,Tanque,,1.26,0.96,0.00,1.20,4.17,3.89,0.00,5.16
