Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
12/10/2025 06:30 a. m.,Ordeño,07:58,14.86,1,,,,,1,TD,1.08,1.02,1.14,0.84,1684,0,0,0,5.86,5.66,4.72,7.37,VMS 3,,Divert 3,,1.62,1.62,1.56,1.26,4.21,4.31,3.82,2.52
16/10/2025 10:51 a. m.,Ordeño,06:21,12.92,1,,,,,1,TD,1.02,1.08,1.14,0.96,0,0,0,0,4.68,5.08,4.86,5.75,VMS 3,,Tanque,,1.56,1.50,1.62,1.44,2.49,4.18,3.51,2.74
19/10/2025 05:52 a. m.,Ordeño,10:51,15.87,1,,,,,1,"DI,TD",0.96,1.02,0.90,0.90,442,0,0,0,6.24,5.86,4.61,6.27,VMS 3,,Tanque,,1.62,1.50,1.32,1.38,3.94,4.02,3.80,4.11
10/10/2025 11:19 a. m.,Ordeño,11:45,11.08,1,,,,,0,,0.96,0.96,1.14,0.60,685,0,384,0,5.82,5.64,5.52,5.58,VMS 3,,Divert 3,,1.38,1.38,1.44,1.62,3.31,3.27,3.33,1.17
13/10/2025 09:09 p. m.,Ordeño,12:18,6.54,1,,,,"DI,DD",0,TI,0.00,0.18,0.96,1.26,0,0,0,0,0.00,0.00,7.77,5.31,VMS 3,,Tanque,,0.00,0.54,1.32,1.68,0.00,0.07,2.21,4.26
15/10/2025 05:55 a. m.,Ordeño,07:50,10.11,1,,,,,0,DD,1.14,0.66,1.20,0.96,641,0,0,0,4.24,5.01,4.33,4.71,VMS 3,,Tanque,,1.80,1.20,1.62,1.44,3.33,1.15,3.49,2.14
17/10/2025 03:21 a. m.,Ordeño,08:45,8.08,1,,,DI,DI,0,,0.00,0.96,0.96,1.02,0,0,0,0,0.00,4.77,4.66,4.71,VMS 3,,Tanque,,0.00,1.50,1.38,1.38,0.00,2.71,2.19,3.18
17/10/2025 05:42 p. m.,Ordeño,14:10,8.44,2,,,TI,TI,0,TD,0.84,0.90,0.00,0.96,0,0,0,301,4.78,4.91,0.00,5.58,VMS 3,,Tanque,,1.38,1.56,0.00,1.56,2.29,2.68,0.00,3.47
20/10/2025 12:42 a. m.,Ordeño,13:38,5.37,1,,,"DD,TI","DD,TI",0,,0.90,0.18,0.00,0.90,0,0,0,0,4.86,0.00,0.00,4.75,VMS 3,,Tanque,,1.38,0.42,0.00,1.32,2.43,0.06,0.00,2.88
20/10/2025 07:46 a. m.,Ordeño,09:01,9.26,2,,,,,0,,1.02,0.84,0.72,0.78,0,0,0,0,5.10,4.82,4.75,5.30,VMS 3,,Tanque,,1.44,1.38,1.32,1.14,3.83,1.43,1.24,2.76
10/10/2025 11:18 a. m.,Echada sin ordeñar,00:08,,,,,,,,,,,,,,,,,,,,,VMS 3,,,,,,,,,,,
