Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
14/12/2024 08:14 a. m.,Ordeño,05:22,6.08,1,,,,,1,,1.26,0.96,1.02,0.90,2063,0,0,0,4.80,4.57,4.30,4.22,VMS 3,,Divert 3,,2.28,1.68,1.80,2.04,1.92,1.45,1.47,1.24
20/12/2024 07:50 p. m.,Ordeño,05:14,14.08,2,,,,,1,,1.68,1.68,1.32,1.38,375,0,0,0,4.65,4.72,4.65,4.54,VMS 3,,Tanque,,2.22,2.16,1.74,1.92,3.83,3.55,3.06,3.64
30/12/2024 11:21 p. m.,Ordeño,07:21,15.10,2,,,,,1,"DI,DD",1.74,1.50,1.08,1.44,0,0,0,0,4.48,4.39,3.60,3.85,VMS 3,,Tanque,,2.28,2.10,1.74,1.98,3.93,3.75,3.70,3.72
31/12/2024 07:00 p. m.,Ordeño,05:38,15.36,1,,,,,1,,1.86,1.56,1.26,1.38,0,0,0,0,4.39,4.36,4.26,4.00,VMS 3,,Tanque,,2.46,2.28,1.74,1.98,4.11,3.96,3.43,3.86
22/07/2025 03:16 p. m.,Ordeño,06:04,23.47,1,,,,,1,DI,2.22,2.46,1.56,1.80,0,0,0,0,4.76,4.20,4.26,4.06,VMS 2,,Tanque,,2.82,3.06,2.04,2.28,5.56,6.15,5.59,6.17
25/07/2025 10:24 a. m.,Ordeño,07:47,25.38,1,,TI,,,1,,2.04,2.34,1.62,1.86,0,0,0,0,4.29,3.99,4.42,4.04,VMS 2,,Tanque,,2.58,2.82,2.10,3.18,5.16,6.19,6.83,7.20
09/10/2025 01:26 p. m.,Ordeño,05:45,21.05,1,,TI,,,1,,2.46,2.28,1.98,1.98,0,0,0,0,3.82,4.29,4.29,2.88,VMS 3,,Tanque,,3.24,3.00,2.64,3.24,5.66,3.64,5.33,6.42
13/12/2024 07:25 p. m.,Ordeño,08:59,6.12,1,,,,,0,DI,0.60,0.54,0.60,0.48,3350,484,1095,0,5.12,4.35,3.99,3.97,VMS 3,,Divert 3,,1.86,1.20,1.56,1.20,1.67,1.48,1.51,1.46
14/12/2024 03:14 p. m.,Ordeño,04:41,4.86,2,,,,,0,,1.32,1.26,1.02,1.20,1245,0,0,0,4.98,4.82,4.55,4.67,VMS 3,,Divert 3,,2.40,2.22,1.74,1.98,1.40,1.29,0.92,1.25
14/12/2024 11:45 p. m.,Ordeño,05:24,5.78,3,,,,,0,,1.50,1.38,0.96,1.20,849,0,0,0,4.76,4.86,4.63,4.51,VMS 3,,Divert 3,,2.40,2.28,1.68,2.34,1.53,1.70,0.95,1.60
15/12/2024 10:50 a. m.,Ordeño,05:46,8.87,1,,,,,0,,1.86,1.62,1.26,1.38,866,0,0,0,4.81,4.60,4.57,4.44,VMS 3,,Divert 3,,2.88,2.58,1.80,2.22,2.76,2.55,1.67,1.89
15/12/2024 09:10 p. m.,Ordeño,04:34,9.34,2,,,,,0,,1.80,1.74,1.32,1.50,968,0,0,0,4.58,4.70,4.63,4.19,VMS 3,,Divert 3,,2.76,2.52,1.98,2.40,2.49,2.58,1.91,2.36
16/12/2024 12:28 p. m.,Ordeño,05:05,12.54,1,,,,,0,,1.86,1.86,1.44,1.50,853,0,0,0,4.57,4.62,4.62,4.48,VMS 3,,Tanque,,2.88,2.94,1.92,2.16,3.50,3.59,2.43,3.02
16/12/2024 09:17 p. m.,Ordeño,04:28,8.26,2,,,,,0,,1.74,1.62,1.26,1.38,1034,0,0,0,4.77,4.82,4.77,4.61,VMS 3,,Tanque,,2.46,2.34,1.68,1.98,2.05,2.34,1.96,1.91
17/12/2024 12:07 p. m.,Ordeño,06:03,12.57,1,,,,,0,,1.92,1.74,1.38,1.32,725,0,0,0,4.51,4.41,4.39,4.24,VMS 3,,Tanque,,2.58,2.52,1.92,1.92,3.34,3.62,2.61,3.00
17/12/2024 11:51 p. m.,Ordeño,06:41,11.48,2,,TD,,,0,,1.80,1.56,1.32,1.50,518,0,0,0,4.62,4.47,4.35,4.32,VMS 3,,Tanque,,2.46,2.16,1.92,1.98,3.45,3.30,2.34,2.39
18/12/2024 04:32 p. m.,Ordeño,07:38,15.07,1,,DI,,,0,,2.04,1.68,1.38,1.50,379,0,0,0,4.67,4.46,4.70,4.46,VMS 3,,Tanque,,2.52,2.40,1.92,2.16,3.54,4.45,3.14,3.94
19/12/2024 01:44 a. m.,Ordeño,04:47,8.54,1,,TI,TI,TI,0,,1.68,1.56,0.90,1.14,1481,0,0,0,4.41,4.40,3.02,2.84,VMS 3,,Tanque,,2.16,2.04,1.56,1.92,3.11,2.62,0.19,2.62
19/12/2024 07:45 a. m.,Ordeño,04:52,8.03,2,,,,,0,,1.68,1.56,1.26,1.14,472,0,0,0,4.34,4.41,4.49,3.98,VMS 3,,Tanque,,2.40,2.22,1.62,1.74,1.66,1.93,2.94,1.50
