Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
01/02/2025 06:08 a. m.,Ordeño,09:03,14.34,1,,,,,1,,0.78,0.60,0.72,0.78,2386,0,0,0,4.79,4.96,4.91,4.84,VMS 3,,Divert 3,,1.26,1.02,1.20,1.14,3.72,3.40,3.61,3.61
01/02/2025 08:59 p. m.,Ordeño,09:27,10.63,2,,TD,,,1,,0.54,0.36,0.60,0.66,1352,0,0,0,3.99,4.33,4.22,4.07,VMS 3,,Divert 3,,0.84,1.14,0.96,1.08,3.03,1.41,2.99,3.20
03/02/2025 08:48 p. m.,Ordeño,11:44,16.92,1,,,,,1,,0.72,0.48,0.60,0.72,636,0,0,0,4.60,4.75,4.47,4.47,VMS 3,,Divert 3,,1.08,0.72,1.02,1.08,4.64,2.40,4.87,5.01
06/02/2025 11:03 a. m.,Ordeño,12:30,16.92,1,,TD,,,1,,0.78,0.48,0.72,0.72,375,0,0,0,4.08,4.30,4.10,4.21,VMS 3,,Tanque,,1.20,0.78,1.74,1.38,4.46,3.39,4.36,4.71
08/02/2025 11:30 a. m.,Ordeño,10:05,12.24,1,,"TI,TD",,,1,,0.60,0.48,0.60,0.78,1167,0,0,0,4.05,4.16,4.43,4.10,VMS 3,,Divert 3,Sangre por pezón por encima del umbral,1.08,1.02,0.96,1.20,2.42,3.34,2.75,3.73
13/02/2025 11:59 a. m.,Ordeño,12:54,14.24,1,,"DD,TI,TD",,,1,TI,0.60,0.42,0.72,0.66,0,317,0,0,4.59,4.00,4.96,0.00,VMS 1,,Tanque,,1.32,1.08,1.14,1.32,3.56,2.43,4.14,4.11
08/03/2025 07:49 a. m.,Ordeño,13:57,17.77,1,,,,,1,,0.72,0.60,0.60,0.54,0,0,0,0,4.58,4.72,4.91,0.00,VMS 1,,Tanque,,1.08,1.20,0.90,0.96,4.41,4.15,4.70,4.51
16/03/2025 12:30 p. m.,Ordeño,13:56,10.83,2,,,,,1,TD,0.48,0.48,0.54,0.54,0,0,0,0,4.13,4.26,4.52,5.12,VMS 2,,Tanque,,0.84,0.78,0.84,1.08,2.18,2.05,2.25,4.35
28/03/2025 06:27 p. m.,Ordeño,14:08,16.37,1,,,,,1,,0.54,0.66,0.54,0.54,0,0,0,0,4.93,5.03,5.01,5.34,VMS 2,,Tanque,,0.96,1.14,0.90,1.20,3.95,4.29,3.96,4.17
02/04/2025 07:43 p. m.,Ordeño,13:39,9.65,3,,,,,1,,0.54,0.54,0.42,0.36,0,0,0,0,5.07,4.47,4.73,5.10,VMS 2,,Tanque,,1.08,0.84,0.72,0.84,4.39,1.80,1.94,1.52
