Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
02/12/2023 01:38 a. m.,Ordeño,04:48,9.94,1,,,,,1,,1.38,1.50,1.14,1.02,3440,3206,970,2082,5.55,4.98,5.34,5.17,VMS 3,,Divert 3,,1.86,2.10,1.56,1.32,2.72,2.56,2.30,2.36
02/12/2023 05:55 p. m.,Ordeño,06:26,14.08,2,,,,,1,,1.44,1.50,1.14,1.02,1923,1800,373,982,5.36,4.94,4.96,5.04,VMS 3,,Divert 3,,2.04,2.28,1.62,1.38,3.43,3.49,3.55,3.61
03/12/2023 08:21 a. m.,Ordeño,05:10,13.03,1,,,,,1,,1.08,1.32,1.14,0.90,1425,1206,0,681,5.16,4.95,4.84,4.88,VMS 3,,Divert 3,,1.44,1.86,1.62,1.32,3.18,3.48,3.27,3.10
03/12/2023 11:07 p. m.,Ordeño,07:39,13.00,2,,,,,1,,1.32,1.32,1.14,0.84,1127,498,0,0,5.22,4.81,4.87,4.86,VMS 3,,Divert 3,,1.74,1.74,1.56,1.26,3.29,3.33,3.17,3.21
04/12/2023 05:55 p. m.,Ordeño,08:15,16.01,1,,,,,1,,1.20,1.20,1.02,0.84,1314,0,0,0,5.27,4.95,4.84,4.98,VMS 3,,Divert 3,,1.56,1.62,1.50,1.26,3.92,4.45,3.83,3.81
06/12/2023 11:50 a. m.,Ordeño,09:26,17.05,1,,,,,1,,1.20,1.20,1.14,0.72,3516,0,0,0,5.72,5.09,4.92,5.36,VMS 3,,Divert 3,Sangre por pezón por encima del umbral,1.68,1.56,1.44,1.50,4.29,4.79,3.73,4.24
11/12/2023 01:02 a. m.,Ordeño,08:30,18.66,1,,,,,1,,1.32,1.20,0.90,0.90,1097,0,0,0,4.93,4.72,5.04,5.01,VMS 3,,Divert 3,Sangre por pezón por encima del umbral,1.92,1.86,1.32,1.32,4.34,4.73,4.90,4.69
14/12/2023 01:57 p. m.,Ordeño,07:46,16.98,1,,,,,1,,1.26,1.26,0.90,0.84,993,0,0,0,5.00,4.82,4.64,4.70,VMS 3,,Tanque,,1.74,1.68,1.26,1.26,4.12,4.54,4.20,4.12
14/02/2024 05:19 a. m.,Ordeño,10:07,9.61,1,,,"DI,DD,TI",,1,DI,1.32,0.90,0.96,0.96,518,0,0,0,6.13,5.19,5.15,4.96,VMS 3,,Tanque,,2.16,1.62,1.56,1.50,2.32,1.96,2.59,2.74
15/02/2024 09:06 a. m.,Ordeño,20:28,2.83,1,,,Todos,TD,1,DI,1.02,1.08,0.60,0.00,0,701,0,0,6.54,4.18,4.02,0.00,VMS 3,,Tanque,,1.98,1.56,0.96,0.00,0.99,0.88,0.96,0.00
15/02/2024 09:52 p. m.,Ordeño,13:21,6.04,2,,TI,"DI,DD,TI",,1,"DI,TD",0.96,0.96,0.78,0.96,0,0,0,0,5.84,4.75,4.61,5.95,VMS 3,,Tanque,,1.68,1.38,1.14,1.26,0.97,1.20,1.65,2.22
16/02/2024 11:36 a. m.,Ordeño,08:48,8.60,1,,,"DD,TD",,1,,3.12,1.08,0.84,0.78,0,0,0,0,3.14,4.47,4.65,4.36,VMS 3,,Tanque,,1.06,1.56,1.20,1.32,2.71,2.03,2.07,1.79
17/02/2024 11:20 a. m.,Ordeño,11:42,7.86,2,,,DI,,1,TI,0.54,1.02,0.96,0.78,0,0,0,0,4.09,4.59,6.49,4.51,VMS 3,,Tanque,,1.08,1.44,1.44,1.26,0.30,1.56,4.42,1.58
17/02/2024 08:24 p. m.,Ordeño,11:55,7.00,3,,,DI,,1,DI,0.60,1.26,0.72,0.90,0,0,0,0,5.65,4.78,4.53,0.00,VMS 1,,Tanque,,1.08,1.68,1.14,1.38,0.48,2.38,1.64,2.50
18/02/2024 05:31 p. m.,Ordeño,14:34,12.00,3,,TD,,,1,TI,0.66,1.20,1.02,1.20,0,0,0,0,5.05,5.13,6.26,0.00,VMS 1,,Tanque,,1.20,1.62,1.50,1.68,0.51,4.11,3.83,3.55
