Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
29/11/2023 10:59 a. m.,Ordeño,12:07,10.99,1,,,,,1,,0.78,0.60,0.54,0.48,2611,1190,574,474,5.62,5.30,5.01,5.17,VMS 3,,Divert 3,,1.20,0.96,0.96,0.90,2.49,2.95,2.94,2.61
01/12/2023 10:49 a. m.,Ordeño,15:54,10.56,1,,,,,1,,0.72,0.48,0.60,0.42,1159,0,0,0,4.43,4.59,4.73,4.54,VMS 3,,Divert 3,,1.08,0.90,1.02,0.66,2.24,3.14,2.62,2.56
03/12/2023 12:18 a. m.,Ordeño,16:21,15.85,1,,,,,1,,0.84,0.66,0.60,0.42,1412,0,0,0,4.81,4.95,4.49,4.44,VMS 3,,Tanque,,1.32,1.02,0.90,0.78,3.67,4.41,4.12,3.65
10/12/2023 03:40 p. m.,Ordeño,11:09,11.70,2,,,,,1,"DI,DD",0.78,0.60,0.54,0.54,4214,0,0,0,5.20,4.48,4.15,3.60,VMS 3,,Tanque,,1.20,0.90,0.90,0.90,2.66,2.18,4.12,2.74
11/12/2023 08:16 p. m.,Ordeño,07:51,4.07,3,,,TD,TD,1,,0.54,0.54,0.54,0.00,0,0,0,0,4.52,4.32,3.85,0.00,VMS 3,,Tanque,,0.90,0.84,0.84,0.00,0.59,1.48,2.00,0.00
20/12/2023 05:06 a. m.,Ordeño,10:52,13.45,1,,,,,1,,0.90,0.72,0.60,0.42,0,0,0,0,4.15,4.30,4.18,4.65,VMS 3,,Tanque,,1.44,1.08,0.96,0.72,3.56,4.08,4.60,1.21
22/12/2023 01:48 a. m.,Ordeño,09:08,11.22,1,,,,,1,TD,0.84,0.60,0.60,0.48,310,0,0,0,4.17,3.98,3.86,5.35,VMS 3,,Tanque,,1.14,0.90,1.02,0.78,4.09,2.04,2.42,2.67
22/12/2023 12:41 p. m.,Ordeño,11:43,11.96,2,,,,,1,,0.78,0.72,0.60,0.42,0,0,0,0,4.19,4.39,4.28,4.83,VMS 3,,Tanque,,1.44,0.96,1.02,0.66,2.95,3.73,4.22,1.06
25/12/2023 03:15 a. m.,Ordeño,11:27,13.16,1,,,,,1,TD,0.84,0.54,0.54,0.42,0,0,0,0,4.29,4.00,4.04,7.10,VMS 3,,Tanque,,1.20,0.90,0.96,0.90,3.82,3.08,3.31,2.95
25/12/2023 07:18 p. m.,Ordeño,19:21,12.94,2,,TD,,TD,1,,0.66,0.54,0.60,0.36,0,0,0,0,4.40,4.40,4.33,3.69,VMS 3,,Tanque,,1.20,0.96,1.32,0.84,3.50,3.68,5.65,0.11
27/12/2023 02:13 a. m.,Ordeño,10:07,9.87,1,,,,,1,TD,0.72,0.60,0.60,0.48,0,0,0,0,4.03,3.94,3.90,7.50,VMS 3,,Tanque,,1.14,1.08,1.02,0.78,1.83,2.47,2.79,2.78
02/01/2024 12:03 p. m.,Ordeño,13:08,16.29,1,,,TD,TD,1,,0.84,0.78,0.78,0.00,0,0,0,0,4.75,4.57,4.39,0.00,VMS 3,,Tanque,,1.26,1.44,1.14,0.00,3.84,6.14,6.31,0.00
10/01/2024 03:51 p. m.,Ordeño,14:44,16.76,1,,,,TD,1,,0.96,0.72,0.72,0.00,403,0,0,0,4.51,4.33,4.16,0.00,VMS 3,,Tanque,,1.38,1.20,1.08,0.00,4.87,5.42,6.47,0.00
11/01/2024 10:37 a. m.,Ordeño,13:09,15.62,1,,,,TD,1,,0.90,0.78,0.72,0.00,0,0,0,0,4.64,4.45,4.13,0.00,VMS 3,,Tanque,,1.32,1.20,1.08,0.00,4.58,5.68,5.36,0.00
13/01/2024 03:05 p. m.,Ordeño,11:56,14.53,2,,,,,1,TD,0.84,0.72,0.66,0.42,0,0,0,0,4.50,4.43,4.38,10.18,VMS 3,,Tanque,,1.20,1.14,1.08,1.32,3.79,4.35,5.38,1.01
13/01/2024 11:50 p. m.,Ordeño,10:11,11.53,1,,,,,1,TD,0.84,0.72,0.66,0.42,0,0,0,0,4.38,4.34,4.26,8.91,VMS 3,,Tanque,,1.20,1.08,0.96,1.20,3.08,3.80,4.32,0.33
14/01/2024 05:25 p. m.,Ordeño,13:38,16.33,1,,,TI,TI,1,TI,0.84,0.78,0.30,0.72,0,0,0,0,4.54,4.41,6.43,4.23,VMS 3,,Tanque,,1.32,1.38,0.96,1.14,4.15,6.20,0.19,5.79
17/01/2024 07:46 p. m.,Ordeño,12:19,12.36,2,,DD,,,1,TD,0.84,0.78,0.78,0.42,0,0,0,0,4.15,4.11,3.97,10.85,VMS 3,,Tanque,,1.56,1.56,1.20,0.66,3.30,2.78,4.79,1.49
18/01/2024 03:04 a. m.,Ordeño,09:53,8.69,1,,DI,,TD,1,TD,0.72,0.78,0.66,0.18,0,0,0,0,4.05,4.19,4.10,7.50,VMS 3,,Tanque,,1.50,1.38,0.96,0.30,0.80,4.46,3.33,0.10
18/01/2024 05:53 p. m.,Ordeño,14:04,16.07,2,,,,DD,1,,1.02,0.00,0.66,0.72,373,0,0,0,4.58,0.00,4.31,4.39,VMS 3,,Tanque,,1.44,0.00,1.14,1.14,5.17,0.00,5.85,5.05
19/01/2024 07:12 p. m.,Ordeño,18:55,14.12,2,,,TD,TD,1,,0.90,0.72,0.54,0.00,0,0,0,0,4.87,4.56,4.04,0.00,VMS 3,,Tanque,,1.50,1.14,1.02,0.00,4.08,5.01,5.03,0.00
20/01/2024 12:37 a. m.,Ordeño,13:20,10.43,1,,,,,1,TD,0.78,0.66,0.66,0.42,0,0,0,0,4.04,3.93,4.02,7.64,VMS 3,,Tanque,,1.14,1.02,1.02,0.66,2.66,3.14,3.17,1.46
20/01/2024 01:55 p. m.,Ordeño,13:21,15.67,2,,,,,1,TD,1.02,0.78,0.66,0.24,0,0,0,0,4.53,4.36,4.09,5.83,VMS 3,,Tanque,,1.56,1.56,1.20,0.54,4.45,5.20,5.77,0.25
25/01/2024 06:39 p. m.,Ordeño,09:16,8.62,2,,,,,1,TD,0.78,0.72,0.66,0.30,1602,0,0,0,4.00,3.89,3.93,8.24,VMS 3,,Tanque,,1.20,1.02,1.02,0.78,2.45,2.96,2.94,0.27
02/02/2024 05:03 a. m.,Ordeño,14:45,17.96,1,,TD,TD,TD,1,,1.02,0.78,0.72,0.24,0,0,0,0,5.02,5.11,5.06,5.49,VMS 2,,Tanque,,1.38,1.20,1.26,0.42,5.26,5.71,6.94,0.05
03/02/2024 05:18 a. m.,Ordeño,10:20,12.58,1,,TI,,,1,TD,1.08,0.72,0.72,0.42,0,0,0,0,5.07,4.60,4.76,7.84,VMS 2,,Tanque,,1.44,1.08,1.32,1.14,5.79,3.00,3.41,0.38
04/02/2024 03:23 a. m.,Ordeño,09:58,11.76,1,,,,,1,TD,0.78,0.66,0.60,0.36,0,0,0,0,4.23,4.29,4.28,8.38,VMS 2,,Tanque,,1.08,1.14,0.90,0.72,3.06,3.41,3.97,1.32
04/02/2024 09:47 p. m.,Ordeño,14:53,17.26,2,,"DD,TI",TD,TD,1,,1.08,0.78,0.66,0.00,0,0,0,0,4.49,4.57,4.58,0.00,VMS 2,,Tanque,,1.50,1.68,1.26,0.00,6.23,5.13,5.90,0.00
18/04/2024 10:26 p. m.,Ordeño,06:52,5.79,2,,,"DI,TI",,1,TI,0.24,0.90,0.48,,0,0,0,,4.93,4.92,10.32,,VMS 1,,Tanque,,0.54,1.32,0.84,,0.40,3.54,1.85,
19/04/2024 06:24 p. m.,Ordeño,11:55,14.57,1,,,DI,,1,DD,0.30,0.96,0.96,,0,0,0,,4.24,5.18,4.72,,VMS 1,,Tanque,,0.90,1.44,1.50,,0.64,6.67,7.26,
20/04/2024 06:58 p. m.,Ordeño,12:23,18.82,1,,DI,,,1,,1.20,0.84,0.96,,0,0,0,,4.42,5.04,5.11,,VMS 1,,Tanque,,1.80,1.86,1.44,,5.72,5.91,7.19,
