Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
19/07/2025 11:53 a. m.,Ordeño,10:31,7.30,2,,TD,,,1,,0.60,0.72,0.72,0.60,492,382,1579,797,4.30,4.98,4.72,4.56,VMS 3,,Divert 3,,0.96,1.14,1.20,0.96,1.62,1.28,3.08,1.32
20/07/2025 05:34 a. m.,Ordeño,08:03,10.44,1,,DD,,,1,,0.72,0.66,0.60,0.60,0,0,385,586,4.72,5.11,4.92,4.69,VMS 3,,Divert 3,,1.08,1.08,1.02,1.20,2.80,2.54,2.38,2.72
21/07/2025 12:19 a. m.,Ordeño,06:45,10.68,1,,,,,1,DI,0.78,0.78,0.72,0.66,0,0,0,0,5.55,5.04,4.89,4.68,VMS 3,,Divert 3,,1.14,1.14,1.08,0.96,2.69,2.54,2.67,2.78
22/07/2025 12:18 a. m.,Ordeño,08:00,12.51,1,,,,,1,,0.78,0.60,0.72,0.66,0,0,0,0,5.75,5.22,5.13,5.13,VMS 3,,Divert 3,,1.26,0.96,1.20,1.02,2.98,3.02,3.43,3.08
22/07/2025 04:55 p. m.,Ordeño,05:47,7.86,2,,,,,1,,0.78,0.66,0.66,0.60,0,0,0,0,4.94,4.76,4.76,4.50,VMS 3,,Tanque,,1.20,1.02,1.08,1.02,1.88,1.91,2.06,2.01
13/08/2025 10:42 p. m.,Ordeño,06:18,7.43,1,,,,,1,,0.72,0.72,0.60,0.54,0,0,0,0,5.00,4.87,5.00,0.00,VMS 1,,Tanque,,1.08,1.08,0.96,0.90,1.69,1.83,2.01,1.90
19/08/2025 05:15 p. m.,Ordeño,12:37,8.79,2,,TD,,,1,DI,0.78,0.72,0.72,1.32,0,0,0,0,5.81,4.17,0.00,3.69,VMS 1,,Tanque,,1.08,1.56,1.26,1.80,2.51,1.64,1.77,2.87
20/08/2025 02:18 p. m.,Ordeño,06:56,6.49,1,,,,,1,,0.72,0.78,0.60,0.54,0,0,0,0,5.06,4.90,5.05,0.00,VMS 1,,Tanque,,1.08,1.32,1.02,0.84,1.28,1.83,1.63,1.75
14/10/2025 07:19 p. m.,Ordeño,09:53,15.85,1,,,,,1,,0.84,0.72,0.72,0.60,0,0,0,0,5.07,5.00,4.85,4.31,VMS 3,,Tanque,,1.26,1.08,1.08,1.32,3.66,3.78,4.31,4.10
19/10/2025 10:59 p. m.,Ordeño,09:57,18.41,2,,,,,1,DI,0.78,0.90,0.78,0.66,0,0,0,0,5.32,5.09,4.89,4.33,VMS 3,,Tanque,,1.20,1.38,1.20,1.14,4.63,4.15,5.62,4.01
18/07/2025 09:25 a. m.,Ordeño,06:21,5.20,1,,,,,0,,0.78,0.60,0.66,0.60,7997,887,7992,3890,4.24,4.78,4.55,4.18,VMS 3,,Divert 3,,1.14,1.32,1.08,0.90,1.36,0.88,1.47,1.49
19/07/2025 01:01 a. m.,Ordeño,11:20,5.00,1,,,,,0,,0.78,0.60,0.66,0.84,3499,0,895,683,4.63,0.00,4.71,4.90,VMS 3,,Divert 3,,1.20,1.44,1.08,1.26,1.69,0.34,1.44,1.53
23/07/2025 07:06 a. m.,Ordeño,05:31,7.30,1,,,,,0,,0.78,0.72,0.72,0.72,0,0,0,0,4.66,4.84,4.70,4.70,VMS 3,,Tanque,,1.32,1.14,1.08,1.08,1.78,1.83,1.84,1.85
23/07/2025 06:19 p. m.,Ordeño,04:56,5.58,2,,,,,0,,0.78,0.66,0.66,0.60,0,0,0,0,4.84,4.75,4.77,4.54,VMS 3,,Tanque,,1.20,1.02,1.02,1.02,1.39,1.33,1.50,1.36
