Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
23/07/2023 05:36 p. m.,Ordeño,06:12,23.70,1,,,,,1,TI,1.86,1.56,1.86,1.98,0,0,0,0,5.11,4.75,5.35,4.49,VMS 3,,Tanque,,2.34,2.10,2.40,2.46,4.60,5.15,7.05,6.90
02/09/2023 11:03 a. m.,Ordeño,05:13,11.65,2,,,,,1,TI,1.38,1.44,2.04,1.44,0,0,0,0,4.15,4.38,5.71,4.05,VMS 3,,Tanque,,1.92,2.10,2.46,2.28,1.61,1.73,5.89,2.42
15/11/2023 05:55 p. m.,Ordeño,12:03,10.33,2,,,,TI,1,"DI,DD,TD",1.92,1.80,0.00,1.98,7550,2375,0,1267,4.66,4.92,0.00,5.06,VMS 3,,Divert 3,,2.76,2.82,0.00,2.82,3.02,3.60,0.00,3.71
16/11/2023 01:46 a. m.,Ordeño,10:07,7.50,1,,,,TI,1,"DI,DD,TD",1.80,1.86,0.00,1.92,7543,1981,0,1068,5.07,4.98,0.00,4.99,VMS 3,,Divert 3,,2.52,2.58,0.00,3.00,2.51,2.42,0.00,2.57
16/11/2023 09:09 a. m.,Ordeño,11:06,8.29,2,,,,TI,1,"DI,DD,TD",1.86,1.86,0.00,2.16,6843,1120,0,967,5.20,5.05,0.00,5.38,VMS 3,,Divert 3,,2.76,2.58,0.00,3.06,2.94,2.38,0.00,2.97
17/11/2023 05:18 p. m.,Ordeño,12:32,8.13,3,,,,TI,1,"DI,TD",1.98,1.80,0.00,2.10,1602,318,0,637,5.05,5.34,0.00,5.44,VMS 3,,Divert 3,,2.82,2.64,0.00,2.64,2.74,2.52,0.00,2.87
18/11/2023 12:02 a. m.,Ordeño,12:07,9.48,1,,,,TI,1,DI,1.92,1.86,0.00,1.86,1883,401,0,449,5.04,5.08,0.00,5.38,VMS 3,,Divert 3,,2.64,2.64,0.00,2.52,3.32,3.11,0.00,3.05
18/11/2023 07:09 a. m.,Ordeño,15:28,20.24,2,,,,,1,"DI,TI",1.86,1.62,1.80,1.86,682,304,669,0,5.03,4.67,5.40,5.32,VMS 3,,Divert 3,,2.76,2.34,2.64,3.24,3.60,3.59,9.06,3.99
19/11/2023 10:23 a. m.,Ordeño,10:49,13.85,3,,,,,1,,1.74,1.62,2.16,1.80,0,0,0,0,5.26,5.08,4.98,5.52,VMS 3,,Divert 3,,2.52,2.40,2.70,2.40,1.77,1.59,8.51,1.98
22/11/2023 11:50 a. m.,Ordeño,16:11,17.54,2,,,TI,TI,1,,2.04,1.98,0.00,1.98,0,0,0,0,5.25,4.67,0.00,5.64,VMS 3,,Tanque,,2.76,2.88,0.00,2.58,5.80,3.56,0.00,8.18
22/11/2023 09:55 p. m.,Ordeño,14:48,17.57,3,,,TI,TI,1,DI,2.04,1.98,0.00,2.04,675,0,0,0,4.60,4.65,0.00,5.12,VMS 3,,Divert 3,Sangre por pezón por encima del umbral,2.52,2.76,0.00,2.70,6.50,5.19,0.00,5.88
24/11/2023 08:40 a. m.,Ordeño,11:48,14.79,2,,"DI,TD",TI,TI,1,TD,2.04,1.26,0.00,1.92,0,0,0,0,4.37,3.44,0.00,4.59,VMS 2,,Tanque,,2.52,1.86,0.00,2.46,6.04,5.73,0.00,3.02
26/11/2023 05:21 a. m.,Ordeño,14:34,12.41,1,,DI,TD,TD,1,TI,1.62,1.68,1.86,0.00,0,0,0,0,4.19,4.33,5.71,0.00,VMS 2,,Tanque,,2.10,2.34,2.28,0.00,2.34,3.61,6.46,0.00
26/11/2023 10:35 p. m.,Ordeño,14:58,23.66,2,,"DI,TD",,,1,TI,1.92,1.74,1.74,1.86,0,0,0,0,4.20,4.52,5.36,4.56,VMS 2,,Tanque,,2.46,2.34,2.10,2.58,5.86,6.53,5.17,6.10
27/11/2023 01:38 p. m.,Ordeño,23:22,20.94,2,,Todos,,,1,TD,1.32,1.98,1.62,1.98,0,0,0,0,4.57,4.32,4.86,6.68,VMS 2,,Tanque,,2.16,2.52,2.10,2.34,4.74,4.69,5.11,6.40
28/11/2023 11:05 a. m.,Ordeño,04:56,25.15,1,,,,,1,TD,2.22,2.10,1.80,1.74,0,0,0,0,4.89,5.01,5.57,5.71,VMS 2,,Tanque,,2.76,2.70,2.40,2.40,7.65,6.43,7.09,3.98
19/03/2024 10:04 a. m.,Ordeño,09:03,16.93,2,,,,TI,1,TD,1.92,1.68,0.00,1.86,0,0,0,0,5.50,5.35,0.00,6.38,VMS 2,,Tanque,,2.46,2.40,0.00,2.34,4.51,4.69,0.00,7.73
20/05/2024 03:13 p. m.,Ordeño,06:55,16.31,2,,,,,1,TI,1.92,1.74,1.68,1.86,0,0,0,0,5.14,5.20,6.42,4.87,VMS 2,,Tanque,,2.52,2.28,2.40,2.46,3.05,2.57,6.96,3.73
21/05/2024 04:26 a. m.,Ordeño,08:23,19.34,1,,,,,1,,2.04,1.92,1.32,1.74,0,0,0,0,5.47,5.52,5.21,5.45,VMS 2,,Tanque,,2.64,2.76,2.10,2.34,5.38,4.60,2.52,6.84
27/05/2024 01:21 p. m.,Ordeño,10:04,14.98,2,,,,,1,,2.22,1.68,1.56,1.98,0,0,0,0,5.09,4.58,5.03,4.60,VMS 2,,Tanque,,4.38,2.46,2.10,2.70,4.01,2.42,3.20,5.35
13/06/2024 03:31 p. m.,Ordeño,06:08,15.53,2,,,,,1,TI,1.92,1.74,1.80,1.74,0,0,0,0,5.04,4.93,5.77,4.50,VMS 2,,Tanque,,2.46,2.28,2.34,2.34,3.10,2.91,6.03,3.49
11/09/2024 01:04 p. m.,Ordeño,05:38,19.64,1,,,,,1,,2.16,1.86,1.68,1.86,0,0,0,0,5.06,5.28,5.10,4.87,VMS 2,,Tanque,,2.76,2.58,2.10,2.40,4.72,4.26,4.28,6.38
11/09/2024 11:00 p. m.,Ordeño,05:16,9.99,2,,,,,1,,1.92,1.38,1.38,1.38,0,0,0,0,4.74,4.62,4.75,4.12,VMS 2,,Tanque,,2.52,1.92,2.04,2.28,2.41,2.01,2.06,3.51
12/09/2024 10:10 a. m.,Ordeño,06:57,10.03,1,,,TI,TI,1,,2.10,1.68,0.00,1.80,0,0,0,0,4.93,5.15,0.00,4.52,VMS 2,,Tanque,,2.88,2.28,0.00,2.52,3.10,2.67,0.00,4.26
14/09/2024 05:36 a. m.,Ordeño,04:13,12.53,1,,,,,1,,2.04,1.44,1.50,1.74,0,0,375,0,4.72,4.79,4.91,4.41,VMS 2,,Tanque,,2.70,2.28,1.98,2.34,2.90,2.84,2.52,4.27
18/09/2024 01:28 a. m.,Ordeño,05:53,11.90,1,,,,,1,,1.74,1.32,1.62,1.38,0,0,400,0,4.85,4.74,5.10,4.35,VMS 2,,Tanque,,2.70,2.22,2.04,2.46,2.18,2.16,3.88,3.68
26/09/2024 06:10 p. m.,Ordeño,07:16,16.69,2,,,,,1,TD,1.92,1.50,1.50,1.92,0,0,0,0,4.49,4.51,4.51,5.72,VMS 2,,Tanque,,2.34,2.16,1.98,2.34,3.25,3.18,2.55,7.71
28/10/2024 07:18 a. m.,Ordeño,09:11,6.29,1,,,TI,TI,1,,1.68,1.20,0.00,1.62,0,0,0,0,4.10,4.26,0.00,3.61,VMS 3,,Tanque,,2.52,1.68,0.00,2.28,2.27,1.44,0.00,2.58
09/05/2025 11:48 p. m.,Ordeño,09:39,7.20,4,,,Todos,,1,TD,0.96,0.54,1.62,1.20,0,0,0,0,5.59,5.31,5.83,7.77,VMS 2,,Tanque,,2.34,1.56,2.16,2.22,1.64,1.21,1.87,2.48
30/05/2025 10:37 a. m.,Ordeño,06:38,22.74,1,,,,,1,TD,2.10,2.16,2.22,0.54,0,0,0,0,6.41,5.52,5.88,9.78,VMS 3,,Tanque,,2.52,2.70,2.64,1.02,6.81,6.82,8.78,0.33
30/05/2025 05:57 p. m.,Ordeño,10:50,7.06,2,,,,TD,1,TD,1.56,1.98,1.74,0.12,0,0,0,0,5.04,4.94,4.93,7.04,VMS 3,,Tanque,,2.46,2.70,2.22,0.30,2.00,2.40,2.60,0.06
02/06/2025 05:13 p. m.,Ordeño,07:51,9.88,3,,,,TD,1,TD,1.86,1.98,1.74,0.18,0,0,0,0,5.54,5.27,5.36,7.37,VMS 3,,Tanque,,2.34,2.40,2.16,0.42,2.74,3.32,3.67,0.15
03/06/2025 05:39 p. m.,Ordeño,07:37,19.53,2,,,,,1,TD,2.04,1.92,2.28,0.42,0,0,0,0,5.18,4.95,5.52,8.78,VMS 3,,Tanque,,2.64,2.70,2.94,0.84,4.70,5.36,9.17,0.30
05/06/2025 10:45 p. m.,Ordeño,09:51,19.79,4,,,,,1,TD,2.04,2.10,2.04,0.48,0,0,0,0,5.48,5.15,5.41,6.57,VMS 3,,Tanque,,2.64,2.64,2.52,0.72,5.62,6.16,7.79,0.22
09/06/2025 03:45 p. m.,Ordeño,07:49,8.82,2,,DI,TI,TI,1,TD,2.34,1.86,0.00,0.36,0,0,0,0,4.82,4.65,0.00,7.84,VMS 3,,Tanque,,3.54,2.40,0.00,0.78,3.94,4.57,0.00,0.31
09/06/2025 08:12 p. m.,Ordeño,10:01,11.79,3,,,,TD,1,TD,1.86,1.80,1.98,0.18,0,0,0,0,4.95,4.79,5.31,6.23,VMS 3,,Tanque,,2.46,2.34,2.52,0.48,2.24,2.32,7.09,0.14
12/06/2025 05:25 p. m.,Ordeño,12:35,15.37,3,,,,,1,TD,1.98,1.98,1.98,0.36,0,0,0,600,5.27,5.01,5.31,6.57,VMS 3,,Tanque,,2.94,2.46,2.46,0.84,4.39,4.97,5.76,0.25
15/06/2025 12:39 p. m.,Ordeño,10:47,9.09,2,,,,TD,1,TD,2.10,1.80,1.92,0.24,0,0,0,0,4.34,4.63,4.78,7.50,VMS 3,,Tanque,,2.76,2.40,2.34,0.48,2.81,2.95,3.17,0.16
16/06/2025 08:13 a. m.,Ordeño,11:49,9.22,2,,,,TD,1,TD,1.86,1.80,1.86,0.24,0,0,0,1000,5.21,5.02,5.40,8.98,VMS 3,,Tanque,,2.40,2.46,2.52,0.54,2.63,2.82,3.64,0.13
17/06/2025 04:59 p. m.,Ordeño,08:36,7.41,3,,,TI,TI,1,TD,2.10,2.04,0.00,0.54,0,0,0,0,4.84,4.68,0.00,8.38,VMS 2,,Tanque,,2.82,2.70,0.00,1.02,3.45,3.60,0.00,0.36
18/06/2025 10:52 a. m.,Ordeño,08:01,9.03,2,,DI,TI,TI,1,TD,2.16,2.04,0.00,0.42,0,0,0,0,4.98,4.96,0.00,6.43,VMS 2,,Tanque,,3.06,2.58,0.00,0.96,3.60,5.11,0.00,0.32
21/06/2025 10:33 p. m.,Ordeño,09:37,8.31,4,,,TI,TI,1,TD,1.98,1.80,0.00,0.36,0,0,0,0,4.78,4.68,0.00,6.45,VMS 2,,Tanque,,2.76,2.52,0.00,0.78,3.77,4.23,0.00,0.31
26/06/2025 11:31 a. m.,Ordeño,09:46,14.35,3,,,,TD,1,"TI,TD",1.92,1.80,2.04,0.18,0,0,0,0,4.58,4.79,5.42,8.04,VMS 2,,Tanque,,2.70,2.46,2.70,0.30,2.43,2.39,9.35,0.18
29/06/2025 07:56 a. m.,Ordeño,10:11,8.90,2,,,,TI,1,"DD,TD",2.52,1.86,0.00,0.36,0,0,0,0,3.40,4.95,0.00,6.19,VMS 2,,Tanque,,0.10,2.40,0.00,0.78,4.72,3.86,0.00,0.32
01/07/2025 06:30 p. m.,Ordeño,09:39,9.36,3,,,TI,TI,1,TD,1.86,1.92,0.00,0.72,0,0,0,0,4.61,4.75,0.00,8.17,VMS 2,,Tanque,,2.52,2.64,0.00,1.26,4.26,4.69,0.00,0.41
02/07/2025 06:17 p. m.,Ordeño,08:00,13.19,3,,,,,1,TD,1.98,1.92,1.68,0.54,0,0,0,0,4.77,4.74,5.17,6.56,VMS 2,,Tanque,,2.58,2.70,2.28,1.02,4.63,4.67,3.55,0.34
06/07/2025 03:36 a. m.,Ordeño,08:59,6.83,1,,,TI,TI,1,TD,2.04,1.68,0.00,0.36,0,0,0,0,4.46,4.39,0.00,6.62,VMS 2,,Tanque,,2.70,2.22,0.00,0.72,3.39,3.11,0.00,0.33
10/07/2025 12:19 a. m.,Ordeño,08:11,13.33,1,,,,,1,TD,2.04,1.98,1.80,0.66,0,0,0,0,4.97,5.18,5.02,7.71,VMS 2,,Tanque,,2.70,2.70,2.52,1.44,3.64,5.04,4.33,0.32
11/07/2025 04:02 p. m.,Ordeño,07:50,17.52,3,,,,,1,TD,2.40,1.74,2.04,0.84,0,0,0,0,4.88,5.02,4.75,8.11,VMS 2,,Tanque,,3.12,2.40,2.64,1.38,5.29,5.86,5.76,0.61
14/07/2025 08:12 a. m.,Ordeño,07:08,24.69,1,,,,,1,TD,2.28,2.10,1.98,0.36,0,0,0,0,5.17,5.08,5.16,8.98,VMS 2,,Tanque,,3.06,2.76,2.46,0.84,7.44,6.79,10.06,0.40
15/07/2025 09:57 a. m.,Ordeño,08:52,22.91,1,,,,,1,TD,2.10,2.16,1.98,0.66,0,0,0,0,5.28,5.23,5.22,7.37,VMS 2,,Tanque,,2.82,2.70,2.52,1.44,6.50,6.16,9.87,0.38
19/07/2025 02:27 p. m.,Ordeño,09:01,8.19,3,,,TI,TI,1,TD,2.22,1.92,0.00,0.48,0,0,0,0,4.87,4.93,0.00,9.05,VMS 2,,Tanque,,3.06,2.40,0.00,1.26,3.89,3.93,0.00,0.37
