Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
22/01/2024 08:14 a. m.,Ordeño,06:55,7.47,1,,,,,1,,0.54,0.78,0.54,0.36,6372,1664,965,461,6.68,6.05,6.31,6.20,VMS 3,,Divert 3,,0.78,1.02,0.96,0.96,1.67,3.25,1.73,0.82
22/01/2024 05:22 p. m.,Ordeño,08:38,4.50,2,,,,,1,,0.48,0.66,0.36,0.36,7572,1243,1676,765,5.52,5.36,5.36,5.70,VMS 3,,Divert 3,,0.72,0.90,0.84,0.84,0.85,1.40,0.93,1.32
23/01/2024 07:54 p. m.,Ordeño,09:02,10.58,1,,,,,1,,0.66,0.72,0.54,0.48,1948,416,1462,1474,6.72,6.20,6.19,6.22,VMS 3,,Divert 3,,0.96,1.08,0.78,0.90,2.39,3.32,2.07,2.80
25/01/2024 02:25 a. m.,Ordeño,10:12,10.49,1,,TI,,,1,,0.42,0.60,0.54,0.48,1881,744,3650,2282,6.40,5.66,6.03,5.83,VMS 3,,Divert 3,Sangre por pezón por encima del umbral,1.02,0.90,1.20,0.78,2.16,3.24,2.42,2.67
25/01/2024 08:53 p. m.,Ordeño,16:41,9.28,2,,,,,1,,0.48,0.54,0.42,0.42,4300,460,4353,1079,5.81,5.31,5.41,5.30,VMS 3,,Divert 3,Sangre por pezón por encima del umbral,0.72,0.84,0.72,0.84,2.26,3.17,1.87,1.98
27/01/2024 08:23 p. m.,Ordeño,11:44,11.10,1,,,,,1,DI,0.60,0.54,0.48,0.30,1084,1084,1876,0,7.10,6.39,6.40,0.00,VMS 1,,Divert 3,Sangre por pezón por encima del umbral,0.96,1.32,1.08,0.84,3.44,3.68,3.40,0.58
05/02/2024 09:32 p. m.,Ordeño,15:17,13.90,1,,,,,1,DD,0.66,0.60,0.48,0.30,0,0,0,0,6.74,7.04,0.00,5.39,VMS 1,,Tanque,,1.02,1.50,0.90,1.02,4.22,4.91,3.95,0.82
06/02/2024 04:30 a. m.,Ordeño,07:33,3.31,1,,,,,1,,0.42,0.48,0.36,0.24,0,0,683,0,5.54,5.46,4.93,0.00,VMS 1,,Tanque,,0.72,0.84,0.84,0.42,0.95,1.31,0.71,0.34
06/02/2024 06:28 p. m.,Ordeño,10:34,7.26,2,,,,,1,,0.48,0.48,0.36,0.30,0,0,0,0,6.14,6.35,5.84,0.00,VMS 1,,Tanque,,0.84,0.84,0.66,0.72,1.95,2.79,1.54,0.98
