Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
29/08/2024 06:52 a. m.,Ordeño,11:26,8.79,1,,TD,,,1,,1.08,0.84,0.60,0.72,0,0,0,0,4.16,4.34,4.14,3.71,VMS 3,,Tanque,,1.44,1.20,1.08,1.20,3.02,3.60,0.81,1.36
30/08/2024 05:24 a. m.,Ordeño,09:53,27.41,1,,,,,1,,1.08,3.00,0.66,1.08,0,0,0,0,4.51,4.91,4.24,4.70,VMS 3,,Tanque,,1.50,4.44,0.96,1.62,4.12,16.60,1.64,5.05
21/09/2024 09:27 a. m.,Ordeño,08:43,9.01,2,,TD,,,1,DI,1.02,0.84,0.72,0.78,0,0,0,0,5.38,4.37,4.25,2.94,VMS 3,,Tanque,,1.56,1.20,1.32,1.44,2.54,2.94,2.50,1.03
04/11/2024 09:27 p. m.,Ordeño,10:05,12.62,4,,"TI,TD",,,1,,1.20,1.08,0.72,1.08,0,0,0,0,5.38,5.12,4.36,0.00,VMS 1,,Tanque,,1.80,1.56,1.32,1.98,4.38,3.76,1.26,3.22
01/02/2025 02:09 p. m.,Ordeño,05:49,6.95,2,,,,,1,TI,1.08,1.14,1.02,1.02,0,0,0,0,5.01,4.74,6.06,0.00,VMS 1,,Tanque,,1.50,1.62,1.50,1.50,1.23,1.62,2.99,1.11
04/05/2025 10:29 p. m.,Ordeño,11:39,14.77,2,,TD,,,1,TI,1.56,1.44,1.08,1.38,0,0,0,0,4.05,3.93,5.30,0.00,VMS 1,,Tanque,,2.34,1.98,1.68,1.92,3.44,4.12,4.21,3.00
19/09/2025 08:55 p. m.,Ordeño,09:12,8.81,2,,,,,1,TI,1.56,1.38,1.08,1.20,0,0,0,0,4.00,4.09,4.87,4.00,VMS 3,,Tanque,,2.04,1.98,1.80,1.62,2.21,2.49,2.38,1.73
12/10/2025 12:11 a. m.,Ordeño,05:05,10.19,1,,,,,1,,1.62,1.50,1.14,1.56,0,0,0,0,3.91,4.15,4.47,4.61,VMS 3,,Tanque,,2.10,1.98,1.80,1.92,1.81,2.60,2.93,2.85
19/08/2024 03:14 p. m.,Ordeño,15:42,4.35,1,,,,,0,,0.66,0.66,0.54,0.72,644,0,1586,778,3.87,4.26,3.62,3.87,VMS 3,,Divert 3,,1.26,1.14,1.14,1.86,0.77,1.67,0.74,1.17
