Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
10/10/2025 08:48 p. m.,Ordeño,10:15,17.68,1,,TD,,,1,,0.96,1.26,0.84,0.84,0,0,0,0,4.78,4.99,4.32,5.14,VMS 3,,Tanque,,1.32,1.74,1.32,1.62,4.25,5.24,4.39,3.80
13/10/2025 07:59 p. m.,Ordeño,12:44,14.36,2,,TD,,,1,,0.90,1.32,0.66,0.66,0,0,0,0,4.56,4.86,4.63,4.83,VMS 3,,Tanque,,1.32,1.74,0.96,1.14,3.65,3.87,3.49,3.35
15/10/2025 07:15 p. m.,Ordeño,09:56,18.87,1,,,,,1,TI,1.02,1.38,0.96,0.78,0,0,0,0,4.74,4.89,5.56,4.10,VMS 3,,Tanque,,1.62,1.80,1.44,1.20,4.74,4.77,5.75,3.61
18/10/2025 07:37 p. m.,Ordeño,08:12,18.39,1,,,,,1,TD,0.96,1.26,0.84,0.90,0,0,0,0,4.95,5.03,4.94,5.78,VMS 3,,Tanque,,1.44,1.68,1.26,1.62,4.81,5.49,4.54,3.55
19/10/2025 02:59 p. m.,Ordeño,06:39,10.91,1,,,TD,,1,,1.02,1.20,0.90,0.72,0,0,0,0,4.64,4.68,4.53,4.39,VMS 3,,Tanque,,1.44,1.62,1.26,1.14,3.11,3.38,3.15,1.27
07/10/2025 08:45 a. m.,Ordeño,16:38,9.08,1,,,,,0,TD,1.02,1.14,0.66,0.60,5228,688,1490,856,4.15,3.95,3.35,4.22,VMS 3,,Divert 3,,1.62,1.80,1.14,1.08,3.76,2.56,1.81,0.95
07/10/2025 07:25 p. m.,Ordeño,08:07,5.83,2,,,,,0,,0.84,1.32,0.72,0.90,3245,0,585,0,4.39,4.95,4.63,4.86,VMS 3,,Divert 3,,1.62,2.04,1.14,1.20,1.08,1.67,1.80,1.28
08/10/2025 09:36 a. m.,Ordeño,10:53,5.21,1,,,,TD,0,,0.42,1.32,0.78,0.00,0,0,0,0,2.78,4.84,4.53,0.00,VMS 3,,Divert 3,,0.90,1.86,1.32,0.00,0.38,2.76,2.07,0.00
09/10/2025 09:59 a. m.,Ordeño,12:39,15.13,1,,TD,,,0,,0.96,1.38,0.66,0.72,0,0,0,0,5.04,4.81,4.55,4.96,VMS 3,,Divert 3,,1.44,1.86,1.02,1.32,4.04,4.45,3.94,2.70
09/10/2025 10:41 p. m.,Ordeño,14:29,9.14,2,,"DI,TD",,,0,,1.08,1.26,0.54,0.96,0,0,335,0,4.03,4.57,4.08,2.73,VMS 3,,Divert 3,,1.62,1.74,1.26,1.50,2.38,2.99,2.50,1.27
11/10/2025 10:53 p. m.,Ordeño,17:38,18.60,1,,,,,0,,0.96,1.14,0.72,0.66,366,0,0,0,4.63,5.00,4.66,4.20,VMS 3,,Tanque,,1.62,1.50,1.08,1.02,4.80,5.21,4.85,3.74
12/10/2025 07:11 a. m.,Ordeño,05:03,5.50,1,,,,,0,,0.84,1.14,0.78,0.66,0,0,0,0,4.32,4.45,4.20,4.32,VMS 3,,Tanque,,1.26,1.62,1.26,1.14,1.40,1.59,1.63,0.88
13/10/2025 02:03 a. m.,Ordeño,19:29,11.88,1,,,DD,,0,,1.08,0.42,0.54,1.20,0,0,0,0,4.60,0.00,4.34,4.83,VMS 3,,Tanque,,1.50,1.14,1.50,1.80,2.96,0.36,4.48,4.08
14/10/2025 07:28 a. m.,Ordeño,09:43,8.79,1,,TD,,,0,,0.78,1.14,0.72,0.66,0,0,0,0,4.15,4.65,4.27,4.48,VMS 3,,Tanque,,1.20,1.56,1.02,1.14,2.60,1.74,2.55,1.90
14/10/2025 07:45 p. m.,Ordeño,11:55,9.31,2,,,TI,TI,0,,0.90,1.14,0.00,0.78,0,0,0,0,4.34,4.66,0.00,3.85,VMS 3,,Tanque,,1.56,1.56,0.00,1.32,3.00,4.25,0.00,2.06
16/10/2025 03:33 a. m.,Ordeño,07:35,5.04,1,,,TI,,0,,0.90,0.96,0.54,0.72,0,0,0,0,4.10,4.42,3.77,4.12,VMS 3,,Tanque,,1.26,1.44,0.78,1.20,1.51,1.84,0.68,1.01
16/10/2025 09:49 a. m.,Ordeño,12:45,5.25,2,,TD,,,0,,0.84,0.90,0.48,0.54,0,0,0,0,4.41,4.48,4.26,4.40,VMS 3,,Tanque,,1.26,1.38,0.84,0.84,1.42,1.70,0.85,1.28
