Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
25/08/2022 11:19 p. m.,Ordeño,10:13,5.40,2,,,,TI,1,,1.20,1.44,0.00,1.20,7984,2167,0,882,4.64,4.74,0.00,3.61,VMS 3,,Divert 3,,1.92,2.34,0.00,2.40,1.63,1.83,0.00,1.94
27/08/2022 11:45 p. m.,Ordeño,09:28,14.53,2,,DI,,TI,1,,1.44,1.80,0.00,1.50,3477,654,0,0,4.84,4.77,0.00,5.14,VMS 3,,Divert 3,,1.98,2.28,0.00,1.98,4.07,4.68,0.00,5.78
06/11/2022 08:17 a. m.,Ordeño,07:47,28.16,1,,,,,1,,1.68,1.86,,1.74,0,0,,0,5.02,5.24,,4.86,VMS 2,,Tanque,,2.46,2.40,,2.34,7.56,10.63,,9.97
17/01/2023 05:51 a. m.,Ordeño,07:20,14.95,1,,,,,1,,1.14,1.32,,1.44,0,0,,0,4.86,4.96,,5.60,VMS 2,,Tanque,,1.62,1.80,,1.92,4.99,5.84,,4.12
17/01/2023 03:06 p. m.,Ordeño,07:35,17.66,2,,,,,1,,1.14,1.44,,1.44,0,0,,0,4.83,4.97,,5.58,VMS 2,,Tanque,,1.50,1.80,,1.98,6.11,6.79,,4.76
29/04/2023 12:31 a. m.,Ordeño,07:08,11.84,1,,,,,1,DD,1.32,1.50,,1.44,0,0,,0,5.25,10.12,,5.43,VMS 2,,Tanque,,1.74,1.92,,1.80,3.68,3.53,,4.63
29/04/2023 12:44 p. m.,Ordeño,06:31,15.73,2,,DD,,,1,DI,1.26,1.62,,1.98,0,0,,0,8.91,5.20,,4.96,VMS 2,,Tanque,,1.74,2.40,,3.12,1.59,6.37,,7.77
02/05/2023 09:11 a. m.,Ordeño,09:17,20.83,1,,,,,1,DD,1.56,1.74,,1.98,0,0,,0,5.19,10.18,,5.01,VMS 2,,Tanque,,2.04,2.34,,2.70,7.44,3.89,,9.50
03/05/2023 01:30 a. m.,Ordeño,09:20,18.64,1,,,,,1,DD,1.26,1.02,,2.04,0,0,,0,5.04,7.50,,4.74,VMS 2,,Tanque,,1.80,1.62,,2.70,7.97,1.30,,9.37
