Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
25/01/2025 11:15 p. m.,Ordeño,11:11,10.84,2,,,,,1,DD,0.66,0.96,0.72,0.60,0,319,0,0,3.83,4.81,3.82,0.00,VMS 1,,Tanque,,1.08,1.44,1.20,1.14,1.28,3.01,3.55,3.00
26/01/2025 11:32 p. m.,Ordeño,13:23,15.68,1,,,,,1,DD,0.84,1.08,0.66,0.78,0,0,0,0,3.91,5.14,3.98,0.00,VMS 1,,Tanque,,1.26,1.50,1.26,1.20,2.16,5.01,3.85,4.66
27/01/2025 10:06 p. m.,Ordeño,10:05,15.41,1,,,,,1,,0.96,0.96,0.84,0.72,0,1245,0,0,4.83,5.33,5.04,0.00,VMS 1,,Divert 3,Sangre por pezón por encima del umbral,1.38,1.50,1.26,1.32,1.96,4.90,3.66,4.89
29/01/2025 10:00 p. m.,Ordeño,11:13,17.15,1,,,,,1,,0.66,1.02,0.72,0.90,0,1411,0,0,6.40,6.27,6.08,0.00,VMS 1,,Divert 3,Sangre por pezón por encima del umbral,1.02,1.50,1.20,1.50,2.56,5.06,5.06,4.47
30/01/2025 10:06 p. m.,Ordeño,10:15,11.17,1,,,,,1,,0.66,0.96,0.66,0.66,0,0,0,0,5.37,6.04,5.74,0.00,VMS 1,,Tanque,,1.02,1.44,1.08,1.20,1.29,3.69,3.01,3.18
01/02/2025 09:32 a. m.,Ordeño,16:13,19.55,1,,,,,1,DD,0.66,0.90,0.66,0.60,0,575,0,0,5.19,6.42,5.60,0.00,VMS 1,,Tanque,,1.02,1.38,1.26,1.08,2.51,5.73,5.26,6.05
01/02/2025 09:44 p. m.,Ordeño,06:15,5.73,2,,,,,1,,0.60,0.84,0.72,0.66,0,0,0,0,5.00,5.56,5.45,0.00,VMS 1,,Tanque,,1.14,1.26,1.14,1.02,0.70,1.77,1.50,1.76
02/02/2025 07:25 p. m.,Ordeño,11:01,14.83,1,,,,,1,,0.66,1.02,0.72,0.72,0,0,0,0,4.93,5.61,5.27,0.00,VMS 1,,Tanque,,1.08,1.44,1.38,1.14,1.90,4.35,4.26,4.32
03/02/2025 03:00 p. m.,Ordeño,07:00,12.88,1,,,,,1,,0.78,1.02,0.84,0.78,0,373,0,0,4.86,5.48,5.20,0.00,VMS 1,,Tanque,,1.08,1.50,1.38,1.20,1.60,4.00,3.55,3.73
04/02/2025 07:49 a. m.,Ordeño,11:05,10.81,1,,,,,1,,0.78,0.96,0.72,0.66,0,345,0,0,4.26,5.00,4.54,0.00,VMS 1,,Tanque,,1.14,1.38,1.08,1.08,1.34,3.28,3.05,3.14
04/02/2025 10:46 p. m.,Ordeño,10:47,12.35,2,,,,,1,DD,0.54,1.02,0.54,0.60,0,0,0,0,4.46,5.80,5.22,0.00,VMS 1,,Tanque,,0.96,1.38,0.96,1.08,1.50,3.76,3.44,3.65
05/02/2025 07:47 p. m.,Ordeño,09:09,16.96,1,,,,,1,DD,0.72,1.02,0.78,0.78,0,445,0,0,4.47,5.53,5.14,0.00,VMS 1,,Tanque,,1.08,1.50,1.38,1.20,2.25,5.05,4.72,4.94
06/02/2025 12:02 p. m.,Ordeño,08:45,13.88,1,,,,,1,,0.66,0.96,0.66,0.78,0,448,0,0,4.43,5.13,4.71,0.00,VMS 1,,Tanque,,1.02,1.32,1.08,1.14,1.78,4.28,3.80,4.02
07/02/2025 05:46 a. m.,Ordeño,10:10,15.39,1,,,,,1,,0.60,0.90,0.60,0.66,0,347,0,0,4.51,5.12,4.84,0.00,VMS 1,,Tanque,,1.08,1.26,1.14,1.26,1.98,4.82,4.23,4.36
07/02/2025 07:48 p. m.,Ordeño,12:18,8.54,2,,TD,TD,TD,1,,0.66,1.02,0.72,0.24,0,0,0,0,4.19,4.93,4.68,0.00,VMS 1,,Tanque,,1.02,1.44,1.14,0.54,1.61,3.58,3.25,0.10
08/02/2025 10:14 p. m.,Ordeño,13:07,17.71,2,,,,,1,,0.78,1.02,0.78,0.66,0,409,0,0,4.67,5.42,5.25,0.00,VMS 1,,Tanque,,1.32,1.50,1.38,1.26,2.29,5.44,5.33,4.65
09/02/2025 06:42 p. m.,Ordeño,09:48,18.24,1,,,,,1,,0.72,1.02,0.72,0.78,0,395,0,0,5.22,5.86,5.47,0.00,VMS 1,,Tanque,,1.08,1.44,1.20,1.26,2.42,5.37,5.26,5.19
10/02/2025 11:12 a. m.,Ordeño,08:21,15.26,1,,,,,1,,0.78,0.96,0.72,0.78,0,310,0,0,4.81,5.31,5.02,0.00,VMS 1,,Tanque,,1.32,1.44,1.20,1.20,1.90,4.75,4.36,4.25
12/02/2025 01:39 p. m.,Ordeño,11:59,17.74,1,,,,,1,,0.84,1.14,0.90,0.84,0,732,0,0,5.60,5.66,6.23,0.00,VMS 1,,Tanque,,1.20,1.50,1.38,1.38,2.42,5.21,5.03,5.08
13/02/2025 09:32 a. m.,Ordeño,09:05,16.77,1,,,,,1,,0.84,1.08,0.84,0.84,0,0,0,0,4.58,5.14,5.08,0.00,VMS 1,,Tanque,,1.32,1.50,1.26,1.26,2.02,5.26,4.47,5.02
14/02/2025 08:42 a. m.,Ordeño,11:22,19.39,1,,,,,1,,0.90,1.02,0.78,0.90,0,0,0,0,5.21,5.53,5.27,0.00,VMS 1,,Tanque,,1.38,1.44,1.20,1.26,2.44,5.31,5.82,5.82
15/02/2025 12:27 a. m.,Ordeño,09:35,14.93,1,,,,,1,,0.60,0.96,0.66,0.72,0,0,0,0,5.00,5.23,0.00,5.11,VMS 1,,Tanque,,1.02,1.38,1.02,1.26,1.87,4.82,3.70,4.54
15/02/2025 09:44 p. m.,Ordeño,10:26,19.27,2,,,,,1,,0.66,1.14,0.72,0.84,0,0,0,0,5.00,5.43,5.18,0.00,VMS 1,,Tanque,,0.96,1.50,1.14,1.32,2.58,5.52,5.47,5.70
16/02/2025 05:16 p. m.,Ordeño,12:47,17.11,1,,,,,1,,0.66,0.90,0.72,0.72,0,0,0,0,4.80,5.37,5.10,0.00,VMS 1,,Tanque,,1.02,1.38,1.20,1.32,2.07,5.11,4.80,5.13
