Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
12/08/2025 09:38 a. m.,Ordeño,08:50,18.12,1,,,,,1,,1.26,1.44,1.32,1.20,3884,898,6088,886,4.33,4.89,4.55,4.19,VMS 3,,Divert 3,,1.80,2.10,1.80,1.80,4.48,3.50,4.54,5.60
13/08/2025 06:57 a. m.,Ordeño,06:03,10.65,1,,,,,1,DD,1.14,1.20,1.20,1.32,3595,798,1491,679,3.62,4.75,4.21,4.31,VMS 3,,Divert 3,,1.68,1.80,1.68,1.98,2.85,2.13,2.57,3.10
15/08/2025 10:18 a. m.,Ordeño,07:25,13.34,1,,,,,1,,1.32,1.38,1.32,1.50,0,0,0,0,5.35,5.23,5.11,4.95,VMS 3,,Tanque,,1.98,1.92,1.86,2.04,3.29,2.72,3.46,3.87
17/08/2025 05:38 a. m.,Ordeño,10:51,19.61,1,,,,,1,"DD,TI",0.96,1.32,1.38,1.08,0,0,0,0,5.74,7.11,7.02,4.79,VMS 3,,Tanque,,1.62,1.92,1.86,1.86,4.51,3.73,4.69,6.68
18/08/2025 06:00 a. m.,Ordeño,06:18,12.48,1,,,,,1,"DI,TI",1.08,1.08,1.20,1.08,0,0,0,0,5.24,4.47,5.07,4.18,VMS 3,,Tanque,,1.50,1.68,1.68,1.74,2.93,2.58,3.21,3.76
25/08/2025 06:28 p. m.,Ordeño,05:04,11.70,2,,,,,1,,1.14,1.20,1.26,1.32,0,0,0,0,5.31,5.17,5.11,4.78,VMS 3,,Tanque,,1.50,1.68,1.80,1.74,2.79,2.31,3.05,3.55
03/09/2025 05:19 p. m.,Ordeño,08:34,21.91,1,,,,,1,"DI,DD,TI",1.08,1.20,1.26,0.96,0,0,0,0,6.14,5.88,5.77,4.05,VMS 3,,Tanque,,1.68,1.68,1.86,1.62,5.09,4.50,6.31,6.01
04/09/2025 06:51 a. m.,Ordeño,07:15,16.27,1,,,,,1,"DI,DD",1.02,1.14,1.20,1.02,0,0,0,0,5.61,5.48,5.41,4.01,VMS 3,,Tanque,,1.50,1.80,1.62,1.56,3.65,3.19,4.18,5.25
04/09/2025 11:43 p. m.,Ordeño,06:48,20.03,2,,,,,1,,1.14,1.26,1.32,1.32,0,0,0,0,5.72,5.46,5.40,5.40,VMS 3,,Tanque,,1.62,1.98,1.74,1.92,4.68,4.00,5.54,5.81
11/09/2025 11:50 p. m.,Ordeño,06:12,13.39,2,,,,,1,,0.96,0.96,1.08,1.20,0,0,0,0,5.39,5.26,5.23,4.89,VMS 3,,Tanque,,1.44,1.50,1.56,1.68,3.03,2.69,3.62,4.05
13/09/2025 01:11 a. m.,Ordeño,08:48,21.67,1,,,,,1,,1.08,1.14,1.26,1.26,0,0,0,0,6.36,5.77,5.76,5.56,VMS 3,,Tanque,,1.62,1.56,1.68,1.80,5.01,4.38,5.70,6.58
14/09/2025 12:40 a. m.,Ordeño,06:48,19.41,1,,,,,1,,1.08,1.20,1.38,1.38,0,0,0,0,5.64,5.45,5.48,5.54,VMS 3,,Tanque,,1.56,1.62,1.80,1.92,4.26,3.94,5.41,5.80
15/09/2025 08:19 a. m.,Ordeño,07:23,21.94,1,,,,,1,,1.20,1.32,1.32,1.38,0,0,0,0,6.28,5.90,5.87,5.86,VMS 3,,Tanque,,1.68,1.98,1.86,1.92,4.95,4.40,6.12,6.47
25/09/2025 11:50 p. m.,Ordeño,09:10,23.85,2,,,,,1,,0.84,1.20,1.38,1.38,0,0,0,0,4.71,5.24,5.15,5.47,VMS 3,,Tanque,,1.32,1.74,1.86,2.04,4.98,4.48,6.85,7.54
04/10/2025 09:57 p. m.,Ordeño,10:59,25.75,2,,,,,1,,1.08,1.20,1.26,1.38,0,0,0,0,6.53,6.00,5.65,5.98,VMS 3,,Tanque,,1.62,1.56,2.22,2.16,6.09,5.08,7.05,7.53
20/10/2025 02:20 a. m.,Ordeño,11:05,19.22,1,,,,,1,Todos,0.84,1.02,1.08,1.26,0,0,0,0,8.11,8.38,7.48,8.64,VMS 2,,Tanque,,1.20,1.50,1.62,1.80,4.40,3.58,5.19,6.05
