Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
28/11/2024 07:11 p. m.,Ordeño,09:14,11.91,1,,TD,,,1,,1.50,0.96,0.96,0.78,0,0,0,0,4.36,4.64,4.73,4.63,VMS 3,,Tanque,,1.98,1.44,1.26,1.32,3.19,2.87,2.49,3.36
11/03/2025 05:19 a. m.,Ordeño,06:58,7.88,1,,,TD,,1,TI,0.90,0.60,0.78,0.78,0,0,0,0,4.80,4.82,5.78,4.78,VMS 3,,Tanque,,1.32,0.96,1.26,1.14,1.92,1.50,3.04,1.42
12/03/2025 08:32 a. m.,Ordeño,08:05,13.95,1,,,,,1,,1.02,0.84,0.84,1.08,0,0,0,0,4.97,4.91,5.62,5.07,VMS 3,,Tanque,,1.56,1.26,1.26,1.50,4.30,3.60,2.44,3.61
12/03/2025 02:39 p. m.,Ordeño,05:30,5.28,2,,,,,1,TI,0.90,0.66,0.72,0.78,0,0,0,0,4.90,4.85,5.85,4.83,VMS 3,,Tanque,,1.56,1.08,1.02,1.26,1.66,1.28,1.18,1.16
12/03/2025 10:01 p. m.,Ordeño,05:29,6.28,3,,,,,1,TI,1.14,0.60,0.84,0.90,0,0,0,0,4.58,4.58,5.52,4.61,VMS 3,,Tanque,,1.50,0.84,1.26,1.20,1.76,1.45,1.50,1.57
13/03/2025 07:01 a. m.,Ordeño,06:11,8.32,1,,,,,1,TI,1.02,0.66,0.84,0.90,0,0,0,0,5.08,5.01,5.82,5.06,VMS 3,,Tanque,,1.50,0.96,1.20,1.20,2.40,1.94,1.88,2.10
13/03/2025 09:40 p. m.,Ordeño,07:39,15.31,2,,,,,1,,1.08,0.78,0.84,0.96,347,0,0,0,5.38,5.19,5.83,5.32,VMS 3,,Tanque,,1.44,1.14,1.32,1.26,4.22,3.65,3.67,3.77
14/04/2025 02:43 a. m.,Ordeño,07:32,17.62,1,,,,,1,,1.26,1.02,1.02,0.96,0,0,0,0,4.58,4.64,4.71,0.00,VMS 1,,Tanque,,1.86,1.50,1.56,1.50,4.50,4.38,4.42,4.32
14/04/2025 10:10 p. m.,Ordeño,11:49,19.26,2,,,,,1,,1.14,1.08,1.02,1.08,0,0,0,0,4.73,4.62,4.72,0.00,VMS 1,,Tanque,,1.68,1.62,1.74,1.56,4.74,4.96,4.52,5.04
20/04/2025 02:06 a. m.,Ordeño,11:23,24.55,1,,,,,1,,1.08,1.02,1.02,1.08,0,0,0,0,4.90,5.03,5.00,0.00,VMS 1,,Tanque,,1.74,1.44,1.92,1.50,5.93,6.12,8.25,4.25
29/04/2025 10:43 a. m.,Ordeño,08:24,21.96,1,,,,,1,,1.32,1.02,1.08,1.20,0,0,0,0,5.25,5.09,5.47,0.00,VMS 1,,Tanque,,1.68,1.38,1.50,2.22,5.29,5.43,5.48,5.76
30/04/2025 12:24 a. m.,Ordeño,07:01,16.28,1,,,,,1,,1.32,1.14,0.90,1.08,0,0,0,0,5.26,5.16,5.32,0.00,VMS 1,,Tanque,,1.62,1.50,1.32,1.44,4.71,4.64,3.48,3.45
01/05/2025 07:46 p. m.,Ordeño,09:07,22.78,2,,,,,1,,1.08,1.08,0.90,1.14,0,0,0,0,5.24,5.36,5.61,0.00,VMS 1,,Tanque,,1.62,1.50,1.38,1.44,6.03,5.66,5.75,5.34
02/05/2025 12:01 p. m.,Ordeño,08:17,17.80,1,,"DI,DD,TD",,,1,,1.20,1.02,0.96,1.02,0,0,0,0,5.12,5.21,5.42,0.00,VMS 1,,Tanque,,1.86,1.92,1.50,1.74,4.61,4.49,4.56,4.14
03/05/2025 03:28 p. m.,Ordeño,14:31,21.05,1,,TI,TI,,1,,1.44,1.08,0.84,1.02,0,0,377,0,5.48,6.30,5.48,0.00,VMS 1,,Tanque,,2.04,1.56,1.14,1.50,6.39,6.72,1.69,6.25
