Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
01/09/2022 12:56 a. m.,Ordeño,07:06,10.11,1,,,,,1,"DI,DD",1.08,1.44,1.32,1.02,1096,994,0,471,4.68,4.88,3.97,3.78,VMS 3,,Divert 3,,1.68,1.92,1.98,1.68,2.06,2.44,2.77,2.84
01/09/2022 10:36 a. m.,Ordeño,07:31,7.50,2,,,,,1,"DI,DD",1.26,1.38,1.20,0.90,1194,1096,384,362,5.08,5.14,4.48,4.25,VMS 3,,Divert 3,,1.68,1.86,1.74,1.44,1.94,2.17,1.74,1.65
02/09/2022 08:23 a. m.,Ordeño,10:37,19.57,1,,TD,,,1,,1.20,1.32,0.84,0.84,3097,680,0,365,5.29,5.24,5.10,5.27,VMS 3,,Divert 3,,1.62,1.80,1.38,1.32,5.08,5.15,5.02,4.32
02/09/2022 09:24 p. m.,Ordeño,06:36,11.84,2,,TD,,,1,,0.96,1.20,0.96,0.84,4392,566,365,0,4.83,4.69,4.77,4.74,VMS 3,,Divert 3,,1.38,1.74,1.44,1.20,3.19,3.39,2.52,2.74
03/09/2022 07:31 p. m.,Ordeño,06:17,12.32,2,,,,,1,,1.20,1.20,0.96,0.78,1579,348,0,0,5.57,5.34,5.28,5.25,VMS 3,,Divert 3,,1.74,1.74,1.50,1.26,3.23,3.27,2.82,3.00
04/09/2022 11:09 a. m.,Ordeño,08:37,9.81,1,,,DI,DI,1,,0.00,1.38,0.84,1.08,0,358,0,0,0.00,5.01,5.00,4.82,VMS 3,,Tanque,,0.00,2.04,1.26,1.56,0.00,3.80,2.80,3.21
05/09/2022 08:38 a. m.,Ordeño,09:32,20.73,1,,,,,1,DD,1.14,1.38,0.78,0.84,485,0,0,0,4.70,5.42,4.43,4.68,VMS 3,,Tanque,,1.50,1.92,1.26,1.32,5.37,5.55,4.97,4.84
06/09/2022 08:30 a. m.,Ordeño,09:49,21.87,1,,,,,1,,1.02,1.20,0.90,0.96,384,0,0,0,4.95,4.97,4.73,4.85,VMS 3,,Drenaje,,1.44,1.74,1.32,1.38,6.57,3.89,5.91,5.50
14/09/2022 08:40 a. m.,Ordeño,10:57,23.92,1,,TD,,,1,,0.84,1.20,0.84,0.78,0,0,0,0,4.73,5.26,5.11,5.33,VMS 3,,Drenaje,,1.14,1.68,1.38,1.38,5.46,5.97,5.82,6.67
