Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
21/05/2025 02:15 p. m.,Ordeño,10:17,8.52,1,,"TI,TD",,,1,,0.90,0.96,0.90,0.78,1574,688,491,660,5.20,5.11,5.34,5.17,VMS 3,,Divert 3,,1.26,1.32,1.50,2.88,2.02,1.56,1.44,3.50
25/05/2025 08:10 p. m.,Ordeño,09:48,7.73,2,,,TI,TI,1,DD,0.96,0.90,0.00,0.72,0,0,0,0,4.49,5.14,0.00,4.17,VMS 3,,Divert 3,,1.68,1.26,0.00,1.02,2.33,2.02,0.00,3.38
28/05/2025 08:10 p. m.,Ordeño,10:46,12.94,2,,,,,1,,0.90,0.72,0.66,0.54,0,0,0,0,5.04,5.10,4.79,4.77,VMS 3,,Tanque,,1.32,1.26,1.14,0.84,2.95,2.80,3.65,3.54
29/05/2025 09:53 a. m.,Ordeño,09:04,8.06,1,,,TI,TI,1,DD,1.02,0.84,0.00,0.60,0,0,0,0,4.63,4.91,0.00,3.83,VMS 3,,Tanque,,1.38,1.14,0.00,0.90,2.38,2.17,0.00,3.51
30/05/2025 02:53 p. m.,Ordeño,12:10,17.34,1,,,,,1,"DI,DD,TD",0.90,0.84,0.48,0.66,0,0,0,0,7.97,7.30,4.66,7.57,VMS 3,,Tanque,,1.38,1.20,0.96,1.02,3.87,3.98,4.03,5.46
31/05/2025 04:55 p. m.,Ordeño,10:19,11.58,1,,,TI,,1,DD,0.90,0.72,0.66,0.60,0,0,0,0,5.05,5.95,4.49,4.54,VMS 3,,Tanque,,1.32,1.14,1.02,1.02,3.03,2.19,2.23,4.13
31/05/2025 10:09 p. m.,Ordeño,09:35,3.83,2,,,"DD,TI",,1,,0.72,0.60,0.66,0.60,0,0,0,0,3.96,4.68,4.20,2.90,VMS 3,,Tanque,,1.26,0.96,0.96,1.08,0.84,0.75,0.96,1.28
02/06/2025 03:13 a. m.,Ordeño,11:33,17.38,1,,,,,1,,1.14,0.90,0.78,0.66,0,0,0,0,5.88,5.89,5.48,5.39,VMS 3,,Tanque,,1.50,1.44,1.08,1.14,3.88,3.53,4.60,5.37
03/06/2025 11:31 p. m.,Ordeño,12:00,13.71,2,,,,,1,,0.84,0.90,0.66,0.60,0,0,0,0,5.22,5.35,4.85,5.15,VMS 3,,Tanque,,1.26,1.26,1.08,1.02,3.00,2.82,3.54,4.35
05/06/2025 11:35 p. m.,Ordeño,10:59,13.12,2,,,,,1,,0.90,0.96,0.72,0.66,0,0,0,0,5.33,5.34,5.17,5.00,VMS 3,,Tanque,,1.26,1.26,0.96,1.20,3.01,2.89,3.44,3.78
06/06/2025 06:57 p. m.,Ordeño,10:47,12.26,1,,,,,1,,0.84,0.84,0.78,0.60,0,0,0,0,5.19,5.42,5.02,4.87,VMS 3,,Tanque,,1.20,1.20,1.26,0.96,2.68,2.63,3.21,3.74
08/06/2025 01:43 a. m.,Ordeño,11:13,15.60,1,,,,,1,,0.96,0.96,0.66,0.66,0,0,0,0,6.65,6.39,6.24,5.72,VMS 3,,Tanque,,1.38,1.32,1.14,1.08,3.42,3.38,3.95,4.85
08/06/2025 09:34 p. m.,Ordeño,08:44,8.71,2,,,,,1,,0.96,0.84,0.72,0.66,0,0,0,0,4.77,5.08,4.69,4.42,VMS 3,,Tanque,,1.32,1.26,1.02,1.02,1.91,1.82,2.21,2.77
09/06/2025 10:18 a. m.,Ordeño,11:00,7.68,1,,TI,TI,,1,DD,0.84,0.90,0.84,0.66,0,0,0,0,4.54,4.99,2.41,3.38,VMS 3,,Tanque,,2.34,1.26,1.26,1.08,2.23,1.93,0.88,2.64
10/06/2025 07:28 a. m.,Ordeño,12:35,10.39,1,,,TI,TI,1,,1.02,0.96,0.00,0.54,0,0,0,0,5.41,5.41,0.00,4.31,VMS 3,,Tanque,,2.28,1.32,0.00,0.96,3.11,3.00,0.00,4.28
10/06/2025 09:34 p. m.,Ordeño,08:35,6.97,2,,TI,TI,TI,1,TI,0.96,0.96,0.54,0.66,0,0,0,0,4.72,5.30,6.43,4.54,VMS 3,,Tanque,,1.50,1.32,1.20,1.02,2.01,2.04,0.06,2.86
11/06/2025 05:09 p. m.,Ordeño,08:00,9.61,1,,,TD,,1,,1.08,1.08,0.78,0.24,0,0,0,0,5.30,5.32,5.20,2.81,VMS 3,,Tanque,,1.38,1.50,1.20,0.48,3.30,3.36,2.53,0.42
