Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
11/08/2024 02:39 a. m.,Ordeño,10:14,15.96,1,,,,,1,,0.96,0.66,0.54,0.72,1056,2507,0,381,5.04,4.63,4.43,4.99,VMS 3,,Divert 3,,1.32,1.32,1.08,1.14,3.94,4.65,3.90,3.47
11/08/2024 09:30 p. m.,Ordeño,06:20,10.67,2,,,,,1,,0.96,0.78,0.78,0.90,850,2618,0,388,3.94,4.17,4.17,4.21,VMS 3,,Divert 3,,1.38,1.20,1.14,1.32,2.90,2.99,2.24,2.54
06/09/2024 05:07 a. m.,Ordeño,12:52,22.27,1,,,,,1,"DI,TD",1.20,0.78,0.72,0.90,0,0,0,0,5.56,5.03,3.75,5.09,VMS 2,,Tanque,,1.56,1.32,1.08,1.44,5.17,5.87,5.44,5.79
06/09/2024 05:52 p. m.,Ordeño,08:50,14.74,2,,,,,1,DI,0.96,0.78,0.66,0.90,0,0,0,0,5.15,3.99,4.21,3.80,VMS 2,,Tanque,,1.50,1.20,1.08,1.50,3.05,3.82,3.75,4.12
07/09/2024 12:12 a. m.,Ordeño,06:41,8.23,1,,,,,1,DI,0.90,0.60,0.60,0.84,0,0,0,0,4.75,3.66,4.00,3.67,VMS 2,,Tanque,,1.44,1.08,0.96,1.38,1.76,2.13,2.08,2.26
07/09/2024 05:47 p. m.,Ordeño,09:43,7.41,4,,,TD,TD,1,DI,1.02,0.72,0.60,0.00,0,0,0,0,5.16,4.17,4.49,0.00,VMS 2,,Tanque,,1.38,1.08,0.96,0.00,2.20,2.82,2.39,0.00
09/09/2024 06:42 a. m.,Ordeño,11:00,20.50,1,,,,,1,"DI,DD",1.08,0.84,0.84,0.96,0,0,0,0,7.10,5.02,4.54,3.98,VMS 2,,Tanque,,1.50,1.26,1.26,1.38,3.49,5.85,6.18,4.98
09/09/2024 03:10 p. m.,Ordeño,09:16,7.94,2,,"TI,TD",DI,,1,DI,0.84,0.72,0.66,0.78,0,873,0,0,5.43,3.80,4.13,4.03,VMS 2,,Tanque,,1.14,1.50,1.32,1.38,1.21,2.28,2.43,2.02
09/09/2024 08:19 p. m.,Ordeño,08:57,4.79,3,,,"DI,TI",TI,1,DI,0.60,0.60,0.00,0.90,0,772,0,0,4.92,4.07,0.00,4.14,VMS 2,,Tanque,,1.02,1.14,0.00,1.32,0.70,1.12,0.00,2.97
