Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
31/12/2024 07:38 a. m.,Ordeño,14:14,8.96,1,,,,,1,DD,0.60,0.48,0.66,0.60,3956,586,1279,630,4.49,4.78,3.99,3.86,VMS 3,,Divert 3,,1.08,0.84,1.26,1.08,2.35,2.20,2.04,2.37
02/01/2025 04:54 a. m.,Ordeño,12:31,17.42,1,,DI,,,1,,0.72,0.54,0.72,0.72,0,0,487,345,5.03,5.49,4.75,4.90,VMS 3,,Divert 3,,1.08,1.08,1.26,1.32,4.60,4.68,3.74,4.40
03/01/2025 12:53 a. m.,Ordeño,07:34,11.02,1,,DI,,,1,,0.84,0.60,0.78,0.66,446,0,0,0,5.30,4.81,4.67,4.79,VMS 3,,Divert 3,,1.68,1.02,1.20,1.14,3.15,1.96,2.79,3.12
03/01/2025 10:11 p. m.,Ordeño,08:49,11.31,2,,"DI,TI",,,1,,0.78,0.66,0.72,0.66,344,0,0,0,4.23,4.74,4.13,4.58,VMS 3,,Tanque,,2.04,1.14,1.50,1.14,2.69,2.86,2.35,3.41
06/01/2025 09:46 p. m.,Ordeño,06:19,9.41,1,,Todos,,,1,,0.96,0.66,0.84,0.72,0,0,362,325,5.04,5.80,5.37,5.36,VMS 3,,Tanque,,1.74,1.38,1.56,1.38,3.05,2.02,2.04,2.30
07/01/2025 08:38 a. m.,Ordeño,12:28,4.13,1,,Todos,,,1,DD,0.66,0.60,0.48,0.60,0,0,0,0,3.69,5.04,4.05,3.63,VMS 3,,Tanque,,1.38,1.56,1.02,1.32,1.42,0.80,0.67,1.24
08/01/2025 01:06 p. m.,Ordeño,15:52,12.81,1,,"DI,TI,TD",TI,,1,DI,1.02,0.78,0.78,0.66,355,1904,0,0,5.17,4.37,4.59,0.00,VMS 1,,Tanque,,2.40,1.26,1.74,1.38,4.56,3.87,0.93,3.45
09/01/2025 06:17 a. m.,Ordeño,08:58,11.86,1,,TD,TD,TD,1,,0.96,0.66,0.96,0.18,458,1107,0,0,4.54,4.53,4.33,0.00,VMS 1,,Tanque,,1.44,0.96,1.68,0.42,4.14,2.93,4.73,0.06
14/01/2025 06:27 a. m.,Ordeño,10:36,20.81,1,,TI,,,1,DD,0.90,0.84,0.90,0.60,0,846,0,0,5.00,6.70,4.54,0.00,VMS 1,,Tanque,,1.26,1.32,1.74,1.02,5.57,5.39,5.70,4.15
15/01/2025 10:52 p. m.,Ordeño,12:20,17.99,1,,TI,,,1,TI,0.96,0.66,0.90,0.66,0,434,0,0,5.87,4.64,6.25,0.00,VMS 1,,Tanque,,1.86,1.14,1.62,1.50,6.07,4.40,2.99,4.53
21/01/2025 06:23 a. m.,Ordeño,11:12,19.57,1,,,,,1,,0.84,0.66,1.02,0.78,0,0,0,0,4.65,4.67,4.98,0.00,VMS 1,,Tanque,,1.74,1.08,1.44,1.20,4.52,5.03,5.37,4.65
26/01/2025 11:12 p. m.,Ordeño,11:31,16.29,2,,,,,1,DI,0.90,0.54,0.72,0.66,0,0,0,0,5.93,4.59,4.61,0.00,VMS 1,,Tanque,,1.38,0.96,1.14,1.20,5.40,3.06,2.97,4.86
08/02/2025 08:23 a. m.,Ordeño,12:42,20.03,1,,,,,1,,0.84,0.60,0.90,0.72,0,0,0,0,4.75,4.59,4.67,0.00,VMS 1,,Tanque,,1.26,1.02,1.32,1.20,4.93,5.18,5.28,4.64
27/03/2025 09:11 p. m.,Ordeño,09:47,22.16,2,,,,,1,"DI,DD",0.90,0.66,0.96,0.84,0,0,0,0,5.70,5.63,4.36,4.62,VMS 2,,Tanque,,1.38,1.08,1.56,1.80,5.47,5.31,5.70,5.68
28/03/2025 06:07 p. m.,Ordeño,12:52,23.09,1,,,,,1,,0.84,0.72,0.84,0.60,0,0,0,0,4.80,4.62,4.74,4.94,VMS 2,,Tanque,,1.38,1.38,1.44,1.20,5.88,5.82,5.97,5.42
23/04/2025 11:40 a. m.,Ordeño,10:46,24.75,1,,,,,1,,0.90,0.90,1.08,0.90,0,0,0,0,4.72,4.59,4.79,4.79,VMS 2,,Tanque,,1.38,1.44,1.50,1.98,5.06,6.53,6.65,6.51
04/06/2025 06:43 a. m.,Ordeño,09:16,19.59,1,,,,,1,,0.84,0.78,0.96,0.78,0,0,0,0,4.38,4.47,4.61,4.83,VMS 2,,Tanque,,1.32,1.26,1.44,1.38,4.82,4.76,5.07,4.94
29/06/2025 04:24 a. m.,Ordeño,11:17,19.56,1,,,,,1,,0.84,0.60,0.84,0.66,0,0,0,0,4.15,4.23,4.48,4.50,VMS 2,,Tanque,,1.26,1.08,1.26,1.26,4.82,4.84,5.24,4.66
05/08/2025 03:48 a. m.,Ordeño,10:30,9.38,1,,,,,1,DD,0.78,0.66,0.84,0.72,0,0,0,0,4.06,5.19,4.27,4.16,VMS 3,,Tanque,,1.26,1.32,1.20,1.14,1.73,4.29,1.79,1.57
07/08/2025 11:50 a. m.,Ordeño,10:33,13.26,2,,"DI,DD,TD",,,1,,0.72,0.30,0.96,0.90,0,0,0,0,4.87,5.59,4.93,5.08,VMS 3,,Tanque,,1.44,0.72,1.26,4.02,3.40,1.43,3.82,4.61
09/08/2025 09:01 p. m.,Ordeño,10:45,16.55,2,,,DD,DD,1,,0.78,0.42,0.96,0.78,0,0,0,0,4.36,0.00,4.84,4.45,VMS 3,,Tanque,,1.44,0.78,1.32,1.32,4.85,0.12,6.54,5.04
11/08/2025 11:15 p. m.,Ordeño,10:38,10.08,2,,"DI,TI","DI,DD,TI",DD,1,,0.72,0.00,0.96,0.84,0,0,375,0,4.80,0.00,5.20,4.97,VMS 3,,Tanque,,1.68,0.00,1.56,1.38,1.75,0.00,2.66,5.67
12/08/2025 09:17 a. m.,Ordeño,08:48,9.83,1,,"DI,TI",,DD,1,,0.84,0.00,1.02,0.78,0,0,0,0,4.80,0.00,4.81,4.19,VMS 3,,Tanque,,1.62,0.00,1.80,1.14,3.28,0.00,4.84,1.71
13/08/2025 05:00 a. m.,Ordeño,11:41,16.03,1,,TD,DD,DD,1,,0.90,0.00,1.08,0.84,0,0,0,0,4.08,0.00,4.60,4.95,VMS 3,,Tanque,,1.80,0.00,1.56,1.68,5.17,0.00,6.64,4.22
23/08/2025 10:06 p. m.,Ordeño,10:28,19.60,2,,,DD,DD,1,,1.02,0.00,1.14,0.84,0,0,0,0,4.80,0.00,4.95,4.83,VMS 3,,Tanque,,1.44,0.00,1.50,1.38,5.84,0.00,7.14,6.62
03/10/2025 12:40 p. m.,Ordeño,08:20,12.95,1,,,,,1,,0.78,,1.02,0.78,0,,0,366,4.34,,4.58,4.39,VMS 3,,Tanque,,1.20,,1.44,1.08,4.32,,4.63,4.00
09/10/2025 01:48 p. m.,Ordeño,05:53,7.81,1,,,,,1,,0.84,,1.02,0.72,0,,0,0,3.95,,4.54,3.17,VMS 3,,Tanque,,1.20,,1.38,1.08,2.63,,2.68,2.50
20/10/2025 02:49 a. m.,Ordeño,07:36,4.10,1,,,"DI,TI,TD",,1,,0.78,,0.78,0.60,0,,0,0,4.51,,4.80,4.16,VMS 3,,Drenaje,,1.20,,1.20,0.84,1.06,,1.86,1.18
30/12/2024 12:56 p. m.,Ordeño,18:29,10.95,1,,,,,0,,0.96,0.66,0.96,0.78,7166,1699,3198,2141,2.68,2.75,2.75,2.78,VMS 3,,Divert 3,,2.70,1.38,1.98,1.26,2.98,2.21,2.99,2.77
31/12/2024 09:28 p. m.,Ordeño,12:11,4.52,2,,"DI,DD,TI",,TI,0,,0.66,0.42,0.24,0.36,2557,0,0,0,4.25,4.63,0.80,2.95,VMS 3,,Divert 3,,1.02,0.96,0.48,0.96,2.69,0.73,0.05,1.05
01/01/2025 06:03 a. m.,Ordeño,07:41,7.92,1,,"TI,TD",,,0,,0.54,0.36,0.66,0.54,1076,0,382,345,4.30,4.59,4.19,4.47,VMS 3,,Divert 3,,0.78,0.54,1.32,1.74,1.90,0.76,2.84,2.42
04/01/2025 07:51 a. m.,Ordeño,08:24,5.24,1,,"DI,TI,TD",,,0,DD,0.78,0.60,0.60,0.66,0,0,0,0,3.92,4.41,3.62,3.94,VMS 3,,Tanque,,2.04,1.08,1.26,1.26,1.23,1.52,1.07,1.42
05/01/2025 03:16 a. m.,Ordeño,10:29,16.16,1,,"TI,TD",,,0,,0.90,0.72,0.90,0.66,556,0,0,0,4.02,4.55,4.49,4.00,VMS 3,,Tanque,,1.50,1.20,2.16,1.80,4.76,4.18,3.93,3.29
05/01/2025 08:14 a. m.,Ordeño,09:08,1.82,2,,"DI,DD,TI",,"TI,TD",0,,0.72,0.48,0.42,0.00,0,0,0,0,3.54,4.09,2.55,0.00,VMS 3,,Tanque,,1.56,1.14,0.72,0.00,1.19,0.53,0.10,0.00
05/01/2025 11:42 p. m.,Ordeño,08:36,6.89,3,,"DI,DD,TI",TD,,0,DD,0.84,0.60,0.60,0.90,0,0,0,0,3.56,4.64,3.51,2.55,VMS 3,,Tanque,,2.16,1.20,1.02,2.22,3.05,2.04,1.38,0.42
07/01/2025 08:17 p. m.,Ordeño,08:38,5.46,2,,"DI,DD,TI",TD,TD,0,,0.84,0.60,0.84,0.00,352,423,0,0,4.83,4.65,4.16,0.00,VMS 1,,Tanque,,1.50,0.96,1.50,0.00,1.69,1.44,2.33,0.00
09/01/2025 02:18 p. m.,Ordeño,10:15,6.33,2,,"DI,TD",,,0,,0.72,0.54,0.66,0.54,364,394,0,0,4.87,4.77,4.51,0.00,VMS 1,,Tanque,,1.26,0.84,1.20,1.20,1.84,1.50,1.49,1.50
10/01/2025 05:17 a. m.,Ordeño,07:48,11.33,1,,TD,,,0,,0.84,0.66,0.84,0.60,0,0,0,380,4.68,4.79,4.77,0.00,VMS 1,,Tanque,,1.20,1.08,1.20,1.32,3.52,3.08,2.72,2.01
11/01/2025 01:15 a. m.,Ordeño,08:38,15.83,1,,"DI,DD,TD",,,0,,0.96,0.78,0.84,0.66,0,346,0,0,4.74,4.70,4.81,0.00,VMS 1,,Tanque,,1.80,1.56,1.50,1.56,4.52,4.34,4.04,2.93
11/01/2025 02:13 p. m.,Ordeño,10:24,9.36,2,,"DI,TD",,,0,,0.66,0.72,0.84,0.54,0,349,0,0,4.53,4.63,4.55,0.00,VMS 1,,Tanque,,1.56,1.32,1.50,1.14,1.33,3.42,3.18,1.43
12/01/2025 05:47 a. m.,Ordeño,08:39,11.55,1,,Todos,,,0,,0.84,0.66,0.78,0.54,372,413,0,0,4.83,4.57,4.53,0.00,VMS 1,,Tanque,,1.86,1.62,1.62,1.26,3.63,2.92,3.11,1.89
13/01/2025 01:02 a. m.,Ordeño,09:35,15.58,1,,"DI,DD",,,0,,0.84,0.60,0.90,0.60,380,631,0,0,4.56,4.71,4.54,0.00,VMS 1,,Tanque,,1.26,1.38,1.38,0.96,4.93,2.01,4.97,3.67
16/01/2025 11:06 a. m.,Ordeño,07:57,7.65,1,,,,,0,,0.72,0.54,0.84,0.42,385,0,487,0,4.35,4.63,4.40,0.00,VMS 1,,Tanque,,1.14,0.90,1.26,0.72,1.54,1.71,3.17,1.23
16/01/2025 09:32 p. m.,Ordeño,09:29,6.10,2,,,TI,,0,,0.72,0.48,0.54,0.48,0,0,0,0,4.75,4.64,4.47,0.00,VMS 1,,Tanque,,1.14,0.78,0.96,0.96,1.90,2.02,0.71,1.47
17/01/2025 12:28 p. m.,Ordeño,08:05,10.36,1,,,,,0,,0.78,0.66,0.78,0.60,0,0,0,0,4.30,4.34,4.46,0.00,VMS 1,,Tanque,,1.20,1.02,1.26,1.14,3.01,2.99,1.87,2.49
18/01/2025 04:57 a. m.,Ordeño,08:59,11.40,1,,,,,0,,0.72,0.66,0.78,0.66,466,300,0,0,4.29,4.19,4.48,0.00,VMS 1,,Tanque,,1.20,1.14,1.26,1.02,3.12,2.85,2.60,2.83
18/01/2025 10:49 p. m.,Ordeño,08:21,13.30,2,,,,,0,,0.84,0.60,0.78,0.66,0,0,0,0,4.52,4.29,4.59,0.00,VMS 1,,Tanque,,1.32,0.96,1.26,1.08,3.64,3.55,3.10,3.01
19/01/2025 07:46 a. m.,Ordeño,06:52,6.68,1,,,,,0,,0.72,0.54,0.84,0.54,0,0,0,0,3.94,3.89,4.18,0.00,VMS 1,,Tanque,,1.20,0.90,1.20,0.90,1.85,1.71,1.64,1.48
20/01/2025 06:43 a. m.,Ordeño,10:01,16.38,1,,DI,,,0,,0.90,0.78,0.90,0.78,0,0,0,0,4.49,4.55,4.52,0.00,VMS 1,,Tanque,,1.32,1.38,1.26,1.50,4.54,4.85,2.60,4.39
21/01/2025 09:09 p. m.,Ordeño,08:34,10.71,2,,"DI,TD",,,0,,0.78,0.66,0.78,0.66,0,0,0,0,4.42,4.23,4.39,0.00,VMS 1,,Tanque,,1.56,1.44,1.20,1.32,2.63,3.12,2.07,2.89
22/01/2025 08:34 a. m.,Ordeño,08:06,9.10,1,,,,,0,,0.72,0.60,0.78,0.60,0,315,0,0,4.47,4.42,4.61,0.00,VMS 1,,Tanque,,1.20,0.96,1.20,1.14,2.78,2.29,1.78,2.25
22/01/2025 05:14 p. m.,Ordeño,10:41,7.22,2,,,,,0,,0.60,0.54,0.66,0.54,0,0,0,0,4.40,4.34,4.59,0.00,VMS 1,,Tanque,,1.02,1.26,1.08,1.26,1.82,1.96,1.57,1.87
23/01/2025 07:15 a. m.,Ordeño,12:39,12.71,1,,,,,0,,0.84,0.60,0.78,0.66,0,0,0,0,4.91,4.82,5.05,0.00,VMS 1,,Tanque,,1.26,1.02,1.20,1.14,3.35,3.38,2.89,3.09
24/01/2025 08:02 a. m.,Ordeño,10:52,18.18,1,,,,,0,,0.90,0.72,0.90,0.78,0,310,0,0,5.19,5.27,4.98,0.00,VMS 1,,Tanque,,1.32,1.20,1.32,1.44,4.76,4.82,4.16,4.44
24/01/2025 07:22 p. m.,Ordeño,08:37,6.52,2,,,,,0,,0.66,0.48,0.66,0.54,0,0,0,0,4.18,3.99,4.22,0.00,VMS 1,,Tanque,,1.08,0.96,1.08,0.96,1.71,1.71,1.45,1.65
25/01/2025 06:40 a. m.,Ordeño,09:27,9.67,1,,,,,0,,0.72,0.54,0.84,0.60,0,0,0,0,4.86,4.67,4.99,0.00,VMS 1,,Tanque,,1.20,0.90,1.38,0.96,2.51,2.51,2.39,2.26
26/01/2025 09:24 a. m.,Ordeño,15:06,10.17,1,,TI,"TI,TD",TD,0,,0.84,0.66,0.60,0.00,0,0,0,0,4.88,5.30,4.50,0.00,VMS 1,,Tanque,,1.32,1.08,1.32,0.00,4.09,5.45,0.63,0.00
28/01/2025 06:54 a. m.,Ordeño,11:58,20.30,1,,,,,0,,0.78,0.72,0.96,0.66,0,324,0,0,4.96,5.32,5.40,0.00,VMS 1,,Tanque,,1.20,1.20,1.50,1.26,4.56,5.94,5.53,4.27
29/01/2025 07:18 a. m.,Ordeño,10:38,16.49,1,,,,,0,,0.84,0.66,0.84,0.60,0,322,0,0,5.07,4.95,4.92,0.00,VMS 1,,Tanque,,1.26,1.08,1.32,1.02,4.06,4.57,4.15,3.71
29/01/2025 09:51 p. m.,Ordeño,09:25,12.48,2,,,,,0,,0.72,0.60,0.72,0.60,0,0,0,0,4.93,4.80,4.40,0.00,VMS 1,,Tanque,,1.14,0.96,1.20,1.14,3.09,3.48,3.21,2.70
30/01/2025 07:10 a. m.,Ordeño,07:14,8.24,1,,,,,0,,0.60,0.54,0.72,0.54,0,0,0,0,4.62,4.49,4.69,0.00,VMS 1,,Tanque,,0.96,0.90,1.44,0.96,1.93,2.23,2.21,1.87
30/01/2025 09:31 p. m.,Ordeño,09:34,13.31,2,,,,,0,,0.72,0.60,0.84,0.60,0,0,0,0,5.24,5.18,5.20,0.00,VMS 1,,Tanque,,1.14,0.96,1.20,0.96,3.18,3.58,3.58,2.97
31/01/2025 04:37 p. m.,Ordeño,11:45,18.51,1,,,,,0,,0.84,0.60,0.84,0.66,0,402,0,0,5.35,5.25,5.15,0.00,VMS 1,,Tanque,,1.26,1.02,1.26,1.02,4.50,4.89,4.88,4.24
01/02/2025 07:50 a. m.,Ordeño,10:00,15.63,1,,,,,0,,0.78,0.72,0.90,0.66,0,374,0,0,5.07,5.01,4.99,0.00,VMS 1,,Tanque,,1.38,1.02,1.32,1.38,3.86,4.12,4.12,3.53
01/02/2025 09:27 p. m.,Ordeño,10:35,15.21,2,,,,,0,,0.78,0.54,0.90,0.66,0,0,0,0,5.00,4.69,4.85,0.00,VMS 1,,Tanque,,1.26,0.96,1.32,1.14,3.88,3.85,4.05,3.43
02/02/2025 12:20 p. m.,Ordeño,11:20,15.36,1,,,,,0,,0.72,0.60,0.90,0.54,0,509,0,0,4.65,4.55,4.67,0.00,VMS 1,,Tanque,,1.20,1.08,1.44,1.02,3.79,4.10,4.00,3.47
03/02/2025 07:10 a. m.,Ordeño,13:00,19.44,1,,,,,0,,0.84,0.60,0.90,0.66,366,378,0,0,4.59,4.41,4.46,0.00,VMS 1,,Tanque,,1.38,1.14,1.38,1.14,4.69,5.08,5.09,4.58
03/02/2025 03:16 p. m.,Ordeño,10:41,8.55,2,,,,,0,,0.66,0.42,0.78,0.54,0,0,0,0,4.26,4.21,4.26,0.00,VMS 1,,Tanque,,1.20,0.72,1.26,1.26,2.18,2.44,1.87,2.06
04/02/2025 07:12 a. m.,Ordeño,11:33,16.43,1,,,,,0,,0.78,0.54,0.90,0.66,0,0,0,0,4.47,4.40,4.47,0.00,VMS 1,,Tanque,,1.20,0.84,1.38,1.02,3.90,4.06,4.34,4.13
