Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
23/11/2023 04:41 p. m.,Ordeño,07:10,6.07,1,,,,,1,TI,0.48,0.66,0.84,0.66,3383,668,357,473,4.38,4.54,5.15,4.96,VMS 3,,Divert 3,,0.84,1.08,1.20,0.96,1.24,1.20,1.74,1.89
29/12/2023 05:27 a. m.,Ordeño,12:36,10.37,1,,,,,1,"DI,DD",0.66,0.78,0.60,0.54,666,0,0,0,7.30,6.45,4.46,4.63,VMS 3,,Tanque,,1.08,1.32,0.90,0.84,3.81,3.86,1.34,1.36
06/01/2024 06:35 p. m.,Ordeño,15:18,10.12,2,,,,TI,1,DI,0.60,0.72,0.00,0.84,0,0,0,0,9.65,4.92,0.00,5.15,VMS 3,,Tanque,,1.02,1.08,0.00,1.20,1.83,4.24,0.00,4.05
08/01/2024 02:15 a. m.,Ordeño,13:36,5.23,1,,TI,,DI,1,TD,0.00,0.54,0.66,0.66,0,0,0,0,0.00,4.65,4.68,8.71,VMS 3,,Tanque,,0.00,0.96,0.96,1.32,0.00,1.48,1.46,2.29
08/01/2024 11:02 p. m.,Ordeño,11:57,8.10,2,,TI,DD,DD,1,,0.78,0.00,0.78,0.66,0,0,0,0,5.18,0.00,4.75,4.96,VMS 3,,Tanque,,1.56,0.00,1.32,1.02,1.91,0.00,2.12,4.07
10/01/2024 09:07 p. m.,Ordeño,12:39,9.20,1,,"TI,TD",TD,,1,,0.96,0.78,0.90,0.72,0,0,0,0,4.97,4.79,4.65,5.23,VMS 3,,Tanque,,1.26,1.14,1.92,1.38,3.01,4.62,1.18,0.39
11/01/2024 04:38 p. m.,Ordeño,12:19,14.19,1,,,,,1,"DI,TD",0.66,0.72,0.90,0.66,0,0,0,0,8.78,5.25,5.14,7.24,VMS 3,,Tanque,,1.08,1.50,1.32,1.14,2.84,5.12,2.95,3.28
12/01/2024 02:48 p. m.,Ordeño,09:14,9.29,3,,,,,1,"DI,DD",0.60,0.60,0.84,0.66,0,0,0,0,7.97,7.04,5.14,5.07,VMS 3,,Tanque,,0.96,1.02,1.14,0.90,2.28,1.88,2.70,2.43
13/01/2024 07:18 a. m.,Ordeño,08:08,11.37,1,,,,,1,,0.60,0.66,0.84,0.66,0,0,0,0,5.46,5.50,5.08,5.13,VMS 3,,Tanque,,1.02,1.02,1.20,1.02,1.90,1.74,4.25,3.48
13/01/2024 11:36 p. m.,Ordeño,08:36,12.25,2,,,,,1,,0.54,0.60,0.78,0.66,0,0,0,0,5.59,5.41,5.19,5.17,VMS 3,,Tanque,,0.84,0.96,1.14,0.90,1.99,1.99,4.30,3.97
14/01/2024 06:49 p. m.,Ordeño,09:59,14.14,1,,,,,1,,0.60,0.60,0.90,0.66,0,0,0,0,5.74,5.29,5.18,4.95,VMS 3,,Tanque,,0.90,0.90,1.26,1.08,2.52,2.56,4.64,4.42
16/01/2024 04:27 a. m.,Ordeño,11:09,11.11,1,,TD,,,1,,0.66,0.78,0.72,0.48,0,0,0,0,5.89,6.03,4.89,5.64,VMS 3,,Tanque,,1.02,1.14,1.14,1.02,3.12,2.67,4.51,0.81
16/01/2024 04:47 p. m.,Ordeño,07:59,8.30,2,,,,,1,,0.48,0.48,0.90,0.60,0,0,0,0,5.89,5.42,5.75,5.38,VMS 3,,Tanque,,0.78,0.78,1.26,0.96,1.26,1.11,3.94,1.99
26/01/2024 09:56 p. m.,Ordeño,09:56,15.55,2,,,,,1,,0.60,0.78,0.90,0.66,0,0,0,0,5.99,6.24,5.70,5.46,VMS 3,,Tanque,,0.96,1.08,1.26,0.96,3.22,3.83,4.62,3.88
29/01/2024 04:31 a. m.,Ordeño,10:57,12.26,1,,TD,TD,,1,DD,0.66,0.78,0.90,1.74,0,0,0,0,5.64,6.61,5.35,6.30,VMS 2,,Tanque,,1.08,1.38,1.32,3.06,4.10,3.64,4.24,0.28
30/01/2024 07:15 a. m.,Ordeño,13:41,9.58,1,,,"DD,TD",TD,1,,0.72,0.54,0.84,0.00,0,0,0,0,5.87,5.75,5.72,0.00,VMS 2,,Tanque,,1.14,0.96,1.44,0.00,4.21,1.87,3.50,0.00
30/01/2024 08:25 p. m.,Ordeño,08:53,9.17,2,,,DD,,1,TD,0.60,0.54,0.78,0.90,0,0,0,0,5.02,5.41,5.52,6.16,VMS 2,,Tanque,,0.90,1.14,1.20,1.32,1.55,1.25,2.23,4.14
31/01/2024 12:55 p. m.,Ordeño,11:57,8.05,1,,,TD,TD,1,,0.66,0.60,0.84,0.00,0,0,0,0,5.23,5.35,5.46,0.00,VMS 2,,Tanque,,1.08,1.08,1.26,0.00,2.47,2.23,3.35,0.00
05/02/2024 09:54 a. m.,Ordeño,10:44,11.84,1,,,,TD,1,DD,0.78,0.84,0.90,0.00,0,0,0,0,6.84,7.04,6.03,0.00,VMS 2,,Tanque,,1.32,1.32,1.20,0.00,3.98,3.77,4.09,0.00
06/02/2024 05:03 a. m.,Ordeño,08:57,11.74,1,,,,,1,TD,0.72,0.84,1.02,0.84,0,0,0,0,5.75,5.84,5.71,7.30,VMS 2,,Tanque,,1.08,1.20,1.38,1.32,2.95,2.60,3.37,2.82
