Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
01/09/2025 11:52 p. m.,Ordeño,08:12,13.10,1,,"DD,TI,TD",,DI,1,TD,0.00,0.90,0.90,0.90,0,0,0,0,0.00,6.01,5.56,7.17,VMS 3,,Tanque,,0.00,1.32,1.32,1.38,0.00,3.89,4.31,4.90
02/09/2025 10:15 p. m.,Ordeño,07:18,6.58,2,,,TD,DI,1,,0.00,0.84,0.90,0.72,0,0,0,0,0.00,4.35,4.08,4.73,VMS 3,,Tanque,,0.00,1.32,1.32,0.96,0.00,2.38,2.70,1.50
03/09/2025 07:11 p. m.,Ordeño,06:58,9.41,1,,,,DI,1,,0.00,0.78,0.90,0.84,0,0,0,0,0.00,5.19,5.17,5.48,VMS 3,,Tanque,,0.00,1.20,1.32,1.20,0.00,2.98,3.61,2.82
06/09/2025 06:00 a. m.,Ordeño,06:21,7.01,1,,,,DI,1,,0.00,0.84,0.90,0.72,0,0,0,0,0.00,4.72,5.13,4.70,VMS 3,,Tanque,,0.00,1.26,1.26,1.02,0.00,3.03,1.52,2.46
06/09/2025 11:43 p. m.,Ordeño,08:10,12.19,2,,,,DI,1,,0.00,0.84,1.02,0.84,0,0,0,0,0.00,5.04,5.56,4.83,VMS 3,,Tanque,,0.00,1.38,1.32,1.38,0.00,4.74,3.67,3.78
07/09/2025 01:04 p. m.,Ordeño,07:49,9.68,1,,TD,,DI,1,,0.00,0.78,0.96,0.78,0,0,0,0,0.00,4.96,5.48,4.73,VMS 3,,Tanque,,0.00,1.62,1.38,1.08,0.00,3.66,3.06,2.96
27/08/2025 08:58 a. m.,Ordeño,09:41,7.28,1,,,,DI,0,TD,0.12,0.90,0.72,0.78,0,885,1387,884,3.89,4.52,4.37,4.84,VMS 3,,Divert 3,,0.42,1.32,1.14,1.26,0.11,3.04,1.60,2.53
28/08/2025 03:22 a. m.,Ordeño,07:09,8.70,1,,TI,,DI,0,,0.00,0.78,0.78,0.66,0,0,0,470,0.00,5.20,5.14,5.38,VMS 3,,Divert 3,,0.00,1.32,1.56,1.20,0.00,3.15,2.85,2.70
29/08/2025 07:35 a. m.,Ordeño,08:35,13.83,1,,,,DI,0,,0.00,0.90,0.84,0.78,0,0,0,0,0.00,5.55,5.59,5.71,VMS 3,,Divert 3,,0.00,1.32,1.20,1.14,0.00,4.99,4.89,3.95
29/08/2025 09:32 p. m.,Ordeño,07:08,9.45,2,,,,DI,0,,0.00,0.78,0.84,0.72,0,0,0,0,0.00,4.82,4.92,4.95,VMS 3,,Tanque,,0.00,1.26,1.26,1.08,0.00,3.63,3.16,2.66
