Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
16/10/2025 12:21 p. m.,Ordeño,06:31,11.00,1,,Todos,,,1,,0.78,0.66,0.84,1.02,0,0,0,0,4.89,5.01,4.88,4.72,VMS 3,,Divert 3,,1.50,1.20,1.44,1.92,3.00,1.91,2.45,3.64
18/10/2025 07:46 p. m.,Ordeño,11:56,14.55,1,,"DD,TI,TD",TD,,1,DD,0.78,0.78,0.78,0.84,0,0,0,0,5.29,7.31,5.08,4.36,VMS 3,,Tanque,,1.20,1.62,1.14,2.10,4.78,4.47,4.97,0.33
19/10/2025 01:06 p. m.,Ordeño,07:44,11.89,1,,"TI,TD",,,1,TD,0.84,0.60,0.96,0.96,0,0,0,0,4.84,5.00,4.86,6.14,VMS 3,,Tanque,,1.20,0.96,1.68,1.56,4.19,1.53,3.38,2.79
20/10/2025 12:35 a. m.,Ordeño,07:10,11.89,1,,,,,1,,0.72,0.60,0.84,0.90,0,0,0,0,4.59,5.06,4.70,5.02,VMS 3,,Tanque,,1.08,0.96,1.14,1.26,2.92,1.81,3.67,3.49
12/10/2025 10:58 a. m.,Ordeño,19:37,20.18,1,,DD,,,0,,0.60,0.54,0.84,0.84,4101,483,1082,642,3.90,4.29,4.29,3.79,VMS 3,,Divert 3,,1.08,1.26,1.32,1.56,5.22,4.78,4.12,6.06
13/10/2025 08:21 p. m.,Ordeño,13:57,19.59,1,,"TI,TD",,,0,,0.66,0.54,0.60,0.72,2257,473,0,307,5.03,5.03,5.05,4.59,VMS 3,,Divert 3,,1.02,0.96,1.14,1.92,5.51,4.81,2.47,6.80
14/10/2025 09:03 p. m.,Ordeño,10:17,17.46,1,,TD,,,0,,0.72,0.60,0.72,0.78,1053,0,0,0,5.14,5.11,4.86,5.06,VMS 3,,Divert 3,,1.20,1.02,1.20,1.38,4.10,3.80,5.11,4.45
15/10/2025 07:30 p. m.,Ordeño,08:59,16.34,1,,TD,,,0,,0.72,0.60,0.78,0.90,0,0,0,0,4.94,4.96,4.88,4.78,VMS 3,,Divert 3,,1.14,1.02,1.14,1.44,4.14,3.81,3.75,4.64
16/10/2025 07:16 p. m.,Ordeño,09:14,12.25,2,,,,,0,,0.72,0.60,0.78,0.84,0,0,0,0,4.83,5.02,4.79,4.33,VMS 3,,Divert 3,,1.08,1.02,1.14,1.50,2.67,3.41,3.05,3.12
17/10/2025 07:12 p. m.,Ordeño,13:30,15.15,1,,,DD,DD,0,,0.78,0.00,0.66,0.90,0,0,0,0,5.32,0.00,4.62,4.85,VMS 3,,Tanque,,1.32,0.00,1.38,1.62,5.10,0.00,4.74,5.31
12/10/2025 02:49 a. m.,Echada sin ordeñar,00:00,,,,,,,,,,,,,,,,,,,,,VMS 3,,,,,,,,,,,
12/10/2025 06:51 a. m.,Echada sin ordeñar,00:00,,,,,,,,,,,,,,,,,,,,,VMS 3,,,,,,,,,,,
12/10/2025 10:48 a. m.,Echada sin ordeñar,00:00,,,,,,,,,,,,,,,,,,,,,VMS 3,,,,,,,,,,,
12/10/2025 10:50 a. m.,Echada sin ordeñar,07:36,,,,,,,,,,,,,,,,,,,,,VMS 3,,,,,,,,,,,
17/10/2025 03:04 a. m.,Echada sin ordeñar,01:30,,,,,,,,,,,,,,,,,,,,,VMS 3,,,,,,,,,,,
