Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
28/05/2023 04:08 a. m.,Ordeño,09:07,8.73,1,,,Todos,,1,,0.60,0.42,0.66,0.54,2596,685,484,484,4.89,4.81,5.26,4.87,VMS 3,,Divert 3,,0.96,0.84,1.08,0.84,2.16,2.06,2.19,2.32
28/05/2023 08:22 p. m.,Ordeño,08:57,9.17,2,,,,,1,,0.60,0.48,0.60,0.54,1294,0,0,0,5.22,5.13,5.47,5.01,VMS 3,,Divert 3,,0.90,0.84,0.90,0.84,2.19,2.28,2.15,2.55
29/05/2023 08:15 p. m.,Ordeño,09:51,13.79,1,,TD,,,1,,0.60,0.54,0.66,0.54,1188,0,0,0,5.01,4.89,5.30,4.83,VMS 3,,Divert 3,,1.14,1.08,0.96,0.84,3.47,3.64,3.08,3.60
01/06/2023 02:59 p. m.,Ordeño,08:11,11.12,1,,"DI,DD,TD",,,1,TI,0.66,0.54,0.72,0.54,0,0,0,0,4.88,4.94,5.47,4.35,VMS 3,,Tanque,,1.02,1.26,1.08,1.02,2.84,2.21,3.03,3.04
02/06/2023 12:36 p. m.,Ordeño,10:38,14.72,1,,,,,1,"DD,TI",0.66,0.54,0.66,0.54,484,0,0,0,4.49,4.90,4.73,3.63,VMS 3,,Tanque,,1.14,0.90,1.08,0.84,3.14,4.04,3.12,4.42
07/08/2023 05:03 p. m.,Ordeño,11:37,10.15,2,,"TI,TD",TI,,1,TD,0.60,0.36,0.42,0.78,0,0,0,0,3.96,3.70,2.08,4.83,VMS 1,,Tanque,,0.96,0.54,1.02,1.26,2.00,1.89,0.89,5.37
03/09/2023 09:08 a. m.,Ordeño,10:40,16.05,2,,,,,1,TD,0.72,0.48,0.78,0.84,0,0,0,0,4.40,4.21,4.64,5.31,VMS 1,,Tanque,,1.08,0.78,1.14,1.20,3.22,2.41,3.83,6.59
09/09/2023 10:34 a. m.,Ordeño,12:23,25.19,1,,,,,1,,0.72,0.54,0.90,0.84,0,0,0,0,5.05,4.97,5.14,5.35,VMS 1,,Tanque,,1.14,1.02,1.50,1.38,5.47,4.96,7.25,7.51
08/01/2024 12:04 p. m.,Ordeño,09:48,23.80,1,,,,,1,,0.90,0.66,1.08,1.32,0,2034,0,0,4.12,4.09,4.17,0.00,VMS 1,,Divert 3,Sangre por pezón por encima del umbral,1.32,1.08,1.56,1.92,4.78,4.28,6.44,8.30
08/01/2024 04:49 p. m.,Ordeño,06:53,3.40,2,,,Todos,,1,,0.60,0.48,0.90,0.78,813,6029,0,0,3.75,4.45,0.00,4.29,VMS 1,,Divert 3,Sangre por pezón por encima del umbral,0.96,0.84,1.38,1.26,0.65,0.62,1.10,1.03
