Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
06/09/2024 04:42 a. m.,Ordeño,06:28,11.27,1,,,,,1,,1.08,1.02,0.96,0.84,1129,0,0,0,4.28,4.42,4.50,4.63,VMS 3,,Divert 3,,1.50,1.44,1.32,1.56,2.84,2.73,2.80,2.90
08/09/2024 10:09 p. m.,Ordeño,07:53,14.81,2,,,,,1,,1.14,1.14,1.08,1.02,0,0,0,0,4.32,4.07,4.35,4.08,VMS 3,,Tanque,,1.68,1.62,1.50,1.56,3.49,3.61,3.51,4.20
09/09/2024 08:37 p. m.,Ordeño,08:28,14.79,1,,TD,,,1,,1.08,1.08,1.02,0.96,0,0,0,0,4.83,4.87,4.58,0.00,VMS 1,,Tanque,,1.50,1.62,1.50,1.44,3.56,3.80,4.04,3.39
10/09/2024 12:24 p. m.,Ordeño,09:39,8.87,1,,"DI,DD,TI",,,1,DD,1.14,1.02,1.02,0.84,0,383,0,0,3.66,4.87,4.63,0.00,VMS 1,,Tanque,,1.68,1.62,1.62,1.32,3.38,2.13,2.33,1.03
11/09/2024 04:42 a. m.,Ordeño,09:14,14.10,1,,TD,,,1,,1.20,1.08,1.14,1.02,0,0,0,0,4.62,4.49,4.59,0.00,VMS 1,,Tanque,,1.62,1.56,1.68,1.56,3.11,3.84,3.28,3.87
07/10/2024 11:12 a. m.,Ordeño,09:18,13.15,1,,,,,1,,1.14,1.20,0.90,0.90,0,0,0,0,4.47,4.48,5.06,0.00,VMS 1,,Tanque,,1.50,1.86,1.62,1.56,3.16,3.80,1.86,4.33
08/10/2024 05:14 a. m.,Ordeño,06:18,9.08,1,,TD,,,1,TI,1.08,1.02,0.96,0.60,0,0,0,0,4.47,4.41,5.59,0.00,VMS 1,,Tanque,,1.56,1.50,1.32,1.14,2.14,1.99,3.21,1.74
08/10/2024 04:09 p. m.,Ordeño,08:28,14.11,2,,,,,1,,1.20,1.14,0.96,0.90,0,0,0,0,4.74,4.61,5.22,0.00,VMS 1,,Tanque,,1.56,1.56,1.38,1.38,2.94,3.44,2.81,4.92
12/10/2024 03:19 p. m.,Ordeño,08:20,18.96,1,,,,,1,,1.26,1.32,0.96,0.96,0,0,0,0,4.99,5.01,4.16,0.00,VMS 1,,Tanque,,1.74,1.74,1.50,1.50,4.55,5.10,4.08,5.23
18/10/2024 03:10 p. m.,Ordeño,09:52,11.67,2,,TD,,,1,TI,1.20,1.20,1.08,0.90,0,0,0,0,4.69,4.54,5.33,0.00,VMS 1,,Tanque,,1.68,1.80,1.56,1.62,2.62,3.62,3.43,2.00
24/10/2024 01:00 p. m.,Ordeño,11:01,11.63,2,,,,,1,,1.26,1.38,0.96,0.90,0,0,0,0,4.56,4.42,4.34,0.00,VMS 1,,Tanque,,1.74,1.86,1.44,1.56,3.08,3.53,2.25,2.77
30/10/2024 09:33 a. m.,Ordeño,08:10,14.59,1,,,,,1,,1.44,1.32,0.90,1.14,0,0,0,0,5.87,5.65,5.98,0.00,VMS 1,,Tanque,,1.92,1.80,2.04,1.62,4.05,4.81,1.09,4.64
31/10/2024 11:39 a. m.,Ordeño,07:56,10.83,1,,,"TI,TD",TD,1,,1.38,1.32,0.90,0.00,0,0,0,0,5.13,5.18,5.84,0.00,VMS 1,,Tanque,,1.86,1.92,1.26,0.00,4.77,4.70,1.36,0.00
