Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
22/11/2022 01:30 p. m.,Ordeño,07:04,9.65,1,,,,,1,TI,1.20,0.96,0.96,0.84,7974,1970,569,0,4.12,4.15,5.06,4.03,VMS 3,,Divert 3,,1.68,1.44,1.38,1.68,2.86,2.95,1.66,2.18
15/12/2022 11:45 a. m.,Ordeño,06:22,11.69,1,,,,,1,,1.26,1.02,0.84,0.90,0,0,0,0,4.61,4.17,4.37,4.13,VMS 3,,Tanque,,1.86,1.50,1.26,1.50,3.31,3.84,1.77,2.77
02/01/2023 06:14 p. m.,Ordeño,06:37,14.32,1,,,,,1,,1.14,0.96,0.84,0.96,0,0,0,0,4.09,4.15,3.97,4.01,VMS 3,,Tanque,,1.50,1.44,1.32,1.44,3.96,3.92,2.97,3.47
03/01/2023 02:03 p. m.,Ordeño,06:33,15.10,1,,,,,1,,1.20,1.02,0.90,1.02,0,0,0,0,4.01,4.13,4.16,3.85,VMS 3,,Tanque,,1.74,1.44,1.44,1.50,4.21,4.24,3.18,3.47
20/01/2023 11:36 p. m.,Ordeño,07:55,16.41,2,,,,,1,,1.32,1.14,0.90,1.08,0,0,0,0,3.92,4.00,3.90,3.86,VMS 3,,Tanque,,1.80,1.62,1.32,1.74,4.61,5.24,3.05,3.51
25/01/2023 12:04 a. m.,Ordeño,07:42,14.72,1,,,,,1,,1.14,1.02,0.96,1.08,0,0,0,0,3.86,3.93,4.09,4.07,VMS 3,,Tanque,,1.62,1.38,1.50,1.38,3.68,4.84,2.88,3.32
06/02/2023 08:44 a. m.,Ordeño,08:00,14.94,1,,,,,1,,1.14,1.02,1.02,1.08,0,0,0,0,4.27,4.36,4.79,4.68,VMS 1,,Tanque,,1.50,1.44,1.50,1.44,4.17,4.27,3.17,3.33
08/02/2023 03:06 p. m.,Ordeño,07:58,16.18,1,,,,,1,,1.02,0.90,0.96,0.90,0,0,0,0,4.52,4.58,4.82,4.69,VMS 1,,Tanque,,1.74,1.38,1.38,1.32,4.43,4.38,3.82,3.55
15/02/2023 06:07 p. m.,Ordeño,07:37,13.97,1,,,,,1,,1.14,0.96,0.90,0.96,0,0,0,0,4.45,4.50,4.75,4.66,VMS 1,,Tanque,,1.56,1.44,1.50,1.38,3.85,4.22,2.32,3.58
