Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
24/07/2025 07:27 p. m.,Ordeño,05:17,10.17,2,,,,,1,,1.38,1.44,1.08,1.08,491,0,0,0,5.34,5.22,5.22,5.39,VMS 3,,Divert 3,,1.80,2.16,1.62,1.62,2.62,2.64,2.48,2.43
25/07/2025 06:46 p. m.,Ordeño,06:11,14.06,1,,,,,1,,1.44,1.50,1.08,1.20,0,0,0,0,5.38,5.34,5.04,5.48,VMS 3,,Tanque,,2.04,2.10,1.44,1.56,3.66,3.58,3.68,3.14
21/08/2025 05:17 a. m.,Ordeño,07:35,9.21,1,,,,,1,,1.38,1.38,0.84,1.08,0,0,0,0,5.14,4.93,4.99,4.77,VMS 2,,Tanque,,1.92,1.86,1.32,1.44,2.82,2.04,1.88,2.47
30/09/2025 03:17 p. m.,Ordeño,11:31,10.84,1,,,TD,TD,1,,1.38,1.26,1.02,0.00,0,0,0,0,5.15,5.12,4.95,0.00,VMS 3,,Tanque,,1.86,1.68,1.50,0.00,3.44,3.68,3.72,0.00
01/10/2025 06:13 a. m.,Ordeño,11:12,12.71,1,,,,,1,,1.32,1.26,1.02,1.20,0,0,0,0,4.81,4.79,4.75,5.28,VMS 3,,Tanque,,1.86,1.74,1.56,1.50,2.79,3.13,3.05,3.74
06/10/2025 04:45 a. m.,Ordeño,09:48,7.91,1,,,,,1,,1.26,1.32,0.96,1.14,0,0,0,0,5.00,5.26,4.78,5.06,VMS 3,,Tanque,,1.80,1.68,1.26,1.50,1.92,1.75,2.12,2.12
07/10/2025 01:50 a. m.,Ordeño,07:58,7.49,1,,,,,1,,1.26,1.26,0.84,1.08,0,0,0,0,5.33,5.47,5.05,5.32,VMS 3,,Tanque,,1.68,1.80,1.20,1.38,1.75,2.06,1.81,1.87
07/10/2025 05:33 p. m.,Ordeño,08:01,6.65,2,,,,,1,,1.20,1.20,0.84,1.02,0,0,0,0,5.40,5.42,5.08,5.27,VMS 3,,Tanque,,1.56,1.62,1.26,1.26,1.62,1.75,1.72,1.56
13/10/2025 11:24 p. m.,Ordeño,09:02,12.02,2,,DI,,,1,,1.26,1.14,0.96,1.08,0,0,0,0,5.58,5.45,5.28,5.59,VMS 3,,Tanque,,1.86,1.56,1.38,1.38,2.73,3.39,2.72,3.18
14/10/2025 07:10 p. m.,Ordeño,08:52,14.14,1,,,,,1,,1.20,1.14,1.02,1.08,0,0,0,0,5.68,5.40,5.25,5.52,VMS 3,,Tanque,,1.68,1.50,1.44,1.50,3.32,3.63,3.75,3.44
19/10/2025 12:58 a. m.,Ordeño,11:28,14.35,1,,,,,1,,1.26,1.26,0.96,1.08,0,0,0,0,5.10,4.97,4.97,5.13,VMS 3,,Tanque,,1.68,1.68,1.32,1.38,3.45,3.77,3.62,3.51
19/10/2025 08:09 p. m.,Ordeño,08:23,14.17,2,,,,,1,,1.26,1.32,0.96,1.08,0,0,0,0,5.38,5.22,5.10,5.21,VMS 3,,Divert 3,,1.92,1.80,1.26,1.44,3.46,3.67,3.53,3.51
21/07/2025 05:03 p. m.,Ordeño,05:32,5.75,1,,,,,0,,1.08,1.14,0.90,1.08,5393,1185,1991,1782,4.91,5.02,4.70,4.60,VMS 3,,Divert 3,,1.86,2.04,1.38,1.74,1.35,1.55,1.24,1.61
23/07/2025 10:33 a. m.,Ordeño,08:52,14.48,1,,,,,0,,1.50,1.56,1.08,1.08,2092,488,798,996,5.78,5.51,5.37,5.72,VMS 3,,Divert 3,,2.16,2.10,1.50,1.50,3.73,3.93,3.49,3.33
24/07/2025 02:40 a. m.,Ordeño,05:11,8.93,1,,,,,0,,1.32,1.44,1.02,1.14,1693,482,0,482,4.91,5.00,4.86,5.13,VMS 3,,Divert 3,,1.86,2.10,1.44,1.62,2.36,2.32,2.12,2.13
26/07/2025 03:58 a. m.,Ordeño,04:31,7.06,1,,,,,0,,1.26,1.32,0.96,1.14,0,0,0,0,4.74,5.02,4.76,5.17,VMS 3,,Tanque,,1.80,1.80,1.32,1.68,1.96,1.83,1.64,1.63
26/07/2025 04:18 p. m.,Ordeño,04:35,9.24,2,,,,,0,,1.44,1.44,1.14,1.20,0,0,0,0,5.05,4.93,4.96,5.30,VMS 3,,Tanque,,1.98,1.98,1.44,1.62,2.40,2.53,2.13,2.18
27/07/2025 06:45 a. m.,Ordeño,04:59,10.36,1,,,,,0,,1.38,1.44,1.08,1.26,0,0,0,0,4.98,5.09,4.75,5.35,VMS 3,,Tanque,,1.86,1.98,1.44,1.68,2.59,2.75,2.36,2.66
27/07/2025 06:21 p. m.,Ordeño,04:45,9.36,2,,,,,0,,1.38,1.50,1.08,1.20,0,0,0,0,5.08,5.02,4.81,5.25,VMS 3,,Tanque,,1.86,1.98,1.44,1.74,2.44,2.40,2.34,2.18
28/07/2025 07:44 a. m.,Ordeño,05:28,11.09,1,,,,,0,,1.38,1.56,0.96,1.14,0,0,0,0,4.87,4.75,4.76,4.98,VMS 3,,Tanque,,1.92,2.22,1.50,1.50,2.95,2.95,2.72,2.47
28/07/2025 07:33 p. m.,Ordeño,06:30,10.14,2,,,,,0,,1.38,1.44,1.02,1.14,0,0,0,0,5.01,4.97,4.76,5.03,VMS 3,,Tanque,,1.98,1.92,1.38,1.56,2.61,2.63,2.44,2.46
29/07/2025 02:58 p. m.,Ordeño,05:59,14.39,1,,,,,0,,1.38,1.56,1.02,1.26,0,0,0,0,5.17,5.10,4.94,5.15,VMS 3,,Tanque,,1.92,2.10,1.62,1.68,3.59,3.73,3.60,3.47
30/07/2025 05:04 a. m.,Ordeño,05:57,10.50,1,,,,,0,,1.50,1.56,1.08,1.20,0,0,0,0,4.62,4.75,4.62,4.83,VMS 3,,Tanque,,2.04,1.98,1.50,1.62,2.82,2.50,2.62,2.56
30/07/2025 10:07 p. m.,Ordeño,06:11,12.55,2,,,,,0,,1.38,1.44,1.08,1.20,0,0,0,0,4.87,4.89,4.85,4.83,VMS 3,,Tanque,,2.04,1.86,1.56,1.62,3.22,3.19,3.12,3.02
