Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
01/03/2025 11:08 a. m.,Ordeño,06:47,15.29,1,,,,,1,,1.38,1.26,1.08,1.02,1191,0,385,384,5.26,4.74,4.97,4.81,VMS 3,,Divert 3,,1.92,1.62,1.50,1.62,4.54,3.85,3.35,3.55
02/03/2025 06:55 a. m.,Ordeño,06:16,14.95,1,,,,,1,,1.62,1.02,1.02,1.02,469,0,0,0,5.38,4.97,4.82,4.67,VMS 3,,Divert 3,,2.10,1.44,1.86,1.56,3.97,3.86,3.46,3.66
03/03/2025 01:48 a. m.,Ordeño,06:48,14.52,1,,,,,1,,1.50,0.90,1.02,1.02,0,0,0,0,4.91,4.70,4.69,4.12,VMS 3,,Divert 3,,1.92,1.32,1.38,1.74,4.21,3.90,3.04,3.37
04/03/2025 02:05 p. m.,Ordeño,07:37,18.44,1,,,,,1,DI,1.68,1.08,1.08,1.02,561,0,0,0,7.97,6.50,6.00,5.73,VMS 3,,Tanque,,2.10,1.56,1.50,1.50,4.59,5.57,3.86,4.42
07/03/2025 06:20 p. m.,Ordeño,10:41,12.36,1,,,,,1,,1.26,1.08,1.20,0.48,0,0,0,0,4.25,3.86,4.22,0.00,VMS 1,,Tanque,,1.62,1.56,1.74,1.08,2.91,3.37,2.77,3.31
08/03/2025 05:43 p. m.,Ordeño,12:03,15.76,1,,,,,1,,1.38,1.08,1.02,0.36,0,318,0,0,4.65,4.28,3.20,0.00,VMS 1,,Tanque,,1.86,1.50,1.68,0.66,3.97,4.52,4.23,3.04
10/03/2025 06:56 a. m.,Ordeño,08:46,17.33,1,,,,,1,"DI,DD",1.32,1.20,1.14,0.48,345,1083,0,0,6.07,5.69,4.19,0.00,VMS 1,,Divert 3,,1.74,1.68,1.80,0.96,4.68,5.90,5.34,1.41
15/03/2025 05:48 a. m.,Ordeño,18:08,11.73,1,,,TD,TD,1,,1.32,0.78,0.96,0.00,0,0,0,0,4.25,4.22,4.46,0.00,VMS 1,,Tanque,,1.62,1.26,1.62,0.00,3.93,4.10,3.70,0.00
15/03/2025 11:50 p. m.,Ordeño,13:12,16.12,1,,,,,1,,1.32,0.96,1.14,0.48,0,0,0,0,4.48,4.23,4.49,0.00,VMS 1,,Tanque,,1.62,1.38,1.56,1.68,3.89,4.31,3.48,4.44
16/03/2025 04:26 p. m.,Ordeño,07:36,11.19,2,,,,,1,,1.32,1.08,1.20,0.84,0,0,0,0,4.53,4.42,4.66,0.00,VMS 1,,Tanque,,1.68,1.56,1.62,1.50,2.81,3.84,3.17,1.37
19/03/2025 02:31 a. m.,Ordeño,08:35,14.77,1,,,,,1,,1.26,0.84,1.38,0.84,0,0,0,0,4.56,4.37,4.94,0.00,VMS 1,,Tanque,,1.62,1.32,1.86,1.44,3.92,2.85,4.25,3.75
22/03/2025 12:34 a. m.,Ordeño,09:55,20.66,1,,,,,1,DI,1.26,1.02,1.26,0.66,0,346,0,0,5.65,5.09,4.60,0.00,VMS 1,,Tanque,,1.74,1.50,1.86,1.56,5.50,6.00,4.95,4.21
22/03/2025 09:46 p. m.,Ordeño,10:00,17.27,2,,,,,1,,1.20,0.78,1.08,0.66,0,0,0,0,4.70,4.63,4.60,0.00,VMS 1,,Tanque,,1.56,1.32,1.62,0.96,4.58,4.83,4.58,3.28
25/03/2025 03:21 p. m.,Ordeño,08:53,18.26,1,,,,,1,,1.32,0.96,1.08,0.90,0,0,0,0,4.55,4.38,4.88,0.00,VMS 1,,Tanque,,1.68,1.32,1.62,1.62,4.88,5.20,3.67,4.51
26/03/2025 06:00 a. m.,Ordeño,08:38,13.96,1,,,,,1,,1.26,0.84,0.96,0.60,0,0,0,0,4.49,4.31,4.93,0.00,VMS 1,,Tanque,,1.86,1.44,1.38,1.02,4.10,4.30,3.65,1.91
31/03/2025 05:29 a. m.,Ordeño,08:28,17.95,1,,,,,1,,1.32,1.02,0.90,0.54,0,0,0,0,4.58,4.43,4.19,0.00,VMS 1,,Tanque,,1.62,1.44,1.50,1.20,5.46,5.55,4.35,2.59
