Evento,Tipo de evento,Fecha del evento,Descripción,Usuario,Comentario
,Inseminación,19/10/2025,Artificial Insemination; 94797; MBAPPE FERTIGEN ANGUS; Unknown Brand; Roma,Roma,ml rur de cider
,Celo,19/10/2025,Herd Navigator,Roma,
,Control de Gestación,25/09/2025,-,User1,vacia de 39 post. insem
,Inseminación,17/08/2025,Artificial Insemination; 8403214324421; HIGH OOHM; Unknown Brand; Roma,Roma,no tur
,Celo,17/08/2025,Herd Navigator,Roma,
,Diagnósticos/Tratamiento,14/08/2025,Dns: Vacia; Loc.: DD; Trat: PG2; Med: ,User1,
,Diagnósticos/Tratamiento,14/08/2025,Dns: Problema Podal; Loc.: DD; Trat: ARTHRIDINE; Med: ARTHRIDINE 3 d 1X20ml,DelproCliente,
,Control de Gestación,14/08/2025,-,User1,VACIA DE 39 POST.INSEM
,Condición corporal,27/07/2025,Condición corporal: 2.97 - DDUP: 200,Admin,BCS Camera
,Inseminación,06/07/2025,Artificial Insemination; 8403151003682; TAOS-ET; Unknown Brand; MVZ. GUADALUPE LOPEZ,MVZ. GUADALUPE LOPEZ,FUE DE PROTOCOLO OVSICH/ ENTRO EN CALOR LA MARCO EL COLLAR
,Celo,06/07/2025,Otros,MVZ. GUADALUPE LOPEZ,
,Inseminación,27/06/2025,Artificial Insemination; HAYK HPP SELECTS; HO8403214541122; Unknown Brand; Roma,Roma,NO TUR
,Celo,27/06/2025,Herd Navigator,Roma,
,Diagnósticos/Tratamiento,19/06/2025,Dns: Vacia; Loc.: DD; Trat: PG2; Med: ,User1,
,Control de Gestación,19/06/2025,-,User1,VACIA DE 41 POST. INSEM
,Invitación Visita Veterinaria,19/06/2025,"19/06/2025, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (Veterinario),
,Inseminación,09/05/2025,Artificial Insemination; HO8403245812149; HAVENFUN-RED; Unknown Brand; Jose Zapatero,Jose Zapatero,ES DE PROTOCOLO OVSYNCH se ins  con tumor
,Celo,09/05/2025,Otros,Jose Zapatero,
,Control de Gestación,01/05/2025,-,DR  RAFA (Veterinario),VACIA PGX2 { TUMOR}
,Inseminación,28/03/2025,Artificial Insemination; 8403151003682; TAOS-ET; Unknown Brand; Roma,Roma,decalor ml
,Celo,28/03/2025,Herd Navigator,Roma,
,Cambio de grupo,12/03/2025,"2, VMS 2 -> 3, VMS 3",User1,"CORRALEO POR PROYECTO CORRAL 5
"
,Cambio tabla alimentación,10/03/2025,Multiparas-DEL -> Multiparas-ProduccionLeche,Admin,
,Invitación Visita Veterinaria,20/02/2025,"20/02/2025, Vacas frescas",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,13/02/2025,"13/02/2025, Vacas frescas",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,06/02/2025,"06/02/2025, Vacas frescas",DR  RAFA (Veterinario),
