Evento,Tipo de evento,Fecha del evento,Descripción,Usuario,Comentario
,Control de Gestación,18/09/2025,+,User1,cargada de 152
,Invitación Visita Veterinaria,18/09/2025,"18/09/2025, Reconfirmacion 2 (150-160 dias)",DR  RAFA (Veterinario),
,Diagnósticos/Tratamiento,10/09/2025,Dns: Mastitis clínica; Loc.: DD; Trat: TRISULFAS; Med: TRISULFAS 3 d 1X500ml Intravenoso,User1,
,Diagnósticos/Tratamiento,30/08/2025,"Dns: Mastitis clínica; Loc.: DD; Trat: TYLAN + MATJET X3; Med: TYLAN 3 d 1X20ml Intravenoso, MASTIJET 3 d 1X0.3mg Intramamario",User1,
,Diagnósticos/Tratamiento,25/08/2025,Dns: Mastitis clínica; Loc.: DD; Trat: ENROXIL; Med: ENROXIL 1 d 1X20ml,User1,
,Diagnósticos/Tratamiento,25/08/2025,Dns: Mastitis clínica; Loc.: DD; Trat: MASTIJET; Med: MASTIJET 3 d 2X1pcs,User1,
,Diagnósticos/Tratamiento,06/08/2025,Dns: Mastitis clínica; Loc.: DD; Trat: EMICINA LIQUIDA; Med: EMICINA LIQUIDA 3 d 1X60ml,User1,
,Diagnósticos/Tratamiento,02/08/2025,Dns: Mastitis clínica; Loc.: DD; Trat: HIDROPEN; Med: HIDROPEN 3 d 1X30ml,User1,
,Cambio de grupo,30/07/2025,"2, VMS 2 -> 3, VMS 3",User1,
,Diagnósticos/Tratamiento,28/07/2025,Dns: MASTITIS; Loc.: DD; Trat: HIDROPEN X3; Med: HIDROPEN 3 d 1X30ml Intramuscular,DelproCliente,
,Diagnósticos/Tratamiento,28/07/2025,Dns: MASTITIS; Loc.: DD; Trat: NAPZIN; Med: ,DelproCliente,
,Diagnósticos/Tratamiento,28/07/2025,Dns: MASTITIS; Loc.: DD; Trat: CEFAVET; Med: CEFAVET 1 d 1X10ml,Roma,
,Control de Gestación,25/07/2025,+,User1,CARGADA DE 96
,Invitación Visita Veterinaria,24/07/2025,"24/07/2025, Reconfirmacion 1 (90-110 dias)",DR  RAFA (Veterinario),
,Control de Gestación,19/06/2025,+,User1,CARGADA DE 61 DCC
,Invitación Visita Veterinaria,19/06/2025,"19/06/2025, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,05/06/2025,"05/06/2025, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,29/05/2025,"29/05/2025, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (Veterinario),
,Inseminación,19/04/2025,"Effective Insemination 
Artificial Insemination; HAYK HPP SELECTS; HO8403214541122; Unknown Brand; Roma",Roma,TUR MOCO TURVIO
,Celo,19/04/2025,Herd Navigator,Roma,
,Inseminación,29/03/2025,Artificial Insemination; 8403151003682; TAOS-ET; Unknown Brand; Jose Zapatero,Jose Zapatero," de  calor ml

ins  jose ml de calor"
,Celo,29/03/2025,Herd Navigator,Jose Zapatero,
,Cambio tabla alimentación,09/03/2025,Multiparas-DEL -> Multiparas-ProduccionLeche,Admin,
,Invitación Visita Veterinaria,20/02/2025,"20/02/2025, Vacas frescas",DR  RAFA (Veterinario),
,Celo,17/02/2025,Se deja montar,User1,NO LE TOCA (41 DIAS EN LECHE)
,Invitación Visita Veterinaria,13/02/2025,"13/02/2025, Vacas frescas",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,06/02/2025,"06/02/2025, Vacas frescas",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,30/01/2025,"30/01/2025, Vacas frescas",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,23/01/2025,"23/01/2025, Vacas frescas",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,09/01/2025,"09/01/2025, Vacas frescas",DR  RAFA (Veterinario),
,Cambio tabla alimentación,08/01/2025,None -> Multiparas-DEL,Admin,
,Cambio de grupo,07/01/2025,"3, VMS 3 -> 2, VMS 2",User1,
,Cambio de grupo,07/01/2025,"20, RETO -> 3, VMS 3",DelproCliente,
,Parto,07/01/2025,Normal; 7536,DelproCliente,
,Diagnósticos/Tratamiento,16/12/2024,Dns: BOLO RUMENSIN; Loc.: DD; Trat: BOLO RUMENSIN; Med: BOLO RUMENSIN 1 d 1X1pcs,User1,008485
,Diagnósticos/Tratamiento,16/12/2024,"Dns: VITAMINA; Loc.: DD; Trat: VIGANTOL (A,D,E); Med: ",User1,
,Condición corporal,16/12/2024,Condición corporal: 3.50 - DDUP: 381,User1,
,Cambio de grupo,16/12/2024,"100, SECAS -> 20, RETO",User1,
,Diagnósticos/Tratamiento,16/12/2024,Dns: VACUNA; Loc.: DD; Trat: starvacc; Med: STARVAC 1 d 1X2ml Intramuscular,User1,
,Diagnósticos/Tratamiento,25/11/2024,Dns: VACUNA; Loc.: DD; Trat: ROTAVEC; Med: ,User1,
,Diagnósticos/Tratamiento,25/11/2024,Dns: VACUNA; Loc.: DD; Trat: starvacc; Med: STARVAC 1 d 1X2ml Intramuscular,User1,
,Cambio tabla alimentación,14/11/2024,Primerizas-ProduccionLeche -> ,User1,
,Condición corporal,14/11/2024,Condición corporal: 3.50 - DDUP: 349,User1,
,Secado,14/11/2024,Dry Off,User1,"SE SECO CON 349 DEL, 26.68 LITROS, 223 DCC, QUEDO GESTANTE EN LA 2 INSEMINACION "
,Cambio de grupo,14/11/2024,"3, VMS 3 -> 100, SECAS",User1,
,Diagnósticos/Tratamiento,14/11/2024,Dns: Secar; Loc.: DD; Trat: CEFA SAFE; Med: CEFA SAFE 1 d 1X4pcs,User1,
,Invitación Visita Veterinaria,14/11/2024,"14/11/2024, Vacas a secar",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,07/11/2024,"07/11/2024, Vacas a secar",DR  RAFA (Veterinario),
,Control de Gestación,12/09/2024,+,DelproCliente,
,Invitación Visita Veterinaria,12/09/2024,Reconfirmacion 2 (150-160 dias),DR  RAFA (Veterinario),
,Cambio ID Transponder,23/08/2024,982000464364625 -> 982000464364436,,
,Diagnósticos/Tratamiento,05/08/2024,"Dns: Mastitis clínica; Loc.: DD; Trat: HIDROPEN+SPECTRAMAST; Med: HIDROPEN 3 d 1X30ml, SPECTRAMAST 3 d 1X10gm Intramamario",User1,napzin- ubre inchada
,Control de Gestación,04/07/2024,+,User1,
,Cambio tabla alimentación,30/06/2024,None -> Primerizas-ProduccionLeche,Admin,
