Evento,Tipo de evento,Fecha del evento,Descripción,Usuario,Comentario
,Cambio de grupo,20/10/2025,"1, VMS 1 -> 3, VMS 3",User1,
,Control de Gestación,09/10/2025,+,User1,CARGADA DE 45/ R7 POR UTERO TURGENTE
,Invitación Visita Veterinaria,09/10/2025,"09/10/2025, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (Veterinario),
,Inseminación,25/08/2025,"Effective Insemination 
Artificial Insemination; HOCANM12857690; PURSUIT; Unknown Brand; Roma",Roma,de calor tur ml
,Celo,25/08/2025,Herd Navigator,Roma,
,Inseminación,04/08/2025,Artificial Insemination; HO8403245812149; HAVENFUN-RED; Unknown Brand; Roma,Roma,DE CALOR ML
,Celo,04/08/2025,Herd Navigator,Roma,
,Inseminación,04/07/2025,Artificial Insemination; HOCANM12857690; PURSUIT; Unknown Brand; MVZ. GUADALUPE LOPEZ,MVZ. GUADALUPE LOPEZ,PROTOCOLO PRESYNCH & OVSYNCH
,Celo,04/07/2025,Otros,MVZ. GUADALUPE LOPEZ,
,Diagnósticos/Tratamiento,26/06/2025,Dns: Vacia; Loc.: DD; Trat: PG2; Med: ,User1,
,Control de Gestación,26/06/2025,-,User1,VACIA DE 40 POST. INSEM
,Invitación Visita Veterinaria,26/06/2025,"26/06/2025, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (Veterinario),
,Inseminación,17/05/2025,Artificial Insemination; 2406261; FETILITY; Unknown Brand; Jose Zapatero,Jose Zapatero,u tur ml
,Celo,17/05/2025,Herd Navigator,Jose Zapatero,
,Inseminación,27/04/2025,Artificial Insemination; 2205241; MULTI BREED ; Unknown Brand; Jose Zapatero,Jose Zapatero,U TURGENTE
,Celo,27/04/2025,Herd Navigator,Jose Zapatero,
,Diagnósticos/Tratamiento,17/04/2025,Dns: Vacia; Loc.: DD; Trat: CIDR; Med: ,User1,
,Control de Gestación,17/04/2025,-,User1,salio vacia en el segundo dg. de 50 
,Invitación Visita Veterinaria,17/04/2025,"17/04/2025, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,10/04/2025,"10/04/2025, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (Veterinario),
,Inseminación,26/02/2025,Artificial Insemination; fertility/ANGUS; 2406261; Unknown Brand; Roma,Roma,TUR  ML
,Celo,26/02/2025,Herd Navigator,Roma,
,Cambio de grupo,10/02/2025,"2, VMS 2 -> 1, VMS 1",User1,
,Inseminación,08/02/2025,Artificial Insemination; 8403214324421; HIGH OOHM; Unknown Brand; Roma,Roma,NO TUR
,Celo,08/02/2025,Herd Navigator,Roma,
,Inseminación,17/01/2025,Artificial Insemination; 8403214324421; HIGH OOHM; Unknown Brand; Roma,Roma,ML
,Celo,17/01/2025,Herd Navigator,Roma,
,Diagnósticos/Tratamiento,09/01/2025,Dns: Vacia; Loc.: DD; Trat: PG2; Med: ,User1,
,Control de Gestación,09/01/2025,-,User1,VACIA DE 40
,Invitación Visita Veterinaria,09/01/2025,"09/01/2025, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (Veterinario),
,Inseminación,30/11/2024,Artificial Insemination; 8403207410750; ROMELU-ET; Unknown Brand; Roma,Roma,DE CALOR TUR
,Celo,30/11/2024,Herd Navigator,Roma,
,Inseminación,11/11/2024,Artificial Insemination; 8403203292278; GRANADA; Unknown Brand; MVZ. GUADALUPE LOPEZ,MVZ. GUADALUPE LOPEZ,"ES DE PROTOCOLO, UTERO TUGENTE, MUCO CRISTALINO, FUE SEMEN SEXADO"
,Celo,11/11/2024,Otros,MVZ. GUADALUPE LOPEZ,
,Cambio de grupo,02/09/2024,"3, VMS 3 -> 2, VMS 2",User1,
,Diagnósticos/Tratamiento,15/08/2024,Dns: Limpiando; Loc.: DD; Trat: ; Med: ,User1,
,Cambio tabla alimentación,10/08/2024,None -> primerizas-DEL,Admin,
,Cambio de grupo,09/08/2024,"20, RETO -> 3, VMS 3",DelproCliente,
,Parto,09/08/2024,Normal; 91603,DelproCliente,
,Cambio ID Transponder,30/07/2024, -> 982000464364588,,
,Condición corporal,30/07/2024,Condición corporal: 4.00 - DDUP: 0,User1,
,Diagnósticos/Tratamiento,30/07/2024,"Dns: VITAMINA; Loc.: DD; Trat: VIGANTOL (A,D,E); Med: ",User1,
,Cambio de grupo,30/07/2024,"100, SECAS -> 20, RETO",User1,
,Diagnósticos/Tratamiento,30/07/2024,Dns: BOLO RUMENSIN; Loc.: DD; Trat: BOLO RUMENSIN; Med: BOLO RUMENSIN 1 d 1X1pcs,User1,006432
,Diagnósticos/Tratamiento,30/07/2024,Dns: VACUNA; Loc.: DD; Trat: starvacc; Med: STARVAC 1 d 1X2ml Intramuscular,User1,
,Cambio de grupo,01/06/2024,"106, BECERRAS/NOVILLAS -> 100, SECAS",User1,
,Diagnósticos/Tratamiento,01/06/2024,Dns: VACUNA; Loc.: DD; Trat: ROTAVEC; Med: ,User1,
,Control de Gestación,11/04/2024,+,User1,
,Invitación Visita Veterinaria,11/04/2024,Reconfirmacion 2 (150-160 dias),DR  RAFA (Veterinario),
,Control de Gestación,08/02/2024,+,User1,
,Invitación Visita Veterinaria,08/02/2024,Reconfirmacion 1 (90-110 dias),DR  RAFA (Veterinario),
,Control de Gestación,14/12/2023,+,User1,
,Peso,06/12/2023,418 kg,DelproCliente,Talla: 141 cm
,Inseminación,09/11/2023,"Effective Insemination 
Artificial Insemination; 18759682; CHECK; Unknown Brand; Matías",Matías,
,Celo,09/11/2023,Se deja montar,Matías,
,Inseminación,22/10/2023,Artificial Insemination; 8403224809684; CUMULUS; Unknown Brand; Matías,Matías,
,Celo,22/10/2023,Se deja montar,Matías,
,Invitación Visita Veterinaria,05/10/2023,PG1 Becerras (edad en dias 400-407),DR  RAFA (Veterinario),
,Celo,11/09/2023,Se deja montar,Matías,NO LE TOCA
,Peso,29/06/2023,282 kg,User1,altura de 129.7
