Evento,Tipo de evento,Fecha del evento,Descripción,Usuario,Comentario
,Invitación Visita Veterinaria,18/10/2025,"18/10/2025, Reconfirmacion 1 (90-110 dias)",DR  RAFA (Veterinario),
,Control de Gestación,28/08/2025,+,User1,CARGADA DE 46
,Invitación Visita Veterinaria,28/08/2025,"28/08/2025, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (Veterinario),
,Inseminación,13/07/2025,"Effective Insemination 
Artificial Insemination; 840M3267428513; BEYONO [NO SEXADO]; Unknown Brand; Roma",Roma,ML TUR
,Celo,13/07/2025,Herd Navigator,Roma,
,Diagnósticos/Tratamiento,10/07/2025,Dns: Protocolo sincronizacion; Loc.: DD; Trat: RETIRO DEL CIDR; Med: ,User1,+ PGX2 
,Diagnósticos/Tratamiento,03/07/2025,Dns: Protocolo sincronizacion; Loc.: DD; Trat: CIDR; Med: ,User1,
,Control de Gestación,03/07/2025,-,User1,vacia de 41 post insem
,Invitación Visita Veterinaria,03/07/2025,"03/07/2025, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (Veterinario),
,Diagnósticos/Tratamiento,01/06/2025,Dns: MASTITIS; Loc.: DD; Trat: RILEXINE; Med: RILEXINE 3 d 2X1pcs,Roma,
,Diagnósticos/Tratamiento,01/06/2025,Dns: MASTITIS; Loc.: DI; Trat: HIDROPEN X3; Med: HIDROPEN 3 d 1X30ml Intramuscular,Roma,
,Inseminación,23/05/2025,Artificial Insemination; 8403151003682; TAOS-ET; Unknown Brand; Roma,Roma,FUE DE PROTOCOLO OVSYNCH
,Celo,23/05/2025,Otros,Roma,
,Diagnósticos/Tratamiento,24/04/2025,Dns: Quiste derecho; Loc.: DD; Trat: GNRH OVS; Med: ,User1,
,Control de Gestación,24/04/2025,-,User1,VACIA DE 34 POST. INSEM
,Inseminación,21/03/2025,Artificial Insemination; 8403151003682; TAOS-ET; Unknown Brand; Roma,Roma,ML TUR
,Celo,21/03/2025,Herd Navigator,Roma,
,Cambio tabla alimentación,23/02/2025,Multiparas-DEL -> Multiparas-ProduccionLeche,Admin,
,Cambio de grupo,10/02/2025,"2, VMS 2 -> 3, VMS 3",User1,
,Invitación Visita Veterinaria,06/02/2025,"06/02/2025, Vacas frescas",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,30/01/2025,"30/01/2025, Vacas frescas",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,23/01/2025,"23/01/2025, Vacas frescas",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,09/01/2025,"09/01/2025, Vacas frescas",DR  RAFA (Veterinario),
,Cambio de grupo,07/01/2025,"3, VMS 3 -> 2, VMS 2",User1,
,Invitación Visita Veterinaria,02/01/2025,"02/01/2025, Vacas frescas",DR  RAFA (Veterinario),
,Cambio tabla alimentación,25/12/2024,None -> Multiparas-DEL,Admin,
,Cambio de grupo,24/12/2024,"20, RETO -> 3, VMS 3",DelproCliente,
,Parto,24/12/2024,Normal; 116,DelproCliente,
,Condición corporal,05/12/2024,Condición corporal: 3.75 - DDUP: 384,User1,
,Cambio de grupo,05/12/2024,"100, SECAS -> 20, RETO",User1,
,Diagnósticos/Tratamiento,05/12/2024,"Dns: VITAMINA; Loc.: DD; Trat: VIGANTOL (A,D,E); Med: ",User1,
,Diagnósticos/Tratamiento,05/12/2024,Dns: BOLO RUMENSIN; Loc.: DD; Trat: BOLO RUMENSIN; Med: BOLO RUMENSIN 1 d 1X1pcs,User1,005532
