Evento,Tipo de evento,Fecha del evento,Descripción,Usuario,Comentario
,Cambio de grupo,06/10/2025,"2, VMS 2 -> 3, VMS 3",User1,
,Diagnósticos/Tratamiento,17/09/2025,Dns: Mastitis clínica; Loc.: DD; Trat: CEFAVET; Med: CEFAVET 1 d 1X10ml,User1,
,Control de Gestación,11/09/2025,+,User1,CARGADA DE 157
,Control de Gestación,10/07/2025,+,User1,CARGADA DE 94
,Invitación Visita Veterinaria,10/07/2025,"10/07/2025, Reconfirmacion 1 (90-110 dias)",DR  RAFA (Veterinario),
,Control de Gestación,22/05/2025,+,User1,CARGADA DE 45
,Invitación Visita Veterinaria,22/05/2025,"22/05/2025, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (Veterinario),
,Inseminación,07/04/2025,"Effective Insemination 
Artificial Insemination; 8403151003682; TAOS-ET; Unknown Brand; Roma",Roma,DE CALOM-L TUR
,Celo,07/04/2025,Herd Navigator,Roma,
,Inseminación,07/03/2025,Artificial Insemination; HOCANM12857690; PURSUIT; Unknown Brand; Roma,Roma,ML TUR
,Celo,07/03/2025,Herd Navigator,Roma,
,Diagnósticos/Tratamiento,06/03/2025,Dns: Vacia; Loc.: DD; Trat: ; Med: ,User1,ECP
,Control de Gestación,06/03/2025,-,User1,VACIA DE 43
,Inseminación,22/01/2025,Artificial Insemination; 8403203292278; GRANADA; Unknown Brand; Roma,Roma,ML TUR
,Celo,22/01/2025,Herd Navigator,Roma,
,Celo,04/01/2025,Herd Navigator,User1,"EN CELO, 66 DIAS EN LECHE, NO LE TOCA"
,Cambio tabla alimentación,30/12/2024,Multiparas-DEL -> Multiparas-ProduccionLeche,Admin,
,Diagnósticos/Tratamiento,21/11/2024,Dns: ALTA; Loc.: DD; Trat: ; Med: ,User1,
,Invitación Visita Veterinaria,21/11/2024,"21/11/2024, Vacas frescas",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,14/11/2024,"14/11/2024, Vacas frescas",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,07/11/2024,"07/11/2024, Vacas frescas",DR  RAFA (Veterinario),
,Cambio de grupo,04/11/2024,"3, VMS 3 -> 2, VMS 2",User1,
,Cambio tabla alimentación,31/10/2024,None -> Multiparas-DEL,Admin,
,Cambio de grupo,30/10/2024,"20, RETO -> 3, VMS 3",User1,
,Parto,30/10/2024,Normal; 107,User1,
,Condición corporal,18/10/2024,Condición corporal: 3.50 - DDUP: 404,User1,
,Cambio de grupo,18/10/2024,"100, SECAS -> 20, RETO",User1,
,Diagnósticos/Tratamiento,18/10/2024,Dns: BOLO RUMENSIN; Loc.: DD; Trat: BOLO RUMENSIN; Med: BOLO RUMENSIN 1 d 1X1pcs,User1,007451
,Diagnósticos/Tratamiento,18/10/2024,"Dns: VITAMINA; Loc.: DD; Trat: VIGANTOL (A,D,E); Med: ",User1,
,Diagnósticos/Tratamiento,18/10/2024,Dns: VACUNA; Loc.: DD; Trat: starvacc; Med: STARVAC 1 d 1X2ml Intramuscular,User1,
,Cambio tabla alimentación,01/08/2024,Multiparas-ProduccionLeche -> ,DelproCliente,
,Diagnósticos/Tratamiento,01/08/2024,Dns: VACUNA; Loc.: DD; Trat: starvacc; Med: STARVAC 1 d 1X2ml Intramuscular,DelproCliente,
,Diagnósticos/Tratamiento,01/08/2024,Dns: VACUNA; Loc.: DD; Trat: ROTAVEC; Med: ,DelproCliente,
