Evento,Tipo de evento,Fecha del evento,Descripción,Usuario,Comentario
,Inseminación,16/10/2025,Artificial Insemination; HO840M3253835758; BEYONO HI-FIVE-ET; Sexed; Unknown Brand; Roma,Roma,de calor ml
,Celo,16/10/2025,Herd Navigator,Roma,
,Cambio tabla alimentación,23/09/2025,None -> primerizas-DEL,Admin,
,Cambio de grupo,22/09/2025,"102, ESTABLO INICIAL -> 3, VMS 3",User1,
,Invitación Visita Veterinaria,28/08/2025,"28/08/2025, Vacas frescas",DR  RAFA (Veterinario),
,Cambio tabla alimentación,21/08/2025,primerizas-DEL -> ,User1,
,Cambio de grupo,21/08/2025,"2, VMS 2 -> 102, ESTABLO INICIAL",User1,
,Invitación Visita Veterinaria,21/08/2025,"21/08/2025, Vacas frescas",DR  RAFA (Veterinario),
,Cambio de grupo,08/08/2025,"3, VMS 3 -> 2, VMS 2",User1,
,Invitación Visita Veterinaria,07/08/2025,"07/08/2025, Vacas frescas",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,31/07/2025,"31/07/2025, Vacas frescas",DR  RAFA (Veterinario),
,Condición corporal,28/07/2025,Condición corporal: 3.90 - DDUP: 7,Admin,BCS Camera
,Invitación Visita Veterinaria,24/07/2025,"24/07/2025, Vacas frescas",DR  RAFA (Veterinario),
,Cambio tabla alimentación,22/07/2025,None -> primerizas-DEL,Admin,
,Cambio de grupo,21/07/2025,"20, RETO -> 3, VMS 3",User1,
,Parto,21/07/2025,Normal; 7421,User1,
,Cambio ID Transponder,18/07/2025, -> 982000458994420,,
,Cambio de grupo,18/07/2025,"100, SECAS -> 20, RETO",User1,
,Cambio de grupo,07/05/2025,"106, BECERRAS/NOVILLAS -> 100, SECAS",User1,
,Diagnósticos/Tratamiento,24/04/2025,Dns: VACUNA; Loc.: DD; Trat: ROTAVEC; Med: ,User1,
,Diagnósticos/Tratamiento,24/04/2025,Dns: VACUNA; Loc.: DD; Trat: starvacc; Med: STARVAC 1 d 1X2ml Intramuscular,User1,
,Control de Gestación,17/04/2025,+,User1,
,Control de Gestación,20/03/2025,+,User1,CARGADA DE 152
,Control de Gestación,16/01/2025,+,User1,CARGADA DE 89 POST INSEM
,Control de Gestación,02/12/2024,+,User1,Cargada de 40 post insem
,Invitación Visita Veterinaria,28/11/2024,"28/11/2024, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (Veterinario),
,Inseminación,19/10/2024,"Effective Insemination 
Artificial Insemination; 8403138843085; LUSTER-P- ET; Unknown Brand; Matías",Matías,
,Celo,19/10/2024,Se deja montar,Matías,
,Diagnósticos/Tratamiento,17/10/2024,Dns: Protocolo sincronizacion; Loc.: DD; Trat: RETIRO DEL CIDR; Med: ,User1,GNRH
,Invitación Visita Veterinaria,17/10/2024,"17/10/2024, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (Veterinario),
,Control de Gestación,10/10/2024,-,User1,VACIA DE 41
,Invitación Visita Veterinaria,10/10/2024,"10/10/2024, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (Veterinario),
,Inseminación,30/08/2024,Artificial Insemination; HAYK HPP SELECTS; HO8403214541122; Unknown Brand; Roma,DelproCliente,
,Celo,30/08/2024,Herd Navigator,DelproCliente,
,Inseminación,11/08/2024,Artificial Insemination; 8403203292278; GRANADA; Unknown Brand; Matías,Matías,
,Celo,11/08/2024,Se deja montar,Matías,
,Diagnósticos/Tratamiento,08/08/2024,Dns: Protocolo sincronizacion; Loc.: DD; Trat: RETIRO DEL CIDR; Med: ,User1,PGX2
,Diagnósticos/Tratamiento,01/08/2024,Dns: Protocolo sincronizacion; Loc.: DD; Trat: CIDR; Med: ,User1,
,Control de Gestación,01/08/2024,-,User1,VACIA DE 38 POST INSEM
,Inseminación,24/06/2024,Artificial Insemination; 8403214541122; HAYK; Unknown Brand; Matías,Matías,
,Celo,24/06/2024,Se deja montar,Matías,
,Diagnósticos/Tratamiento,20/06/2024,Dns: Presynch; Loc.: DD; Trat: PG2; Med: ,User1,
,Peso,19/06/2024,454 kg,User1,1.48 ALTURA
,Diagnósticos/Tratamiento,06/06/2024,Dns: Presynch; Loc.: DD; Trat: PG2; Med: ,User1,
,Diagnósticos/Tratamiento,23/05/2024,Dns: Presynch; Loc.: DD; Trat: PG X1; Med: LUTALYSE 1 d 1X5ml Intramuscular,User1,
,Celo,08/04/2024,Se deja montar,Matías,NO LE TOCA
,Diagnósticos/Tratamiento,17/05/2023,Dns: BOVISHIELD FP; Loc.: DD; Trat: BOVISHIELD FP; Med: BOVISHIELD FP 1 d 1X2ml,User1,
,Entrada,13/04/2023,Nacimiento,User1,
