Evento,Tipo de evento,Fecha del evento,Descripción,Usuario,Comentario
,Cambio de grupo,06/10/2025,"2, VMS 2 -> 3, VMS 3",User1,
,Control de Gestación,28/08/2025,+,User1,CARGADA D 150
,Invitación Visita Veterinaria,28/08/2025,"28/08/2025, Reconfirmacion 2 (150-160 dias)",DR  RAFA (Veterinario),
,Cambio de grupo,08/08/2025,"3, VMS 3 -> 2, VMS 2",User1,
,Control de Gestación,03/07/2025,+,User1,CARGADA DE 94
,Invitación Visita Veterinaria,03/07/2025,"03/07/2025, Reconfirmacion 1 (90-110 dias)",DR  RAFA (Veterinario),
,Diagnósticos/Tratamiento,27/06/2025,Dns: Mastitis clínica; Loc.: DD; Trat: HIDROPEN; Med: HIDROPEN 3 d 1X30ml,User1,+CEFAVET
,Diagnósticos/Tratamiento,23/06/2025,Dns: Mastitis clínica; Loc.: DD; Trat: RILEXINE; Med: RILEXINE 3 d 2X1pcs,User1,
,Diagnósticos/Tratamiento,13/06/2025,Dns: Mastitis clínica; Loc.: DD; Trat: RILEXINE; Med: RILEXINE 3 d 2X1pcs,User1,
,Cambio ID Transponder,26/05/2025,021000000000000 -> 982000434159703,,
,Cambio ID Transponder,21/05/2025,982000434159703 -> 021000000000000,,
,Control de Gestación,15/05/2025,+,User1,CARGADA DE 44
,Invitación Visita Veterinaria,15/05/2025,"15/05/2025, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (Veterinario),
,Inseminación,31/03/2025,"Effective Insemination 
Artificial Insemination; 8403151003682; TAOS-ET; Unknown Brand; Roma",Roma, de calo ml
,Celo,31/03/2025,Herd Navigator,Roma,
,Cambio tabla alimentación,14/03/2025,Multiparas-DEL -> Multiparas-ProduccionLeche,Admin,
,Celo,09/03/2025,Herd Navigator,User1,CELO NO LE TOCA/ 56 DIAS EN LECHE
,Cambio de grupo,25/02/2025,"2, VMS 2 -> 3, VMS 3",User1,
,Invitación Visita Veterinaria,20/02/2025,"20/02/2025, Vacas frescas",DR  RAFA (Veterinario),
,Celo,18/02/2025,Herd Navigator,User1,NO LE TOCA /37 DIAS EN LECHE
,Invitación Visita Veterinaria,13/02/2025,"13/02/2025, Vacas frescas",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,06/02/2025,"06/02/2025, Vacas frescas",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,30/01/2025,"30/01/2025, Vacas frescas",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,23/01/2025,"23/01/2025, Vacas frescas",DR  RAFA (Veterinario),
,Cambio de grupo,21/01/2025,"3, VMS 3 -> 2, VMS 2",User1,
,Cambio tabla alimentación,14/01/2025,None -> Multiparas-DEL,Admin,
,Cambio de grupo,13/01/2025,"20, RETO -> 3, VMS 3",DelproCliente,
,Parto,12/01/2025,Normal; 7500,DelproCliente,
,Condición corporal,30/12/2024,Condición corporal: 3.75 - DDUP: 346,User1,
,Cambio de grupo,30/12/2024,"100, SECAS -> 20, RETO",User1,
,Diagnósticos/Tratamiento,30/12/2024,Dns: BOLO RUMENSIN; Loc.: DD; Trat: BOLO RUMENSIN; Med: BOLO RUMENSIN 1 d 1X1pcs,User1,008108
,Diagnósticos/Tratamiento,30/12/2024,"Dns: VITAMINA; Loc.: DD; Trat: VIGANTOL (A,D,E); Med: ",User1,
,Diagnósticos/Tratamiento,30/12/2024,Dns: VACUNA; Loc.: DD; Trat: starvacc; Med: STARVAC 1 d 1X2ml Intramuscular,User1,
,Cambio tabla alimentación,24/10/2024,Primerizas-ProduccionLeche -> ,User1,
,Condición corporal,24/10/2024,Condición corporal: 3.25 - DDUP: 279,User1,
,Secado,24/10/2024,Dry Off,User1,"Se seco con 279 DEL, 22.23 litros. 194 DCC, quedo gestante en la 1 ins."
,Cambio de grupo,24/10/2024,"3, VMS 3 -> 100, SECAS",User1,
,Diagnósticos/Tratamiento,24/10/2024,Dns: Secar; Loc.: DD; Trat: CEFA SAFE; Med: CEFA SAFE 1 d 1X4pcs,User1,
,Diagnósticos/Tratamiento,24/10/2024,Dns: VACUNA; Loc.: DD; Trat: ROTAVEC; Med: ,User1,
,Diagnósticos/Tratamiento,24/10/2024,Dns: VACUNA; Loc.: DD; Trat: starvacc; Med: STARVAC 1 d 1X2ml Intramuscular,User1,
,Cambio de grupo,23/10/2024,"1, VMS 1 -> 3, VMS 3",User1,
,Control de Gestación,12/09/2024,+,DelproCliente,
,Invitación Visita Veterinaria,12/09/2024,Reconfirmacion 2 (150-160 dias),DR  RAFA (Veterinario),
,Control de Gestación,11/07/2024,+,User1,
,Control de Gestación,30/05/2024,+,User1,
,Invitación Visita Veterinaria,30/05/2024,Diagnostico de Gestacion (>40 dias insem),DR  RAFA (Veterinario),
,Cambio tabla alimentación,09/05/2024,primerizas-DEL -> Primerizas-ProduccionLeche,Admin,
,Inseminación,13/04/2024,"Effective Insemination 
Artificial Insemination; HOCANM13636755; OVERPASS; Unknown Brand; Roma",Roma,TUR
,Celo,13/04/2024,Herd Navigator,Roma,
,Invitación Visita Veterinaria,07/03/2024,Vacas frescas,DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,29/02/2024,Vacas frescas,DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,22/02/2024,Vacas frescas,DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,22/02/2024,Vacas frescas,DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,15/02/2024,Vacas frescas,DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,08/02/2024,Vacas frescas,DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,01/02/2024,Vacas frescas,DR  RAFA (Veterinario),
,Cambio de grupo,27/01/2024,"3, VMS 3 -> 1, VMS 1",User1,
,Cambio tabla alimentación,20/01/2024,None -> primerizas-DEL,Admin,
,Cambio de grupo,19/01/2024,"20, RETO -> 3, VMS 3",DelproCliente,
,Parto,19/01/2024,Normal; 1537,DelproCliente,
,Diagnósticos/Tratamiento,10/01/2024,Dns: BOLO RUMENSIN; Loc.: DD; Trat: BOLO RUMENSIN; Med: BOLO RUMENSIN 1 d 1X1pcs,User1,001146
,Cambio de grupo,10/01/2024,"100, SECAS -> 20, RETO",User1,
,Cambio ID Transponder,24/11/2023, -> 982000434159703,,
,Cambio de grupo,24/11/2023,"106, BECERRAS/NOVILLAS -> 100, SECAS",DelproCliente,
,Diagnósticos/Tratamiento,24/11/2023,Dns: VACUNA; Loc.: DD; Trat: ROTAVEC; Med: ,DelproCliente,
,Control de Gestación,16/11/2023,+,User1,
,Control de Gestación,09/11/2023,+,DelproCliente,
,Control de Gestación,21/09/2023,+,DelproCliente,
,Invitación Visita Veterinaria,21/09/2023,Reconfirmacion 2 (150-160 dias),DR  RAFA (Veterinario),
,Peso,29/06/2023,424 kg,User1,altura de 140.3
,Control de Gestación,08/06/2023,+,DelproCliente,
,Diagnósticos/Tratamiento,01/06/2023,Dns: SUCIA; Loc.: DD; Trat: ; Med: ,DelproCliente,INFUSION INTRAUTERINA; SUERO FISIOLOGICO CON EMICINA
,Invitación Visita Veterinaria,01/06/2023,R14 PARA DIAGNOSTIUCO DE GESTACION,DelproCliente,
,Peso,23/05/2023,406 kg,User1,"Talla: 136.6
"
,Control de Gestación,18/05/2023,+,DelproCliente,
,Diagnósticos/Tratamiento,17/05/2023,Dns: LEPTOFERM 5; Loc.: DD; Trat: LEPTOFERM 5; Med: LEPTOFERM 5 1 d 1X2ml,User1,
,Inseminación,20/04/2023,"Effective Insemination 
Artificial Insemination; 8403216874976; MAGNUM; Unknown Brand; Matías",Matías,
,Celo,20/04/2023,Se deja montar,Matías,
,Peso,07/03/2023,336 kg,DelproCliente,TALLA 134.5
,Celo,20/02/2023,Se deja montar,Matías,NO LE TOCA
,Diagnósticos/Tratamiento,15/08/2022,Dns: VACUNA; Loc.: DD; Trat: ONE-SHOT; Med: ,DelproCliente,
,Cita de vacunación,01/07/2022,"No tratado, Oneshot, Oneshot",DR  RAFA (Veterinario),
,Cita de vacunación,06/05/2022,"No tratado, Oneshot, Oneshot",DR  RAFA (Veterinario),
,Entrada,17/03/2022,Nacimiento,User1,
