Evento,Tipo de evento,Fecha del evento,Descripción,Usuario,Comentario
,Invitación Visita Veterinaria,18/10/2025,"18/10/2025, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (Veterinario),
,Inseminación,07/09/2025,Artificial Insemination; HOCANM14766631; WALNUTLAWM PG BRIGHTNEON/ SEMEX; Unknown Brand; Jose Zapatero,Jose Zapatero,ML TUR
,Celo,07/09/2025,Herd Navigator,Jose Zapatero,
,Diagnósticos/Tratamiento,21/08/2025,Dns: Vacia; Loc.: DD; Trat: GNRH OVS; Med: ,User1,OA GNRH
,Control de Gestación,21/08/2025,-,User1,VACIA DE 40 POST INSEM
,Invitación Visita Veterinaria,21/08/2025,"21/08/2025, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (Veterinario),
,Cambio tabla alimentación,03/08/2025,primerizas-DEL -> Primerizas-ProduccionLeche,Admin,
,Inseminación,12/07/2025,Artificial Insemination; HO840M3253835758; BEYONO HI-FIVE-ET; Sexed; Unknown Brand; Roma,Roma,TUR FUE CON SEXADO
,Celo,12/07/2025,Herd Navigator,Roma,
,Inseminación,30/06/2025,Artificial Insemination; 8403207410750; ROMELU-ET; Unknown Brand; Jose Zapatero,Jose Zapatero,U TUR
,Celo,30/06/2025,Herd Navigator,Jose Zapatero,
,Cambio de grupo,16/06/2025,"2, VMS 2 -> 3, VMS 3",User1,
,Diagnósticos/Tratamiento,08/05/2025,Dns: ALTA; Loc.: DD; Trat: ; Med: ,User1,
,Invitación Visita Veterinaria,08/05/2025,"08/05/2025, Vacas frescas",DR  RAFA (Veterinario),
,Diagnósticos/Tratamiento,05/05/2025,Dns: REVISION; Loc.: DD; Trat: LIMPIANDO R7; Med: ,DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,01/05/2025,"01/05/2025, Vacas frescas",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,24/04/2025,"24/04/2025, Vacas frescas",DR  RAFA (Veterinario),
,Cambio de grupo,21/04/2025,"3, VMS 3 -> 2, VMS 2",User1,
,Cambio tabla alimentación,17/04/2025,None -> primerizas-DEL,Admin,
,Invitación Visita Veterinaria,17/04/2025,"17/04/2025, Vacas frescas",DR  RAFA (Veterinario),
,Cambio ID Transponder,16/04/2025, -> 982000464364442,,
,Cambio de grupo,16/04/2025,"102, ESTABLO INICIAL -> 3, VMS 3",User1,
,Cambio de grupo,14/04/2025,"106, BECERRAS/NOVILLAS -> 102, ESTABLO INICIAL",User1,
,Aborto,14/04/2025,,User1,ABORTO A LOS 200 DCC. HABIA QUEDADO GESTANTE A LA 4 INSEM.  se encontraron 2 fetos grandes 
,Control de Gestación,06/03/2025,+,User1,CARGADA DE 161
,Control de Gestación,26/12/2024,+,User1,CARGADA DE 91
,Control de Gestación,31/10/2024,+,User1,CARGADA DE 35 DCC
,Inseminación,26/09/2024,"Effective Insemination 
Artificial Insemination; 8403214541122; HAYK; Unknown Brand; Matías",Matías,
,Celo,26/09/2024,Se deja montar,Matías,
,Inseminación,08/09/2024,Artificial Insemination; 8403203292278; GRANADA; Unknown Brand; Matías,Matías,
,Celo,08/09/2024,Se deja montar,Matías,
,Inseminación,29/08/2024,Artificial Insemination; Reg. 71631ASO; JAY; Unknown Brand; Matías,Matías,
,Celo,29/08/2024,Se deja montar,Matías,
,Inseminación,29/07/2024,Artificial Insemination; 8403203292278; GRANADA; Unknown Brand; Roma,Roma,"de calor . m ,l tur"
,Celo,29/07/2024,Herd Navigator,Roma,
,Diagnósticos/Tratamiento,25/07/2024,Dns: Presynch; Loc.: DD; Trat: PG X1; Med: LUTALYSE 1 d 1X5ml Intramuscular,User1,
,Invitación Visita Veterinaria,18/07/2024,PG1 Becerras (edad en dias 400-407),DR  RAFA (Veterinario),
,Diagnósticos/Tratamiento,02/07/2024,Dns: VACUNA; Loc.: DD; Trat: BOVILIS Vista 5 L5 SQ; Med: ,DelproCliente,
,Entrada,14/06/2023,Nacimiento,DelproCliente,
