Evento,Tipo de evento,Fecha del evento,Descripción,Usuario,Comentario
,Condición corporal,27/09/2025,Condición corporal: 3.52 - DDUP: 300,Admin,BCS Camera
,Control de Gestación,11/09/2025,+,User1,CARGADA DE 95
,Control de Gestación,17/07/2025,+,User1,CARGADA DE 39 POST. INSEM
,Inseminación,08/06/2025,"Effective Insemination 
Artificial Insemination; 8403214541122; HAYK; Unknown Brand; Roma",Roma,
,Celo,08/06/2025,Se deja montar,Roma,
,Aborto,08/06/2025,,User1,SALIO VACIA DE 110 DCC
,Control de Gestación,29/05/2025,+,User1,cargada de 91
,Invitación Visita Veterinaria,29/05/2025,"29/05/2025, Reconfirmacion 1 (90-110 dias)",DR  RAFA (Veterinario),
,Control de Gestación,17/04/2025,+,User1,cargada de 49
,Invitación Visita Veterinaria,17/04/2025,"17/04/2025, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,10/04/2025,"10/04/2025, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (Veterinario),
,Inseminación,27/02/2025,"Effective Insemination 
Artificial Insemination; HO84m3212874372; COOKIECUTTER HOKYSMOKES; Unknown Brand; Roma",Roma,U  TUR
,Celo,27/02/2025,Herd Navigator,Roma,
,Cambio de grupo,10/02/2025,"2, VMS 2 -> 3, VMS 3",User1,
,Cambio tabla alimentación,31/01/2025,Multiparas-DEL -> Multiparas-ProduccionLeche,Admin,
,Invitación Visita Veterinaria,09/01/2025,"09/01/2025, Vacas frescas",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,02/01/2025,"02/01/2025, Vacas frescas",DR  RAFA (Veterinario),
,Diagnósticos/Tratamiento,28/12/2024,Dns: Mastitis clínica; Loc.: DD; Trat: HIDROPEN; Med: HIDROPEN 3 d 1X30ml,DelproCliente,
,Diagnósticos/Tratamiento,28/12/2024,Dns: Mastitis clínica; Loc.: DD; Trat: RILEXINE; Med: RILEXINE 3 d 2X1pcs,DelproCliente,
,Invitación Visita Veterinaria,19/12/2024,"19/12/2024, Vacas frescas",DR  RAFA (Veterinario),
,Cambio de grupo,07/12/2024,"3, VMS 3 -> 2, VMS 2",User1,
,Cambio tabla alimentación,02/12/2024,None -> Multiparas-DEL,Admin,
,Cambio de grupo,01/12/2024,"20, RETO -> 3, VMS 3",User1,
,Parto,01/12/2024,Normal; 7358,User1,
,Condición corporal,12/11/2024,Condición corporal: 4.00 - DDUP: 382,User1,
,Cambio de grupo,12/11/2024,"100, SECAS -> 20, RETO",User1,
,Diagnósticos/Tratamiento,12/11/2024,Dns: BOLO RUMENSIN; Loc.: DD; Trat: BOLO RUMENSIN; Med: BOLO RUMENSIN 1 d 1X1pcs,User1,007483
,Diagnósticos/Tratamiento,12/11/2024,"Dns: VITAMINA; Loc.: DD; Trat: VIGANTOL (A,D,E); Med: ",User1,
,Diagnósticos/Tratamiento,12/11/2024,Dns: VACUNA; Loc.: DD; Trat: starvacc; Med: STARVAC 1 d 1X2ml Intramuscular,User1,
,Cambio tabla alimentación,06/09/2024,Multiparas-ProduccionLeche -> ,User1,
,Diagnósticos/Tratamiento,06/09/2024,Dns: Secar; Loc.: DD; Trat: CEFA SAFE; Med: CEFA SAFE 1 d 1X4pcs,User1,
,Diagnósticos/Tratamiento,06/09/2024,Dns: VACUNA; Loc.: DD; Trat: ROTAVEC; Med: ,User1,
,Diagnósticos/Tratamiento,06/09/2024,Dns: VACUNA; Loc.: DD; Trat: starvacc; Med: STARVAC 1 d 1X2ml Intramuscular,User1,
,Secado,06/09/2024,Dry Off,User1,Se seco con 315 DEL; 189 DCC con 25.75 litros: quedo gestante en la 2 insem.
,Cambio de grupo,06/09/2024,"3, VMS 3 -> 100, SECAS",User1,
,Cambio de grupo,02/09/2024,"1, VMS 1 -> 3, VMS 3",User1,
,Control de Gestación,01/08/2024,+,User1,CARGADA DE 153
,Invitación Visita Veterinaria,01/08/2024,Reconfirmacion 2 (150-160 dias),DR  RAFA (Veterinario),
,Control de Gestación,30/05/2024,+,User1,
,Invitación Visita Veterinaria,30/05/2024,Reconfirmacion 1 (90-110 dias),DR  RAFA (Veterinario),
,Control de Gestación,18/04/2024,+,User1,
,Invitación Visita Veterinaria,11/04/2024,Diagnostico de Gestacion (>40 dias insem),DR  RAFA (Veterinario),
,Inseminación,01/03/2024,"Effective Insemination 
Artificial Insemination; 8403207410750; ROMELU-ET; Unknown Brand; Matías",Matías,
,Celo,01/03/2024,Otros,Matías,
,Diagnósticos/Tratamiento,22/02/2024,Dns: Vacia; Loc.: DD; Trat: PG2; Med: ,User1,
,Control de Gestación,22/02/2024,-,User1,vacia de 34 post. ins 
,Inseminación,19/01/2024,Artificial Insemination; 840003224956190; BARBAZZA ALTA; Unknown Brand; Roma,Roma,no tur
,Celo,19/01/2024,Herd Navigator,Roma,
,Cambio tabla alimentación,27/12/2023,Multiparas-DEL -> Multiparas-ProduccionLeche,Admin,
,Diagnósticos/Tratamiento,09/11/2023,Dns: SUCIA; Loc.: DD; Trat: ; Med: ,DelproCliente,CURAR
,Cambio de grupo,08/11/2023,"3, VMS 3 -> 1, VMS 1",User1,
,Diagnósticos/Tratamiento,02/11/2023,Dns: Limpiando; Loc.: DD; Trat: ; Med: ,DelproCliente,Sucia curar
,Cambio tabla alimentación,28/10/2023,None -> Multiparas-DEL,Admin,
,Cambio de grupo,27/10/2023,"20, RETO -> 3, VMS 3",User1,
,Parto,27/10/2023,Normal; 1513,DelproCliente,
,Notas,25/10/2023,General,DelproCliente,Sensor de rumia 7636062
,Condición corporal,13/10/2023,Condición corporal: 3.25 - DDUP: 328,User1,
,Cambio de grupo,13/10/2023,"100, SECAS -> 20, RETO",User1,
,Diagnósticos/Tratamiento,13/10/2023,Dns: VACUNA; Loc.: DD; Trat: starvacc; Med: STARVAC 1 d 1X2ml Intramuscular,User1,
,Diagnósticos/Tratamiento,13/10/2023,Dns: BOLO RUMENSIN; Loc.: DD; Trat: BOLO RUMENSIN; Med: BOLO RUMENSIN 1 d 1X1pcs,User1,004944
,Cambio tabla alimentación,08/09/2023,Primerizas-ProduccionLeche -> ,DelproCliente,
,Secado,08/09/2023,Dry Off,DelproCliente,
,Cambio de grupo,08/09/2023,"1, VMS 1 -> 100, SECAS",DelproCliente,
,Invitación Visita Veterinaria,07/09/2023,Vacas a secar,DR  RAFA (Veterinario),
,Control de Gestación,06/07/2023,+,DelproCliente,
,Invitación Visita Veterinaria,06/07/2023,Reconfirmacion 2 (150-160 dias),DR  RAFA (Veterinario),
,Control de Gestación,05/05/2023,+,DelproCliente,
,Invitación Visita Veterinaria,04/05/2023,Reconfirmacion 1 (90-110 dias),DR  RAFA (Veterinario),
,Control de Gestación,16/03/2023,+,User1,
,Invitación Visita Veterinaria,16/03/2023,Diagnostico de Gestacion (>40 dias insem),DR  RAFA (Veterinario),
,Cambio tabla alimentación,10/03/2023,primerizas-DEL -> Primerizas-ProduccionLeche,Admin,
,Inseminación,03/02/2023,"Effective Insemination 
Artificial Insemination; 3142490309; Unknown Brand; UnknownBreeder",DelproCliente,
,Celo,03/02/2023,Herd Navigator,DelproCliente,
,Cambio de grupo,30/01/2023,"3, VMS 3 -> 1, VMS 1",User1,
,Diagnósticos/Tratamiento,26/01/2023,Dns: GNRH; Loc.: DD; Trat: ; Med: ,User1,PRPTOCOLO ESTANCIAS
,Diagnósticos/Tratamiento,24/01/2023,Dns: PG; Loc.: DD; Trat: ; Med: ,User1,protocolo de estancias
,Diagnósticos/Tratamiento,17/01/2023,Dns: ; Loc.: DD; Trat: GNRH OVS; Med: ,DelproCliente,"Protocolo estancias
 
"
,Diagnósticos/Tratamiento,10/01/2023,Dns: GNRH; Loc.: DD; Trat: ; Med: ,User1,Protocolo estancias
,Diagnósticos/Tratamiento,07/01/2023,Dns: PG; Loc.: DD; Trat: ; Med: ,User1,Protocolo estancias
,Diagnósticos/Tratamiento,31/12/2022,Dns: GNRH; Loc.: DD; Trat: ; Med: ,User1,Protocolo estancias
,Invitación Visita Veterinaria,08/12/2022,Vacas frescas,DR  RAFA (Veterinario),
,Diagnósticos/Tratamiento,24/11/2022,Dns: Limpiando; Loc.: DD; Trat: ; Med: ,User1,
,Invitación Visita Veterinaria,23/11/2022,"Vacas frescas, Available for Vet Visit earliest 01/12/2022",DR  RAFA (Veterinario),
,Cambio tabla alimentación,20/11/2022,None -> primerizas-DEL,Admin,
,Cambio ID Transponder,19/11/2022, -> 982000464364598,,
,Cambio de grupo,19/11/2022,"20, RETO -> 3, VMS 3",DelproCliente,
,Parto,19/11/2022,Difícil; 8842,Alfredo,
,Cambio de grupo,18/10/2022,"106, BECERRAS/NOVILLAS -> 20, RETO",DelproCliente,
,Diagnósticos/Tratamiento,18/10/2022,Dns: VACUNA; Loc.: DD; Trat: starvacc; Med: STARVAC 1 d 1X2ml Intramuscular,DelproCliente,
,Invitación Visita Veterinaria,13/10/2022,Becerras para reto,DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,06/10/2022,Becerras para reto,DR  RAFA (Veterinario),
,Control de Gestación,07/07/2022,+,User1,
,Invitación Visita Veterinaria,07/07/2022,Reconfirmacion 2 (150-160 dias),DR  RAFA (Veterinario),
,Control de Gestación,05/05/2022,+,User1,
,Cambio de grupo,02/05/2022," -> 106, BECERRAS/NOVILLAS",User1,
,Control de Gestación,29/03/2022,+,User1,
,Cambio de grupo,13/03/2022, -> ,User1,
,Inseminación,03/02/2022,"Effective Insemination 
Artificial Insemination; 011KB01000; Unknown Brand; UnknownBreeder",User1,
,Celo,03/02/2022,Herd Navigator,User1,
,Inseminación,12/01/2022,Artificial Insemination; UnknownSemen; Unknown Brand; UnknownBreeder,User1,
,Celo,12/01/2022,Herd Navigator,User1,
,Inseminación,23/12/2021,Artificial Insemination; UnknownSemen; Unknown Brand; UnknownBreeder,User1,
,Celo,23/12/2021,Herd Navigator,User1,
,Inseminación,08/12/2021,Artificial Insemination; UnknownSemen; Unknown Brand; UnknownBreeder,User1,
,Celo,08/12/2021,Herd Navigator,User1,
,Inseminación,23/10/2021,Artificial Insemination; UnknownSemen; Unknown Brand; UnknownBreeder,User1,
,Celo,23/10/2021,Herd Navigator,User1,
,Entrada,01/09/2020,Nacimiento,User1,
