Evento,Tipo de evento,Fecha del evento,Descripción,Usuario,Comentario
,Cambio de grupo,20/10/2025,"2, VMS 2 -> 3, VMS 3",User1,
,Cambio de grupo,06/10/2025,"3, VMS 3 -> 2, VMS 2",User1,
,Invitación Visita Veterinaria,25/09/2025,"25/09/2025, Vacas frescas",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,18/09/2025,"18/09/2025, Vacas frescas",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,11/09/2025,"11/09/2025, Vacas frescas",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,28/08/2025,"28/08/2025, Vacas frescas",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,21/08/2025,"21/08/2025, Vacas frescas",DR  RAFA (Veterinario),
,Cambio tabla alimentación,12/08/2025,None -> primerizas-DEL,Admin,
,Cambio de grupo,11/08/2025,"20, RETO -> 3, VMS 3",DelproCliente,
,Parto,10/08/2025,Normal; 7461,DelproCliente,
,Cambio ID Transponder,19/07/2025, -> 982000458994439,,
,Condición corporal,19/07/2025,Condición corporal: 3.50 - DDUP: 0,User1,
,Cambio de grupo,19/07/2025,"106, BECERRAS/NOVILLAS -> 20, RETO",User1,
,Diagnósticos/Tratamiento,19/07/2025,Dns: VACUNA; Loc.: DD; Trat: starvacc; Med: STARVAC 1 d 1X2ml Intramuscular,User1,
,Diagnósticos/Tratamiento,19/07/2025,Dns: BOLO RUMENSIN; Loc.: DD; Trat: BOLO RUMENSIN; Med: BOLO RUMENSIN 1 d 1X1pcs,User1,007417
,Control de Gestación,29/05/2025,+,User1,cargada de 203
,Control de Gestación,10/04/2025,+,User1,CARGADA DE 154
,Invitación Visita Veterinaria,10/04/2025,"10/04/2025, Reconfirmacion 2 (150-160 dias)",DR  RAFA (Veterinario),
,Control de Gestación,06/02/2025,+,User1,CARGADA DE 91
,Invitación Visita Veterinaria,06/02/2025,"06/02/2025, Reconfirmacion 1 (90-110 dias)",DR  RAFA (Veterinario),
,Control de Gestación,19/12/2024,+,User1,CARGADA DE 42
,Invitación Visita Veterinaria,19/12/2024,"19/12/2024, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (Veterinario),
,Inseminación,07/11/2024,"Effective Insemination 
Artificial Insemination; 8403138843085; LUSTER-P- ET; Unknown Brand; Matías",Matías,
,Celo,07/11/2024,Se deja montar,Matías,
,Inseminación,19/10/2024,Artificial Insemination; 8403214541122; HAYK; Unknown Brand; Matías,Matías,
,Celo,19/10/2024,Se deja montar,Matías,
,Diagnósticos/Tratamiento,17/10/2024,Dns: Presynch; Loc.: DD; Trat: PG2; Med: ,User1,
,Invitación Visita Veterinaria,10/10/2024,"10/10/2024, PG1 Becerras (edad en dias 400-407)",DR  RAFA (Veterinario),
,Celo,29/08/2024,Se deja montar,Matías,NO LE TOCA
,Diagnósticos/Tratamiento,02/07/2024,Dns: VACUNA; Loc.: DD; Trat: BOVILIS Vista 5 L5 SQ; Med: ,DelproCliente,
,Entrada,31/08/2023,Nacimiento,DelproCliente,
