Evento,Tipo de evento,Fecha del evento,Descripción,Usuario,Comentario
,Control de Gestación,02/10/2025,+,User1,CARGADA DE 47
,Invitación Visita Veterinaria,02/10/2025,"02/10/2025, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,25/09/2025,"25/09/2025, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (Veterinario),
,Inseminación,16/08/2025,"Effective Insemination 
Artificial Insemination; 840M3267428513; BEYONO [NO SEXADO]; Unknown Brand; Roma",Roma,de calo ml tur
,Celo,16/08/2025,Herd Navigator,Roma,
,Cambio de grupo,30/07/2025,"2, VMS 2 -> 3, VMS 3",User1,
,Inseminación,26/07/2025,Artificial Insemination; 8403151003682; TAOS-ET; Unknown Brand; Roma,Roma,no tur
,Celo,26/07/2025,Herd Navigator,Roma,
,Diagnósticos/Tratamiento,24/07/2025,Dns: Protocolo sincronizacion; Loc.: DD; Trat: RETIRO DEL CIDR; Med: ,User1,
,Diagnósticos/Tratamiento,17/07/2025,Dns: Vacia; Loc.: DD; Trat: CIDR; Med: ,User1,
,Control de Gestación,17/07/2025,-,User1,vacia de 36 post. insem
,Inseminación,11/06/2025,Artificial Insemination; 2406261; FETILITY; Unknown Brand; Roma,Roma,ml  poco tur
,Celo,11/06/2025,Herd Navigator,Roma,
,Inseminación,23/05/2025,Artificial Insemination; 8403151003682; TAOS-ET; Unknown Brand; Roma,Roma,DE CALOR 
,Celo,23/05/2025,Otros,Roma,
,Inseminación,04/05/2025,Artificial Insemination; HO8403245812149; HAVENFUN-RED; Unknown Brand; Jose Zapatero,Jose Zapatero,NO RUR
,Inseminación,04/05/2025,Artificial Insemination; HO8403245812149; HAVENFUN-RED; Unknown Brand; Roma,Roma,FUE  DE CIDR
,Celo,04/05/2025,Otros,Roma,
,Diagnósticos/Tratamiento,01/05/2025,Dns: Protocolo sincronizacion; Loc.: DD; Trat: RETIRO DEL CIDR; Med: ,User1,
,Diagnósticos/Tratamiento,24/04/2025,Dns: Protocolo sincronizacion; Loc.: DD; Trat: CIDR; Med: ,User1,
,Control de Gestación,24/04/2025,-,User1,VACIA DE 34 POST. INSEM
,Inseminación,21/03/2025,Artificial Insemination; 8403213816034; REWAED-RED-ET; Unknown Brand; Roma,Roma,ML  TUR ES DE LAS  REWRD RED  ROGA
,Celo,21/03/2025,Herd Navigator,Roma,
,Control de Gestación,13/03/2025,-,User1,VACIA DE 34 POST. INSEM
,Cambio de grupo,10/02/2025,"3, VMS 3 -> 2, VMS 2",User1,
,Inseminación,07/02/2025,Artificial Insemination; 8403214324421; HIGH OOHM; Unknown Brand; Roma,Roma,ML TUR  
,Celo,07/02/2025,Herd Navigator,Roma,
,Diagnósticos/Tratamiento,04/02/2025,Dns: Vacia; Loc.: DD; Trat: PG2; Med: ,User1,
,Control de Gestación,30/01/2025,-,User1,vacia de 34 
,Inseminación,27/12/2024,Artificial Insemination; 8403214541122; HAYK; Unknown Brand; Roma,Roma,ML TUR SEXADO
,Celo,27/12/2024,Herd Navigator,Roma,
,Diagnósticos/Tratamiento,19/12/2024,Dns: Vacia; Loc.: DD; Trat: PG2; Med: ,User1,
,Control de Gestación,19/12/2024,-,User1,VACIA 
