Evento,Tipo de evento,Fecha del evento,Descripción,Usuario,Comentario
,Control de Gestación,09/10/2025,+,User1,CARGADA DE 96
,Invitación Visita Veterinaria,09/10/2025,"09/10/2025, Reconfirmacion 1 (90-110 dias)",DR  RAFA (Veterinario),
,Cambio de grupo,11/09/2025,"2, VMS 2 -> 3, VMS 3",User1,
,Control de Gestación,22/08/2025,+,User1,CARGADA DE 47 POST. INSEM
,Invitación Visita Veterinaria,21/08/2025,"21/08/2025, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (Veterinario),
,Cambio de grupo,08/08/2025,"3, VMS 3 -> 2, VMS 2",User1,
,Inseminación,05/07/2025,"Effective Insemination 
Artificial Insemination; 8403207410750; ROMELU-ET; Unknown Brand; Roma",Roma,DE CALORML TUR  SEXODO
,Celo,05/07/2025,Herd Navigator,Roma,
,Diagnósticos/Tratamiento,19/06/2025,Dns: Vacia; Loc.: DD; Trat: PG2; Med: ,User1,
,Control de Gestación,19/06/2025,-,User1,VACIA DE 51 POST. INSM
,Invitación Visita Veterinaria,19/06/2025,"19/06/2025, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (Veterinario),
,Cambio de grupo,16/06/2025,"1, VMS 1 -> 3, VMS 3",User1,
,Cambio tabla alimentación,10/05/2025,primerizas-DEL -> Primerizas-ProduccionLeche,Admin,
,Inseminación,29/04/2025,Artificial Insemination; HAYK HPP SELECTS; HO8403214541122; Unknown Brand; Jose Zapatero,Jose Zapatero,DE CALOR U TERO TUR
,Celo,29/04/2025,Herd Navigator,Jose Zapatero,
,Inseminación,08/04/2025,Artificial Insemination; HAYK HPP SELECTS; HO8403214541122; Unknown Brand; MVZ. GUADALUPE LOPEZ,MVZ. GUADALUPE LOPEZ,utero  turgente
,Celo,08/04/2025,Herd Navigator,MVZ. GUADALUPE LOPEZ,
,Cambio de grupo,12/03/2025,"3, VMS 3 -> 1, VMS 1",User1,
,Cambio de grupo,12/03/2025,"1, VMS 1 -> 3, VMS 3",User1,
,Diagnósticos/Tratamiento,20/02/2025,Dns: ALTA; Loc.: DD; Trat: ; Med: ,User1,
,Diagnósticos/Tratamiento,06/02/2025,Dns: ALTA; Loc.: DD; Trat: ; Med: ,User1,
,Invitación Visita Veterinaria,06/02/2025,"06/02/2025, Vacas frescas",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,30/01/2025,"30/01/2025, Vacas frescas",DR  RAFA (Veterinario),
,Cambio ID Transponder,23/01/2025,999000000000197 -> 982000464364414,,
,Invitación Visita Veterinaria,23/01/2025,"23/01/2025, Vacas frescas",DR  RAFA (Veterinario),
,Cambio de grupo,21/01/2025,"3, VMS 3 -> 1, VMS 1",User1,
,Cambio ID Transponder,21/01/2025,000000000000197 -> 999000000000197,,
,Cambio tabla alimentación,20/01/2025,None -> primerizas-DEL,Admin,
,Cambio de grupo,19/01/2025,"20, RETO -> 3, VMS 3",Jorge,
,Parto,19/01/2025,Normal; 7502,Jorge,pario macho
,Cambio ID Transponder,30/12/2024, -> 000000000000197,,
,Condición corporal,30/12/2024,Condición corporal: 3.50 - DDUP: 0,User1,
,Cambio de grupo,30/12/2024,"100, SECAS -> 20, RETO",User1,
,Diagnósticos/Tratamiento,30/12/2024,Dns: BOLO RUMENSIN; Loc.: DD; Trat: BOLO RUMENSIN; Med: BOLO RUMENSIN 1 d 1X1pcs,User1,008469
,Diagnósticos/Tratamiento,30/12/2024,"Dns: VITAMINA; Loc.: DD; Trat: VIGANTOL (A,D,E); Med: ",User1,
,Diagnósticos/Tratamiento,30/12/2024,Dns: VACUNA; Loc.: DD; Trat: starvacc; Med: STARVAC 1 d 1X2ml Intramuscular,User1,
,Cambio de grupo,12/11/2024,"106, BECERRAS/NOVILLAS -> 100, SECAS",User1,
,Diagnósticos/Tratamiento,12/11/2024,Dns: VACUNA; Loc.: DD; Trat: ROTAVEC; Med: ,User1,
,Control de Gestación,31/10/2024,+,User1,
,Control de Gestación,26/09/2024,+,User1,
,Invitación Visita Veterinaria,26/09/2024,"26/09/2024, Reconfirmacion 2 (150-160 dias)",DR  RAFA (Veterinario),
,Control de Gestación,25/07/2024,+,User1,
,Peso,19/06/2024,386 kg,User1,1.44 ALTURA
,Control de Gestación,30/05/2024,+,User1,
,Inseminación,23/04/2024,"Effective Insemination 
Artificial Insemination; 8403142490309; LIONEL; Sexed; Unknown Brand; Matías",Matías,
,Celo,23/04/2024,Se deja montar,Matías,
,Inseminación,14/03/2024,Artificial Insemination; 8403214541122; HAYK; Unknown Brand; Matías,Matías,
,Celo,14/03/2024,Se deja montar,Matías,
,Inseminación,23/02/2024,Artificial Insemination; 8403142490309; LIONEL; Sexed; Unknown Brand; Matías,Matías,
,Celo,23/02/2024,Se deja montar,Matías,
,Inseminación,02/02/2024,Artificial Insemination; 8403214541122; HAYK; Unknown Brand; Roma,Roma,POCO TURGRNTE
,Celo,02/02/2024,Herd Navigator,Roma,
,Invitación Visita Veterinaria,01/02/2024,PG1 Becerras (edad en dias 400-407),DR  RAFA (Veterinario),
,Entrada,28/12/2022,Nacimiento,DelproCliente,
