Evento,Tipo de evento,Fecha del evento,Descripción,Usuario,Comentario
,Inseminación,21/09/2025,Artificial Insemination; HOCANM14766631; WALNUTLAWM PG BRIGHTNEON/ SEMEX; Unknown Brand; Roma,Roma,de calor ml
,Celo,21/09/2025,Herd Navigator,Roma,
,Cambio de grupo,11/09/2025,"2, VMS 2 -> 3, VMS 3",User1,
,Inseminación,24/08/2025,Artificial Insemination; HO84m3212874372; COOKIECUTTER HOKYSMOKES; Unknown Brand; Jose Zapatero,Jose Zapatero,FUE DE PROTOCOLO OVSYNCH
,Celo,24/08/2025,Otros,Jose Zapatero,
,Diagnósticos/Tratamiento,21/08/2025,Dns: Vacia; Loc.: DD; Trat: PG2; Med: ,User1,
,Control de Gestación,21/08/2025,-,User1,VACIA DE 39 POST. INSEM
,Inseminación,13/07/2025,Artificial Insemination; 8403151003682; TAOS-ET; Unknown Brand; Roma,Roma,fue de protocolo CIDR
,Celo,13/07/2025,Otros,Roma,
,Diagnósticos/Tratamiento,03/07/2025,Dns: Protocolo sincronizacion; Loc.: DD; Trat: CIDR; Med: ,User1,
,Control de Gestación,03/07/2025,-,User1,VACIA DE 35 POST. INSEM
,Inseminación,29/05/2025,Artificial Insemination; 8403151003682; TAOS-ET; Unknown Brand; Jose Zapatero,Jose Zapatero,ml
,Celo,29/05/2025,Herd Navigator,Jose Zapatero,
,Invitación Visita Veterinaria,29/05/2025,"29/05/2025, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (Veterinario),
,Inseminación,17/04/2025,Artificial Insemination; HAYK HPP SELECTS; HO8403214541122; Unknown Brand; Roma,Roma,DE CALOR ML
,Celo,17/04/2025,Herd Navigator,Roma,
,Cambio de grupo,07/04/2025,"1, VMS 1 -> 2, VMS 2",User1,
,Inseminación,16/03/2025,Artificial Insemination; HOCANM12857690; PURSUIT; Unknown Brand; UnknownBreeder,DelproCliente,INS  JOSE
,Celo,16/03/2025,Herd Navigator,DelproCliente,
,Diagnósticos/Tratamiento,06/03/2025,Dns: Vacia; Loc.: DD; Trat: GNRH OVS; Med: ,User1,UTERO TURGENTE/GNRH
,Control de Gestación,06/03/2025,-,User1,VACIA DE 41
,Cambio de grupo,10/02/2025,"2, VMS 2 -> 1, VMS 1",User1,
,Inseminación,24/01/2025,Artificial Insemination; 8403207410750; ROMELU-ET; Unknown Brand; Roma,Roma,DE CALOR TUR
,Celo,24/01/2025,Herd Navigator,Roma,
,Inseminación,05/01/2025,Artificial Insemination; 8403207410750; ROMELU-ET; Unknown Brand; Roma,Roma,UTERO TURGENTE DE CALOR
,Celo,05/01/2025,Herd Navigator,Roma,
,Invitación Visita Veterinaria,02/01/2025,"02/01/2025, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (Veterinario),
,Control de Gestación,26/12/2024,?,User1,DUSOSA R7
,Inseminación,20/11/2024,Artificial Insemination; 8403203292278; GRANADA; Unknown Brand; MVZ. GUADALUPE LOPEZ,MVZ. GUADALUPE LOPEZ,
,Celo,20/11/2024,Herd Navigator,MVZ. GUADALUPE LOPEZ,
,Cambio tabla alimentación,13/11/2024,Multiparas-DEL -> Multiparas-ProduccionLeche,Admin,
,Invitación Visita Veterinaria,31/10/2024,"31/10/2024, Vacas frescas",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,24/10/2024,"24/10/2024, Vacas frescas",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,17/10/2024,"17/10/2024, Vacas frescas",DR  RAFA (Veterinario),
,Diagnósticos/Tratamiento,11/10/2024,Dns: Debilidad; Loc.: DD; Trat: SUERO GLUCOSADO; Med: SUERO GLUCOSADO 1 d 1X500ml,User1,+COMPLEJO B12
,Diagnósticos/Tratamiento,11/10/2024,Dns: MASTITIS; Loc.: DD; Trat: HIDROPEN; Med: HIDROPEN 3 d 1X30ml,User1,
,Invitación Visita Veterinaria,10/10/2024,"10/10/2024, Vacas frescas",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,03/10/2024,"03/10/2024, Vacas frescas",DR  RAFA (Veterinario),
,Cambio de grupo,30/09/2024,"3, VMS 3 -> 2, VMS 2",User1,
,Invitación Visita Veterinaria,26/09/2024,"26/09/2024, Vacas frescas",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,19/09/2024,"19/09/2024, Vacas frescas",DR  RAFA (Veterinario),
,Cambio tabla alimentación,14/09/2024,None -> Multiparas-DEL,Admin,
,Cambio de grupo,13/09/2024,"20, RETO -> 3, VMS 3",User1,
,Parto,13/09/2024,Difícil; 1595,User1,venia de patas
,Condición corporal,06/09/2024,Condición corporal: 3.50 - DDUP: 443,User1,
,Cambio de grupo,06/09/2024,"100, SECAS -> 20, RETO",User1,
,Diagnósticos/Tratamiento,06/09/2024,Dns: BOLO RUMENSIN; Loc.: DD; Trat: BOLO RUMENSIN; Med: BOLO RUMENSIN 1 d 1X1pcs,User1,006715
,Diagnósticos/Tratamiento,06/09/2024,"Dns: VITAMINA; Loc.: DD; Trat: VIGANTOL (A,D,E); Med: ",User1,
,Diagnósticos/Tratamiento,06/09/2024,Dns: VACUNA; Loc.: DD; Trat: starvacc; Med: STARVAC 1 d 1X2ml Intramuscular,User1,
,Cambio tabla alimentación,30/05/2024,Multiparas-ProduccionLeche -> ,User1,
,Secado,30/05/2024,Dry Off,User1,"SE SECO CON 344 DEL, 19.07 LITROS, 167 DCC. QUEDO GESTANTE A LA 3 INSEM. "
