Evento,Tipo de evento,Fecha del evento,Descripción,Usuario,Comentario
,Condición corporal,23/09/2025,Condición corporal: 3.05 - DDUP: 300,Admin,BCS Camera
,Control de Gestación,18/09/2025,+,User1,cargada de 153
,Invitación Visita Veterinaria,18/09/2025,"18/09/2025, Reconfirmacion 2 (150-160 dias)",DR  RAFA (Veterinario),
,Diagnósticos/Tratamiento,10/09/2025,"Dns: Mastitis clínica; Loc.: DD; Trat: TYLAN + MATJET X3; Med: TYLAN 3 d 1X20ml Intravenoso, MASTIJET 3 d 1X0.3mg Intramamario",DelproCliente,
,Control de Gestación,17/07/2025,+,User1,cargada de 90
,Invitación Visita Veterinaria,17/07/2025,"17/07/2025, Reconfirmacion 1 (90-110 dias)",DR  RAFA (Veterinario),
,Diagnósticos/Tratamiento,16/07/2025,Dns: ALTA; Loc.: DD; Trat: ; Med: ,User1,de mastitis
,Diagnósticos/Tratamiento,25/06/2025,Dns: Mastitis clínica; Loc.: DD; Trat: ENROXIL; Med: ENROXIL 1 d 1X20ml,User1,
,Control de Gestación,19/06/2025,+,User1,CARGADA DE 62 DCC
,Invitación Visita Veterinaria,19/06/2025,"19/06/2025, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,05/06/2025,"05/06/2025, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,29/05/2025,"29/05/2025, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (Veterinario),
,Diagnósticos/Tratamiento,09/05/2025,Dns: Mastitis clínica; Loc.: DD; Trat: ENROXIL; Med: ENROXIL 1 d 1X20ml,DelproCliente,+MASTIJET +3 DIAS
,Diagnósticos/Tratamiento,25/04/2025,Dns: Mastitis clínica; Loc.: DD; Trat: MASTIJET; Med: MASTIJET 3 d 2X1pcs,User1,
