Evento,Tipo de evento,Fecha del evento,Descripción,Usuario,Comentario
,Invitación Visita Veterinaria,18/10/2025,"18/10/2025, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (Veterinario),
,Diagnósticos/Tratamiento,09/10/2025,Dns: GNRH; Loc.: DD; Trat: ; Med: ,User1,
,Control de Gestación,09/10/2025,?,User1,DUDOSA DE 39 
,Inseminación,31/08/2025,Artificial Insemination; HO84m3212874372; COOKIECUTTER HOKYSMOKES; Unknown Brand; Roma,Roma,NO TUR
,Celo,31/08/2025,Herd Navigator,Roma,
,Control de Gestación,21/08/2025,-,User1,VACIA DE 50 POST. INSEM
,Invitación Visita Veterinaria,21/08/2025,"21/08/2025, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (Veterinario),
,Cambio de grupo,30/07/2025,"2, VMS 2 -> 3, VMS 3",User1,
,Inseminación,02/07/2025,Artificial Insemination; 2406261; FETILITY; Unknown Brand; Roma,Roma,de calor tur
,Celo,02/07/2025,Herd Navigator,Roma,
,Inseminación,13/06/2025,Artificial Insemination; 2406261; FETILITY; Unknown Brand; Roma,Roma,de calor ml tur
,Celo,13/06/2025,Herd Navigator,Roma,
,Inseminación,18/05/2025,Artificial Insemination; 2406261; FETILITY; Unknown Brand; Roma,Roma,se ins  cou tumor  u  tur
,Celo,18/05/2025,Herd Navigator,Roma,
,Diagnósticos/Tratamiento,08/05/2025,Dns: Vacia; Loc.: DD; Trat: CIDR; Med: ,User1,tumos en matriz 
,Control de Gestación,08/05/2025,-,User1,vacia de 36 post. isem
,Inseminación,02/04/2025,Artificial Insemination; HAYK HPP SELECTS; HO8403214541122; Unknown Brand; MVZ. GUADALUPE LOPEZ,MVZ. GUADALUPE LOPEZ,
,Celo,02/04/2025,Herd Navigator,MVZ. GUADALUPE LOPEZ,
,Inseminación,13/03/2025,Artificial Insemination; HOCANM12857690; PURSUIT; Unknown Brand; Roma,Roma,DE CIDR NO TUR
,Celo,13/03/2025,Herd Navigator,Roma,
,Control de Gestación,06/03/2025,-,User1,VACIA DE 47/ TUMOR OVARIO IZQUIERDO
,Cambio de grupo,10/02/2025,"3, VMS 3 -> 2, VMS 2",User1,
,Cambio de grupo,21/01/2025,"1, VMS 1 -> 3, VMS 3",User1,
,Inseminación,18/01/2025,Artificial Insemination; fertility/ANGUS; 2406261; Unknown Brand; Roma,Roma,se ins  con quistes
,Celo,18/01/2025,Herd Navigator,Roma,
,Diagnósticos/Tratamiento,09/01/2025,Dns: Protocolo sincronizacion; Loc.: DD; Trat: CIDR; Med: ,User1,+GNRH
,Diagnósticos/Tratamiento,02/01/2025,Dns: Quiste luteal izquierdo; Loc.: DD; Trat: ; Med: ,User1,
,Control de Gestación,02/01/2025,-,User1,VACIA DE 33 POST. INSEM
,Inseminación,29/11/2024,Artificial Insemination; 8403207410750; ROMELU-ET; Unknown Brand; Roma,Roma,NO TUR
,Celo,29/11/2024,Herd Navigator,Roma,
,Diagnósticos/Tratamiento,21/11/2024,Dns: Vacia; Loc.: DD; Trat: PG2; Med: ,User1,
,Control de Gestación,21/11/2024,-,User1,VACIA DE 34 POST. INSEM
,Inseminación,18/10/2024,Artificial Insemination; 8403138843085; LUSTER-P- ET; Unknown Brand; MVZ. GUADALUPE LOPEZ,MVZ. GUADALUPE LOPEZ,
,Celo,18/10/2024,Se deja montar,MVZ. GUADALUPE LOPEZ,
,Cambio tabla alimentación,03/10/2024,primerizas-DEL -> Primerizas-ProduccionLeche,Admin,
,Inseminación,26/09/2024,Artificial Insemination; SEMEX/ WESTCOAST BALLOT; HOCANM14003845; Unknown Brand; Roma,Roma,DE CALOR TUR
,Celo,26/09/2024,Herd Navigator,Roma,
,Cambio de grupo,02/09/2024,"3, VMS 3 -> 1, VMS 1",User1,
,Cambio tabla alimentación,17/07/2024,None -> primerizas-DEL,Admin,
,Cambio de grupo,16/07/2024,"102, ESTABLO INICIAL -> 3, VMS 3",User1,
,Diagnósticos/Tratamiento,04/07/2024,Dns: ALTA; Loc.: ; Trat: ; Med: ,User1,
,Invitación Visita Veterinaria,27/06/2024,Vacas frescas,DR  RAFA (Veterinario),
,Diagnósticos/Tratamiento,20/06/2024,Dns: SUCIA; Loc.: DD; Trat: SUERO FISIOLOGICO; Med: SUERO FISIOLOGICO 3 d 1X250ml,User1,SUERO FISIOLOGICO CON PENICILINA 
,Invitación Visita Veterinaria,20/06/2024,Vacas frescas,DR  RAFA (Veterinario),
,Cambio de grupo,17/06/2024,"20, RETO -> 102, ESTABLO INICIAL",User1,
,Parto,14/06/2024,Difícil; 1566,User1,
,Cambio ID Transponder,13/06/2024, -> 982000464364584,,
,Condición corporal,13/06/2024,Condición corporal: 2.75 - DDUP: 0,User1,
,Cambio de grupo,13/06/2024,"100, SECAS -> 20, RETO",User1,
,Diagnósticos/Tratamiento,13/06/2024,Dns: BOLO RUMENSIN; Loc.: DD; Trat: BOLO RUMENSIN; Med: BOLO RUMENSIN 1 d 1X1pcs,User1,
,Diagnósticos/Tratamiento,13/06/2024,"Dns: VITAMINA; Loc.: DD; Trat: VIGANTOL (A,D,E); Med: ",User1,
