Evento,Tipo de evento,Fecha del evento,Descripción,Usuario,Comentario
,Cambio de grupo,20/10/2025,"2, VMS 2 -> 3, VMS 3",User1,
,Inseminación,03/10/2025,Artificial Insemination; 94797; MBAPPE FERTIGEN ANGUS; Unknown Brand; Jose Zapatero,Jose Zapatero,tur
,Celo,03/10/2025,Herd Navigator,Jose Zapatero,
,Diagnósticos/Tratamiento,26/09/2025,Dns: Mastitis clínica; Loc.: DD; Trat: CEFAVET; Med: CEFAVET 1 d 1X10ml,User1,
,Diagnósticos/Tratamiento,25/09/2025,Dns: Vacia; Loc.: DD; Trat: CIDR; Med: ,User1,
,Control de Gestación,25/09/2025,-,User1,vacia de 35 poost. insem
,Diagnósticos/Tratamiento,10/09/2025,Dns: Mastitis clínica; Loc.: TI; Trat: CEFAVET; Med: CEFAVET 1 d 1X10ml,User1,CUARTOS TI Y TD
,Diagnósticos/Tratamiento,29/08/2025,Dns: Mastitis clínica; Loc.: TD; Trat: CEFAVET; Med: CEFAVET 1 d 1X10ml,User1,
,Diagnósticos/Tratamiento,25/08/2025,Dns: Mastitis clínica; Loc.: DD; Trat: HIDROPEN; Med: HIDROPEN 3 d 1X30ml,User1,
,Inseminación,21/08/2025,Artificial Insemination; HOCANM12857690; PURSUIT; Unknown Brand; Roma,Roma,de calor
,Celo,21/08/2025,Herd Navigator,Roma,
,Cambio de grupo,21/08/2025,"3, VMS 3 -> 2, VMS 2",User1,
,Inseminación,20/07/2025,Artificial Insemination; 8403151003682; TAOS-ET; Unknown Brand; Roma,Roma,ML TUR
,Celo,20/07/2025,Herd Navigator,Roma,
,Diagnósticos/Tratamiento,17/07/2025,Dns: Protocolo sincronizacion; Loc.: DD; Trat: RETIRO DEL CIDR; Med: ,User1,+PGX2
,Control de Gestación,10/07/2025,-,User1,VACIA DE 39 POST. INSEM
,Inseminación,01/06/2025,Artificial Insemination; HAYK HPP SELECTS; HO8403214541122; Unknown Brand; Roma,Roma,tur
,Inseminación,01/06/2025,Artificial Insemination; 8403214541122; HAYK; Unknown Brand; Roma,Roma,FUE DE CIDR
,Celo,01/06/2025,Otros,Roma,
,Diagnósticos/Tratamiento,29/05/2025,Dns: Protocolo sincronizacion; Loc.: DD; Trat: RETIRO DEL CIDR; Med: ,User1,+ pg*2
,Control de Gestación,10/04/2025,-,User1,vacia de segun de 34 / pero tenia 8 dias de inseminada se le coloco ECP :(
,Inseminación,02/04/2025,Artificial Insemination; HO8403245812149; HAVENFUN-RED; Unknown Brand; MVZ. GUADALUPE LOPEZ,MVZ. GUADALUPE LOPEZ,
,Celo,02/04/2025,Se deja montar,MVZ. GUADALUPE LOPEZ,
,Inseminación,05/03/2025,Artificial Insemination; HOCANM12857690; PURSUIT; Unknown Brand; Roma,Roma,TUR
,Celo,05/03/2025,Herd Navigator,Roma,
,Cambio de grupo,10/02/2025,"1, VMS 1 -> 3, VMS 3",User1,
,Cambio tabla alimentación,06/02/2025,Multiparas-DEL -> Multiparas-ProduccionLeche,Admin,
,Invitación Visita Veterinaria,23/01/2025,"23/01/2025, Vacas frescas",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,09/01/2025,"09/01/2025, Vacas frescas",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,02/01/2025,"02/01/2025, Vacas frescas",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,19/12/2024,"19/12/2024, Vacas frescas",DR  RAFA (Veterinario),
,Cambio de grupo,11/12/2024,"3, VMS 3 -> 1, VMS 1",User1,
,Cambio tabla alimentación,09/12/2024,None -> Multiparas-DEL,Admin,
,Cambio de grupo,08/12/2024,"20, RETO -> 3, VMS 3",DelproCliente,
,Parto,07/12/2024,Normal; 7363,Roma,ATENDIO ENRIQUE
,Condición corporal,12/11/2024,Condición corporal: 3.75 - DDUP: 418,User1,
,Cambio de grupo,12/11/2024,"100, SECAS -> 20, RETO",User1,
,Diagnósticos/Tratamiento,12/11/2024,Dns: BOLO RUMENSIN; Loc.: DD; Trat: BOLO RUMENSIN; Med: BOLO RUMENSIN 1 d 1X1pcs,User1,007449
,Diagnósticos/Tratamiento,12/11/2024,"Dns: VITAMINA; Loc.: DD; Trat: VIGANTOL (A,D,E); Med: ",User1,
,Diagnósticos/Tratamiento,12/11/2024,Dns: VACUNA; Loc.: DD; Trat: starvacc; Med: STARVAC 1 d 1X2ml Intramuscular,User1,
