Evento,Tipo de evento,Fecha del evento,Descripción,Usuario,Comentario
,Inseminación,19/10/2025,Artificial Insemination; 94797; MBAPPE FERTIGEN ANGUS; Unknown Brand; Roma,Roma,ml de cidr
,Celo,19/10/2025,Herd Navigator,Roma,
,Diagnósticos/Tratamiento,02/10/2025,Dns: Vacia; Loc.: DD; Trat: PG2; Med: ,User1,
,Control de Gestación,02/10/2025,-,User1,vacia pg x 2
,Condición corporal,29/09/2025,Condición corporal: 4.12 - DDUP: 300,Admin,BCS Camera
,Inseminación,24/08/2025,Artificial Insemination; HOCANM12857690; PURSUIT; Unknown Brand; Roma,Roma,no tur
,Celo,24/08/2025,Herd Navigator,Roma,
,Diagnósticos/Tratamiento,21/08/2025,Dns: Vacia; Loc.: DD; Trat: PG2; Med: ,User1,
,Control de Gestación,21/08/2025,-,User1,VACIA DE 39 POST. INSEM
,Inseminación,13/07/2025,Artificial Insemination; 8403151003682; TAOS-ET; Unknown Brand; Roma,Roma,ML TUR
,Celo,13/07/2025,Herd Navigator,Roma,
,Diagnósticos/Tratamiento,03/07/2025,Dns: Vacia; Loc.: DD; Trat: CIDR; Med: ,User1,
,Control de Gestación,03/07/2025,-,User1,vacia de 39 post. insem
,Inseminación,25/05/2025,Artificial Insemination; 8403151003682; TAOS-ET; Unknown Brand; Roma,Roma,"es de protocolo, utero turgente "
,Celo,25/05/2025,Otros,Roma,
,Diagnósticos/Tratamiento,08/05/2025,Dns: Vacia; Loc.: DD; Trat: QLI-CLD; Med: ,User1,gnrh r7
,Control de Gestación,08/05/2025,-,User1,vacia de 35 post insem
,Inseminación,03/04/2025,Artificial Insemination; 8403205704083; LEXUS; Unknown Brand; Roma,Roma,de calor ml
,Celo,03/04/2025,Herd Navigator,Roma,
,Inseminación,27/02/2025,Artificial Insemination; HO84m3212874372; COOKIECUTTER HOKYSMOKES; Unknown Brand; Roma,Roma,ML  TUR
,Celo,27/02/2025,Herd Navigator,Roma,
,Cambio de grupo,10/02/2025,"1, VMS 1 -> 3, VMS 3",User1,
,Cambio tabla alimentación,02/02/2025,Multiparas-DEL -> Multiparas-ProduccionLeche,Admin,
,Invitación Visita Veterinaria,09/01/2025,"09/01/2025, Vacas frescas",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,02/01/2025,"02/01/2025, Vacas frescas",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,19/12/2024,"19/12/2024, Vacas frescas",DR  RAFA (Veterinario),
,Cambio de grupo,07/12/2024,"3, VMS 3 -> 1, VMS 1",User1,
,Cambio tabla alimentación,04/12/2024,None -> Multiparas-DEL,Admin,
,Cambio de grupo,03/12/2024,"20, RETO -> 3, VMS 3",User1,
,Parto,03/12/2024,Normal; 7360,User1,
,Condición corporal,12/11/2024,Condición corporal: 4.25 - DDUP: 368,User1,
,Cambio de grupo,12/11/2024,"100, SECAS -> 20, RETO",User1,
,Diagnósticos/Tratamiento,12/11/2024,Dns: BOLO RUMENSIN; Loc.: DD; Trat: BOLO RUMENSIN; Med: BOLO RUMENSIN 1 d 1X1pcs,User1,005348
,Diagnósticos/Tratamiento,12/11/2024,"Dns: VITAMINA; Loc.: DD; Trat: VIGANTOL (A,D,E); Med: ",User1,
,Diagnósticos/Tratamiento,12/11/2024,Dns: VACUNA; Loc.: DD; Trat: starvacc; Med: STARVAC 1 d 1X2ml Intramuscular,User1,
