Evento,Tipo de evento,Fecha del evento,Descripción,Usuario,Comentario
,Control de Gestación,02/10/2025,+,User1,CARGADA DE 46
,Invitación Visita Veterinaria,02/10/2025,"02/10/2025, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (Veterinario),
,Cambio de grupo,11/09/2025,"2, VMS 2 -> 3, VMS 3",User1,
,Inseminación,17/08/2025,"Effective Insemination 
Artificial Insemination; HO84m3212874372; COOKIECUTTER HOKYSMOKES; Unknown Brand; Roma",Roma,no tur
,Celo,17/08/2025,Herd Navigator,Roma,
,Diagnósticos/Tratamiento,14/08/2025,Dns: Vacia; Loc.: DD; Trat: PG2; Med: ,User1,
,Control de Gestación,14/08/2025,-,User1,VACIA DE 39 ´POST.INSEM
,Inseminación,06/07/2025,Artificial Insemination; 8403151003682; TAOS-ET; Unknown Brand; MVZ. GUADALUPE LOPEZ,MVZ. GUADALUPE LOPEZ,FUE DE PROTOCOLO 
,Celo,06/07/2025,Otros,MVZ. GUADALUPE LOPEZ,
,Inseminación,27/06/2025,Artificial Insemination; HAYK HPP SELECTS; HO8403214541122; Unknown Brand; Jose Zapatero,Jose Zapatero,U TUR
,Celo,27/06/2025,Herd Navigator,Jose Zapatero,
,Diagnósticos/Tratamiento,19/06/2025,Dns: Vacia; Loc.: DD; Trat: PG2; Med: ,User1,
,Control de Gestación,19/06/2025,-,User1,VACIA DE 48 POST. INSEM
,Invitación Visita Veterinaria,19/06/2025,"19/06/2025, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (Veterinario),
,Cambio tabla alimentación,21/05/2025,primerizas-DEL -> Primerizas-ProduccionLeche,Admin,
,Inseminación,02/05/2025,Artificial Insemination; HAYK HPP SELECTS; HO8403214541122; Unknown Brand; Jose Zapatero,Jose Zapatero,NO TUR
,Celo,02/05/2025,Herd Navigator,Jose Zapatero,
,Cambio de grupo,12/03/2025,"1, VMS 1 -> 2, VMS 2",User1,CORRALEO POR PROYECTO CORRAL4
,Diagnósticos/Tratamiento,20/02/2025,Dns: Limpiando; Loc.: DD; Trat: ; Med: ,User1,
,Diagnósticos/Tratamiento,13/02/2025,Dns: Limpiando; Loc.: DD; Trat: ; Med: ,User1,
,Cambio de grupo,10/02/2025,"3, VMS 3 -> 1, VMS 1",User1,
,Diagnósticos/Tratamiento,06/02/2025,Dns: Limpiando; Loc.: DD; Trat: ; Med: ,User1,
,Invitación Visita Veterinaria,06/02/2025,"06/02/2025, Vacas frescas",DR  RAFA (Veterinario),
,Cambio tabla alimentación,31/01/2025,None -> primerizas-DEL,Admin,
,Cambio de grupo,30/01/2025,"20, RETO -> 3, VMS 3",DelproCliente,
,Parto,30/01/2025,Normal; 7378,DelproCliente,
,Cambio ID Transponder,21/01/2025,000000000000063 -> 999000000000063,,
,Cambio ID Transponder,15/01/2025, -> 000000000000063,,
,Condición corporal,15/01/2025,Condición corporal: 4.00 - DDUP: 0,User1,
,Cambio de grupo,15/01/2025,"100, SECAS -> 20, RETO",User1,
,Diagnósticos/Tratamiento,15/01/2025,Dns: BOLO RUMENSIN; Loc.: DD; Trat: BOLO RUMENSIN; Med: BOLO RUMENSIN 1 d 1X1pcs,User1,008115
,Diagnósticos/Tratamiento,15/01/2025,"Dns: VITAMINA; Loc.: DD; Trat: VIGANTOL (A,D,E); Med: ",User1,
,Diagnósticos/Tratamiento,15/01/2025,Dns: VACUNA; Loc.: DD; Trat: starvacc; Med: STARVAC 1 d 1X2ml Intramuscular,User1,
,Cambio de grupo,12/11/2024,"106, BECERRAS/NOVILLAS -> 100, SECAS",User1,
,Diagnósticos/Tratamiento,12/11/2024,Dns: VACUNA; Loc.: DD; Trat: ROTAVEC; Med: ,User1,
,Control de Gestación,31/10/2024,+,User1,
,Control de Gestación,03/10/2024,+,User1,152 días
,Invitación Visita Veterinaria,03/10/2024,"03/10/2024, Reconfirmacion 2 (150-160 dias)",DR  RAFA (Veterinario),
,Control de Gestación,08/08/2024,+,User1,CARGADA DE 96
,Invitación Visita Veterinaria,08/08/2024,Reconfirmacion 1 (90-110 dias),DR  RAFA (Veterinario),
,Peso,19/06/2024,395 kg,User1,1.40
,Invitación Visita Veterinaria,13/06/2024,Diagnostico de Gestacion (>40 dias insem),DR  RAFA (Veterinario),
,Control de Gestación,12/06/2024,+,User1,
,Inseminación,04/05/2024,"Effective Insemination 
Artificial Insemination; HOCANM13996599; PROGENESIS PATTERN  SEMEX; Unknown Brand; Matías",Matías,
,Celo,04/05/2024,Se deja montar,Matías,
,Celo,08/04/2024,Se deja montar,Matías,NO LE TOCA
,Entrada,24/03/2023,Nacimiento,DelproCliente,
