Evento,Tipo de evento,Fecha del evento,Descripción,Usuario,Comentario
,Condición corporal,16/10/2025,Condición corporal: 2.80 - DDUP: 300,Admin,BCS Camera
,Diagnósticos/Tratamiento,02/10/2025,Dns: Vacia; Loc.: DD; Trat: CIDR; Med: ,User1,
,Control de Gestación,02/10/2025,-,User1,vacia de 39 post insem
,Diagnósticos/Tratamiento,25/08/2025,Dns: Mastitis clínica; Loc.: DD; Trat: HIDROPEN; Med: HIDROPEN 3 d 1X30ml,User1,
,Inseminación,24/08/2025,Artificial Insemination; 14259776; PROGENESIS LINEUP; Unknown Brand; Roma,Roma,ml
,Celo,24/08/2025,Herd Navigator,Roma,
,Diagnósticos/Tratamiento,14/08/2025,Dns: Vacia; Loc.: DD; Trat: CIDR; Med: ,User1,
,Control de Gestación,14/08/2025,-,User1,VACIA DE 39 POST.INSEM
,Inseminación,06/07/2025,Artificial Insemination; 8403151003682; TAOS-ET; Unknown Brand; MVZ. GUADALUPE LOPEZ,MVZ. GUADALUPE LOPEZ,FUE DE PROTOCOLO OVSYNCH
,Celo,06/07/2025,Otros,MVZ. GUADALUPE LOPEZ,
,Diagnósticos/Tratamiento,19/06/2025,Dns: Vacia; Loc.: DD; Trat: ; Med: ,User1,EN CELO
,Control de Gestación,19/06/2025,-,User1,VACIA DE 48 POST. INSEM
,Invitación Visita Veterinaria,19/06/2025,"19/06/2025, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (Veterinario),
,Diagnósticos/Tratamiento,06/05/2025,Dns: Mastitis clínica; Loc.: DD; Trat: ENROXIL; Med: ENROXIL 1 d 1X20ml,DelproCliente,+ MASTIJET X 4 DIA
,Inseminación,02/05/2025,Artificial Insemination; HO8403245812149; HAVENFUN-RED; Unknown Brand; Roma,Roma,TUR
,Celo,02/05/2025,Herd Navigator,Roma,
,Diagnósticos/Tratamiento,24/04/2025,Dns: Vacia; Loc.: DD; Trat: PG2; Med: ,User1,
,Control de Gestación,24/04/2025,-,User1,VACIA DE 34 POST. INSEM
,Inseminación,21/03/2025,Artificial Insemination; 8403151003682; TAOS-ET; Unknown Brand; Roma,Roma,ML TUR
,Celo,21/03/2025,Herd Navigator,Roma,
,Cambio tabla alimentación,19/02/2025,Multiparas-DEL -> Multiparas-ProduccionLeche,Admin,
,Cambio de grupo,10/02/2025,"2, VMS 2 -> 3, VMS 3",User1,
,Invitación Visita Veterinaria,06/02/2025,"06/02/2025, Vacas frescas",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,30/01/2025,"30/01/2025, Vacas frescas",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,23/01/2025,"23/01/2025, Vacas frescas",DR  RAFA (Veterinario),
,Cambio de grupo,21/01/2025,"3, VMS 3 -> 2, VMS 2",User1,
,Invitación Visita Veterinaria,09/01/2025,"09/01/2025, Vacas frescas",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,02/01/2025,"02/01/2025, Vacas frescas",DR  RAFA (Veterinario),
,Cambio tabla alimentación,22/12/2024,None -> Multiparas-DEL,Admin,
,Cambio de grupo,21/12/2024,"20, RETO -> 3, VMS 3",DelproCliente,
,Parto,20/12/2024,Normal; 7533,DelproCliente,
,Condición corporal,05/12/2024,Condición corporal: 3.75 - DDUP: 508,User1,
,Cambio de grupo,05/12/2024,"100, SECAS -> 20, RETO",User1,
,Diagnósticos/Tratamiento,05/12/2024,Dns: BOLO RUMENSIN; Loc.: DD; Trat: BOLO RUMENSIN; Med: BOLO RUMENSIN 1 d 1X1pcs,User1,008126
,Diagnósticos/Tratamiento,05/12/2024,"Dns: VITAMINA; Loc.: DD; Trat: VIGANTOL (A,D,E); Med: ",User1,
,Diagnósticos/Tratamiento,05/12/2024,Dns: VACUNA; Loc.: DD; Trat: starvacc; Med: STARVAC 1 d 1X2ml Intramuscular,User1,
,Cambio tabla alimentación,21/09/2024,Multiparas-ProduccionLeche -> ,User1,
,Cambio de grupo,21/09/2024,"3, VMS 3 -> 100, SECAS",Roma,
,Secado,21/09/2024,Dry Off,Roma,SE SECO CON 182 DIAS CON CRIA Y 24'34 LITRS DE LECHE  C.C. 3.0
,Cambio de grupo,02/09/2024,"1, VMS 1 -> 3, VMS 3",User1,
,Control de Gestación,15/08/2024,+,User1,
,Control de Gestación,16/05/2024,+,User1,
,Control de Gestación,09/05/2024,+,User1,
,Inseminación,23/03/2024,"Effective Insemination 
Artificial Insemination; Reg. 71631ASO; JAY; Unknown Brand; Roma",Roma,POCO  TUR
,Celo,23/03/2024,Herd Navigator,Roma,
,Diagnósticos/Tratamiento,21/03/2024,Dns: Protocolo sincronizacion; Loc.: DD; Trat: RETIRO DEL CIDR; Med: ,User1,
,Diagnósticos/Tratamiento,14/03/2024,Dns: Vacia; Loc.: DD; Trat: CIDR; Med: ,User1,
,Control de Gestación,14/03/2024,-,User1,VACIA 34 POST. INS
,Inseminación,09/02/2024,Artificial Insemination; 8403141608169; BIG DOLLARS; Unknown Brand; MVZ. GUADALUPE LOPEZ,MVZ. GUADALUPE LOPEZ,
,Celo,09/02/2024,Herd Navigator,MVZ. GUADALUPE LOPEZ,
,Diagnósticos/Tratamiento,01/02/2024,Dns: Vacia; Loc.: DD; Trat: PG2; Med: ,User1,CUERPO LUTEO OVARIO IZQUIERDO
,Control de Gestación,01/02/2024,-,User1,
,Inseminación,24/12/2023,Artificial Insemination; 840003224955987; AltaEXQUISITE; Unknown Brand; Roma,Roma,
,Celo,24/12/2023,Se deja montar,Roma,
,Diagnósticos/Tratamiento,21/12/2023,Dns: Vacia; Loc.: DD; Trat: PG2; Med: ,User1,
,Aborto,21/12/2023,,User1,SSALIO VACIA EN LA REVISION VETERINARIA
,Control de Gestación,22/11/2023,+,User1,
,Invitación Visita Veterinaria,22/11/2023,Diagnostico de Gestacion (>40 dias insem),DR  RAFA (Veterinario),
,Inseminación,08/10/2023,"Effective Insemination 
Artificial Insemination; 8403214541122; HAYK; Unknown Brand; Alfredo",Alfredo,FUE DE PROTOCOLO; POCO TUGENTE 
,Celo,08/10/2023,Otros,Alfredo,
,Cambio tabla alimentación,15/09/2023,Multiparas-DEL -> Multiparas-ProduccionLeche,Admin,
,Diagnósticos/Tratamiento,03/08/2023,Dns: ALTA; Loc.: DD; Trat: ; Med: ,DelproCliente,
,Diagnósticos/Tratamiento,27/07/2023,Dns: Limpiando; Loc.: DD; Trat: ; Med: ,DelproCliente,
,Invitación Visita Veterinaria,27/07/2023,Vacas frescas,DR  RAFA (Veterinario),
,Cambio de grupo,22/07/2023,"3, VMS 3 -> 1, VMS 1",DelproCliente,
,Invitación Visita Veterinaria,20/07/2023,Vacas frescas,DR  RAFA (Veterinario),
,Cambio tabla alimentación,17/07/2023,None -> Multiparas-DEL,Admin,
,Cambio de grupo,16/07/2023,"20, RETO -> 3, VMS 3",DelproCliente,
,Parto,16/07/2023,Normal; 8688,DelproCliente,
,Control de Gestación,13/07/2023,+,DelproCliente,
,Invitación Visita Veterinaria,13/07/2023,Vacas a secar,DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,12/07/2023,Vacas a secar,DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,06/07/2023,Vacas a secar,DR  RAFA (Veterinario),
,Cambio de grupo,05/07/2023,"100, SECAS -> 20, RETO",Alfredo,Sensor de rumia: 7733353
,Condición corporal,05/07/2023,Condición corporal: 4.50 - DDUP: 610,Alfredo,
,Diagnósticos/Tratamiento,05/07/2023,Dns: BOLO RUMENSIN; Loc.: DD; Trat: BOLO RUMENSIN; Med: BOLO RUMENSIN 1 d 1X1pcs,Alfredo,006891
,Diagnósticos/Tratamiento,05/07/2023,Dns: VACUNA; Loc.: DD; Trat: starvacc; Med: STARVAC 1 d 1X2ml Intramuscular,Alfredo,
,Invitación Visita Veterinaria,29/06/2023,Vacas a secar,DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,22/06/2023,Vacas a secar,DR  RAFA (Veterinario),
,Control de Gestación,15/06/2023,+,DelproCliente,
,Invitación Visita Veterinaria,15/06/2023,Vacas a secar,DR  RAFA (Veterinario),
,Control de Gestación,08/06/2023,+,DelproCliente,
,Invitación Visita Veterinaria,08/06/2023,Vacas a secar,DR  RAFA (Veterinario),
,Control de Gestación,01/06/2023,+,DelproCliente,
,Invitación Visita Veterinaria,01/06/2023,Vacas a secar,DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,01/06/2023,Vacas a secar,DR  RAFA (Veterinario),
,Control de Gestación,25/05/2023,+,DelproCliente,
,Invitación Visita Veterinaria,25/05/2023,Vacas a secar,DR  RAFA (Veterinario),
,Control de Gestación,18/05/2023,+,DelproCliente,
,Invitación Visita Veterinaria,18/05/2023,Vacas a secar,DR  RAFA (Veterinario),
,Control de Gestación,16/03/2023,+,User1,
,Invitación Visita Veterinaria,16/03/2023,Reconfirmacion 2 (150-160 dias),DR  RAFA (Veterinario),
,Cambio tabla alimentación,10/03/2023,Primerizas-ProduccionLeche -> ,DelproCliente,
,Condición corporal,10/03/2023,Condición corporal: 3.75 - DDUP: 493,DelproCliente,
,Cambio de grupo,10/03/2023,"3, VMS 3 -> 100, SECAS",DelproCliente,
,Diagnósticos/Tratamiento,10/03/2023,Dns: Secado por baja; Loc.: DD; Trat: CEFA SAFE; Med: CEFA SAFE 1 d 1X4pcs,DelproCliente,
,Diagnósticos/Tratamiento,10/03/2023,Dns: VACUNA; Loc.: DD; Trat: starvacc; Med: STARVAC 1 d 1X2ml Intramuscular,DelproCliente,
,Diagnósticos/Tratamiento,10/03/2023,Dns: VACUNA; Loc.: DD; Trat: ROTAVEC; Med: ,DelproCliente,
,Cambio de grupo,30/01/2023,"1, VMS 1 -> 3, VMS 3",User1,
,Control de Gestación,19/01/2023,+,DelproCliente,
,Invitación Visita Veterinaria,19/01/2023,Reconfirmacion 1 (90-110 dias),DR  RAFA (Veterinario),
,Control de Gestación,24/11/2022,+,User1,
,Cambio ID Transponder,16/11/2022,999000000000023 -> 982000464364411,,
,Cambio de medidor de actividad,16/11/2022,0 -> 3774,,
,Inseminación,16/10/2022,"Effective Insemination 
Artificial Insemination; 8403211394853; PAYLOAD; Unknown Brand; Roma",Roma,
,Celo,16/10/2022,Herd Navigator,Roma,
,Control de Gestación,13/10/2022,-,User1,
,Invitación Visita Veterinaria,13/10/2022,POCO LIQUIDO R7 GnRH,User1,
,Control de Gestación,06/10/2022,?,User1,
,Invitación Visita Veterinaria,29/09/2022,Resynch para GNRH (dias ultima insm 33-39),DR  RAFA (Veterinario),
,Inseminación,27/08/2022,Artificial Insemination; 8403216874976; MAGNUM; Unknown Brand; Alfredo,Alfredo,
,Celo,27/08/2022,Otros,Alfredo,
,Diagnósticos/Tratamiento,18/08/2022,Dns: Vacia; Loc.: DD; Trat: GNRH OVS; Med: ,DelproCliente,"PASO CALOR, 18-08 TENIA  MATAESTRO"
,Control de Gestación,18/08/2022,-,DelproCliente,
,Invitación Visita Veterinaria,18/08/2022,r7 poco liquido,DelproCliente,
,Invitación Visita Veterinaria,04/08/2022,Resynch para GNRH (dias ultima insm 33-39),DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,28/07/2022,Diagnostico de Gestacion (>40 dias insem),DR  RAFA (Veterinario),
,Inseminación,02/07/2022,Artificial Insemination; 8403139851193; DOWNTOWN; Unknown Brand; Roma,Roma,
,Celo,02/07/2022,Herd Navigator,Roma,
