Evento,Tipo de evento,Fecha del evento,Descripción,Usuario,Comentario
,Invitación Visita Veterinaria,18/10/2025,"18/10/2025, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (Veterinario),
,Cambio de grupo,11/09/2025,"1, VMS 1 -> 3, VMS 3",User1,
,Inseminación,07/09/2025,Artificial Insemination; HO84m3212874372; COOKIECUTTER HOKYSMOKES; Unknown Brand; Roma,Roma,TUR CIDR
,Celo,07/09/2025,Herd Navigator,Roma,
,Diagnósticos/Tratamiento,28/08/2025,Dns: Vacia; Loc.: DD; Trat: CIDR; Med: ,User1,
,Control de Gestación,28/08/2025,-,User1,VACIA DE 35 POST.INSEM
,Inseminación,24/07/2025,Artificial Insemination; 8403151003682; TAOS-ET; Unknown Brand; Roma,Roma,de cidr  moco turbio
,Celo,24/07/2025,Herd Navigator,Roma,
,Diagnósticos/Tratamiento,14/07/2025,Dns: Protocolo sincronizacion; Loc.: DD; Trat: CIDR; Med: ,User1,
,Control de Gestación,10/07/2025,-,User1,"VACIA OA, "
,Invitación Visita Veterinaria,10/07/2025,"10/07/2025, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (Veterinario),
,Diagnósticos/Tratamiento,03/07/2025,Dns: Vacia; Loc.: DD; Trat: ; Med: ,User1,
,Invitación Visita Veterinaria,03/07/2025,"03/07/2025, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (Veterinario),
,Inseminación,23/05/2025,Artificial Insemination; 8403151003682; TAOS-ET; Unknown Brand; Roma,Roma,PROTOCOLO RESYNCH
,Celo,23/05/2025,Otros,Roma,
,Diagnósticos/Tratamiento,15/05/2025,Dns: Vacia; Loc.: DD; Trat: PG2; Med: ,User1,
,Control de Gestación,15/05/2025,-,User1,VACIA DE 36 POST INSEM
,Diagnósticos/Tratamiento,09/05/2025,Dns: Mastitis clínica; Loc.: DD; Trat: EMICINA LIQUIDA; Med: EMICINA LIQUIDA 3 d 1X60ml,DelproCliente,
,Diagnósticos/Tratamiento,05/05/2025,Dns: MASTITIS; Loc.: DI; Trat: RILEXINE; Med: RILEXINE 3 d 2X1pcs,Jose Luis,
,Diagnósticos/Tratamiento,05/05/2025,Dns: MASTITIS; Loc.: DI; Trat: HIDROPEN X3; Med: HIDROPEN 3 d 1X30ml Intramuscular,Jose Luis,
,Inseminación,09/04/2025,Artificial Insemination; 8403151003682; TAOS-ET; Unknown Brand; Roma,Roma,utero  tur
,Celo,09/04/2025,Herd Navigator,Roma,
,Cambio tabla alimentación,14/03/2025,Multiparas-DEL -> Multiparas-ProduccionLeche,Admin,
,Cambio de grupo,12/03/2025,"2, VMS 2 -> 1, VMS 1",User1,CORRALEO POR PROYECTO CORRAL 2
,Invitación Visita Veterinaria,20/02/2025,"20/02/2025, Vacas frescas",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,13/02/2025,"13/02/2025, Vacas frescas",DR  RAFA (Veterinario),
