Evento,Tipo de evento,Fecha del evento,Descripción,Usuario,Comentario
,Control de Gestación,09/10/2025,+,User1,CARGADA DE 96
,Invitación Visita Veterinaria,09/10/2025,"09/10/2025, Reconfirmacion 1 (90-110 dias)",DR  RAFA (Veterinario),
,Condición corporal,30/09/2025,Condición corporal: 4.01 - DDUP: 300,Admin,BCS Camera
,Control de Gestación,22/08/2025,+,User1,CARGADA DE 47 POST. INSEM
,Invitación Visita Veterinaria,21/08/2025,"21/08/2025, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (Veterinario),
,Inseminación,05/07/2025,"Effective Insemination 
Artificial Insemination; 8403207410750; ROMELU-ET; Unknown Brand; Roma",Roma,DE CALOR ML TUR --SEXADO
,Celo,05/07/2025,Herd Navigator,Roma,
,Cambio ID Transponder,03/07/2025,982000464364625 -> 982000464364610,,
,Cambio de grupo,16/06/2025,"1, VMS 1 -> 3, VMS 3",User1,
,Diagnósticos/Tratamiento,03/06/2025,Dns: Vacia; Loc.: DD; Trat: PG2; Med: ,User1,
,Inseminación,01/06/2025,Artificial Insemination; HAYK HPP SELECTS; HO8403214541122; Unknown Brand; Roma,Roma,tur
,Celo,01/06/2025,Herd Navigator,Roma,
,Control de Gestación,29/05/2025,-,User1,vacia de 50 post. al prime diagnostico
,Invitación Visita Veterinaria,29/05/2025,"29/05/2025, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,22/05/2025,"22/05/2025, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (Veterinario),
,Control de Gestación,15/05/2025,?,User1,DUDOSA DE 36/ R7
,Inseminación,09/04/2025,Artificial Insemination; HAYK HPP SELECTS; HO8403214541122; Unknown Brand; Jose Zapatero,Jose Zapatero,decalor                                                                                                                                                                                                                                                     
,Celo,09/04/2025,Herd Navigator,Jose Zapatero,
,Control de Gestación,03/04/2025,-,User1,vacia de la reconfirmacion de 47 
,Invitación Visita Veterinaria,03/04/2025,"03/04/2025, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,27/03/2025,"27/03/2025, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (Veterinario),
,Cambio tabla alimentación,25/03/2025,primerizas-DEL -> Primerizas-ProduccionLeche,Admin,
,Inseminación,15/02/2025,Artificial Insemination; 8403214541122; HAYK; Unknown Brand; Roma,Roma,ML TUR
,Celo,15/02/2025,Herd Navigator,Roma,
,Cambio de grupo,10/02/2025,"3, VMS 3 -> 1, VMS 1",User1,
,Invitación Visita Veterinaria,23/01/2025,"23/01/2025, Vacas frescas",DR  RAFA (Veterinario),
,Cambio tabla alimentación,09/01/2025,None -> primerizas-DEL,Admin,
,Invitación Visita Veterinaria,09/01/2025,"09/01/2025, Vacas frescas",DR  RAFA (Veterinario),
,Cambio de grupo,08/01/2025,"102, ESTABLO INICIAL -> 3, VMS 3",User1,
,Invitación Visita Veterinaria,02/01/2025,"02/01/2025, Vacas frescas",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,19/12/2024,"19/12/2024, Vacas frescas",DR  RAFA (Veterinario),
,Cambio tabla alimentación,09/12/2024,primerizas-DEL -> ,User1,
,Cambio de grupo,09/12/2024,"3, VMS 3 -> 102, ESTABLO INICIAL",User1,VACA RE RETENCION PLACENTARIA 
,Cambio tabla alimentación,05/12/2024,None -> primerizas-DEL,Admin,
,Cambio ID Transponder,04/12/2024, -> 982000464364625,,
,Cambio de grupo,04/12/2024,"100, SECAS -> 3, VMS 3",User1,
