Evento,Tipo de evento,Fecha del evento,Descripción,Usuario,Comentario
,Condición corporal,15/10/2025,Condición corporal: 3.60 - DDUP: 300,Admin,BCS Camera
,Control de Gestación,09/10/2025,+,User1,CARGADA DE 155
,Invitación Visita Veterinaria,09/10/2025,"09/10/2025, Reconfirmacion 2 (150-160 dias)",DR  RAFA (Veterinario),
,Cambio de grupo,06/10/2025,"1, VMS 1 -> 3, VMS 3",User1,
,Control de Gestación,08/08/2025,+,User1,CARGADA DE 93
,Invitación Visita Veterinaria,07/08/2025,"07/08/2025, Reconfirmacion 1 (90-110 dias)",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,03/07/2025,"03/07/2025, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (Veterinario),
,Control de Gestación,26/06/2025,+,User1,cargada de 50
,Invitación Visita Veterinaria,26/06/2025,"26/06/2025, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,19/06/2025,"19/06/2025, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (Veterinario),
,Inseminación,07/05/2025,"Effective Insemination 
Artificial Insemination; HO8403245812149; HAVENFUN-RED; Unknown Brand; Roma",Roma,POCO TUR  DE CALOR
,Celo,07/05/2025,Herd Navigator,Roma,
,Inseminación,15/04/2025,Artificial Insemination; 8403214541122; HAYK; Unknown Brand; MVZ. GUADALUPE LOPEZ,MVZ. GUADALUPE LOPEZ,"MOCO CRISTALINIO,UTEO TURGENTE. LO DEJE EN EL SEGUNDO ANILLO, ESTUVO DIFICIL"
,Celo,15/04/2025,Se deja montar,MVZ. GUADALUPE LOPEZ,
,Inseminación,11/04/2025,Artificial Insemination; HAYK HPP SELECTS; HO8403214541122; Unknown Brand; Roma,Roma,uterotur
,Celo,11/04/2025,Herd Navigator,Roma,
,Cambio tabla alimentación,09/04/2025,primerizas-DEL -> Primerizas-ProduccionLeche,Admin,
,Diagnósticos/Tratamiento,03/04/2025,Dns: Vacia; Loc.: DD; Trat: PG2; Med: ,User1,
,Control de Gestación,03/04/2025,-,User1,vacia de 37 post. insem
,Inseminación,25/02/2025,Artificial Insemination; 8403214324421; HIGH OOHM; Unknown Brand; MVZ. GUADALUPE LOPEZ,MVZ. GUADALUPE LOPEZ,"utero turgente, sin moco/ dificil de pasar segundo anillo"
,Celo,25/02/2025,Se deja montar,MVZ. GUADALUPE LOPEZ,
