Evento,Tipo de evento,Fecha del evento,Descripción,Usuario,Comentario
,Cambio de grupo,11/09/2025,"1, VMS 1 -> 3, VMS 3",User1,
,Control de Gestación,11/09/2025,+,User1,cargada de 46
,Inseminación,27/07/2025,"Effective Insemination 
Artificial Insemination; 8403151003682; TAOS-ET; Unknown Brand; Jose Zapatero",Jose Zapatero,tur
,Celo,27/07/2025,Herd Navigator,Jose Zapatero,
,Diagnósticos/Tratamiento,24/07/2025,Dns: Protocolo sincronizacion; Loc.: DD; Trat: RETIRO DEL CIDR; Med: ,User1,
,Diagnósticos/Tratamiento,17/07/2025,Dns: Vacia; Loc.: DD; Trat: CIDR; Med: ,User1,+GNRH
,Aborto,10/07/2025,Generado automáticamente por comprobación de preñez(-),User1,VACIA DE 94 POST. INSEM
,Invitación Visita Veterinaria,10/07/2025,"10/07/2025, Reconfirmacion 1 (90-110 dias)",DR  RAFA (Veterinario),
,Control de Gestación,22/05/2025,+,User1,CARGADA DE 45
,Invitación Visita Veterinaria,22/05/2025,"22/05/2025, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (Veterinario),
,Inseminación,07/04/2025,"Effective Insemination 
Artificial Insemination; 8403151003682; TAOS-ET; Unknown Brand; Roma",Roma,DE    CALOR ML
,Celo,07/04/2025,Herd Navigator,Roma,
,Inseminación,09/03/2025,Artificial Insemination; HOCANM12857690; PURSUIT; Unknown Brand; Roma,Roma,TUR 
,Celo,09/03/2025,Herd Navigator,Roma,
,Diagnósticos/Tratamiento,06/03/2025,Dns: Vacia; Loc.: DD; Trat: PG2; Med: ,User1,
,Control de Gestación,06/03/2025,-,User1,VACIA DE 43 
,Inseminación,22/01/2025,Artificial Insemination; 8403203292278; GRANADA; Unknown Brand; Roma,Roma,UTERO TUR
,Celo,22/01/2025,Herd Navigator,Roma,
,Cambio tabla alimentación,28/12/2024,Multiparas-DEL -> Multiparas-ProduccionLeche,Admin,
,Diagnósticos/Tratamiento,21/11/2024,Dns: ALTA; Loc.: DD; Trat: ; Med: ,User1,
,Invitación Visita Veterinaria,21/11/2024,"21/11/2024, Vacas frescas",DR  RAFA (Veterinario),
,Cambio de grupo,14/11/2024,"3, VMS 3 -> 1, VMS 1",User1,
,Invitación Visita Veterinaria,14/11/2024,"14/11/2024, Vacas frescas",DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,07/11/2024,"07/11/2024, Vacas frescas",DR  RAFA (Veterinario),
,Cambio tabla alimentación,05/11/2024,Multiparas-ProduccionLeche -> Multiparas-DEL,Admin,
,Cambio tabla alimentación,30/10/2024,None -> Multiparas-ProduccionLeche,Admin,
,Cambio de grupo,28/10/2024,"20, RETO -> 3, VMS 3",User1,
,Parto,28/10/2024,Normal; 110,User1,
,Condición corporal,18/10/2024,Condición corporal: 3.25 - DDUP: 391,User1,
,Cambio de grupo,18/10/2024,"100, SECAS -> 20, RETO",User1,
,Diagnósticos/Tratamiento,18/10/2024,Dns: BOLO RUMENSIN; Loc.: DD; Trat: BOLO RUMENSIN; Med: BOLO RUMENSIN 1 d 1X1pcs,User1,007450
,Diagnósticos/Tratamiento,18/10/2024,"Dns: VITAMINA; Loc.: DD; Trat: VIGANTOL (A,D,E); Med: ",User1,
,Diagnósticos/Tratamiento,18/10/2024,Dns: VACUNA; Loc.: DD; Trat: starvacc; Med: STARVAC 1 d 1X2ml Intramuscular,User1,
,Cambio tabla alimentación,29/08/2024,Multiparas-ProduccionLeche -> ,User1,
,Secado,29/08/2024,Dry Off,User1,"SE SECO CON 341 DEL, 24.25 LITROS, 216 DCC. 2 VINS"
,Cambio de grupo,29/08/2024,"3, VMS 3 -> 100, SECAS",User1,
,Invitación Visita Veterinaria,29/08/2024,Vacas a secar,DR  RAFA (Veterinario),
,Cambio de grupo,11/07/2024,"2, VMS 2 -> 3, VMS 3",User1,
,Control de Gestación,27/06/2024,+,User1,
,Invitación Visita Veterinaria,27/06/2024,Reconfirmacion 2 (150-160 dias),DR  RAFA (Veterinario),
,Control de Gestación,25/04/2024,+,User1,
,Invitación Visita Veterinaria,25/04/2024,Reconfirmacion 1 (90-110 dias),DR  RAFA (Veterinario),
,Control de Gestación,14/03/2024,+,User1,
,Invitación Visita Veterinaria,07/03/2024,Diagnostico de Gestacion (>40 dias insem),DR  RAFA (Veterinario),
,Inseminación,26/01/2024,"Effective Insemination 
Artificial Insemination; 8403207410750; ROMELU-ET; Unknown Brand; Roma",Roma,M.L TUR
,Celo,26/01/2024,Herd Navigator,Roma,
,Control de Gestación,18/01/2024,-,User1,salio vacia de 33 POST. INS
,Inseminación,15/12/2023,Artificial Insemination; HO8403215568705; MONRAKER; Unknown Brand; MVZ. GUADALUPE LOPEZ,User1,DE PROTOCOLO INSTF. UTERO TURGENTE
,Celo,15/12/2023,Otros,User1,
,Cambio tabla alimentación,23/11/2023,Multiparas-DEL -> Multiparas-ProduccionLeche,Admin,
,Invitación Visita Veterinaria,09/11/2023,Vacas frescas,DR  RAFA (Veterinario),
,Cambio de grupo,08/11/2023,"3, VMS 3 -> 2, VMS 2",User1,
,Invitación Visita Veterinaria,26/10/2023,Vacas frescas,DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,19/10/2023,Vacas frescas,DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,12/10/2023,Vacas frescas,DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,05/10/2023,Vacas frescas,DR  RAFA (Veterinario),
,Invitación Visita Veterinaria,28/09/2023,Vacas frescas,DR  RAFA (Veterinario),
,Cambio tabla alimentación,24/09/2023,None -> Multiparas-DEL,Admin,
,Cambio de grupo,23/09/2023,"20, RETO -> 3, VMS 3",DelproCliente,
,Notas,23/09/2023,General,DelproCliente,Sensor de rumia: RH7635665
,Parto,23/09/2023,Normal; 1503,DelproCliente,
,Diagnósticos/Tratamiento,09/09/2023,Dns: VACUNA; Loc.: DD; Trat: starvacc; Med: STARVAC 1 d 1X2ml Intramuscular,DelproCliente,
,Cambio de grupo,09/09/2023,"100, SECAS -> 20, RETO",DelproCliente,
,Condición corporal,09/09/2023,Condición corporal: 3.75 - DDUP: 374,DelproCliente,
,Diagnósticos/Tratamiento,09/09/2023,Dns: BOLO RUMENSIN; Loc.: ; Trat: BOLO RUMENSIN; Med: BOLO RUMENSIN 1 d 1X1pcs,DelproCliente,005330
,Cambio tabla alimentación,21/07/2023,Multiparas-ProduccionLeche -> ,DelproCliente,
