Evento,Tipo de evento,Fecha del evento,Descripción,Usuario,Comentario
,Inseminación,03/10/2025,Artificial Insemination; 94797; MBAPPE FERTIGEN ANGUS; Unknown Brand; Jose Zapatero,Jose Zapatero,ml tur
,Celo,03/10/2025,Herd Navigator,Jose Zapatero,
,Diagnósticos/Tratamiento,25/09/2025,Dns: Vacia; Loc.: DD; Trat: CIDR; Med: ,User1,
,Control de Gestación,25/09/2025,-,User1,vacia d 38 post. insem
,Inseminación,18/08/2025,Artificial Insemination; 840M3267428513; BEYONO [NO SEXADO]; Unknown Brand; Roma,Roma,de calo ml
,Celo,18/08/2025,Herd Navigator,Roma,
,Diagnósticos/Tratamiento,07/08/2025,Dns: Vacia; Loc.: DD; Trat: CIDR; Med: ,User1,
,Control de Gestación,07/08/2025,-,User1,VACIA DE 49 POST. INSEM
,Cambio de grupo,30/07/2025,"1, VMS 1 -> 3, VMS 3",User1,
,Inseminación,29/06/2025,Artificial Insemination; 2406261; FETILITY; Unknown Brand; Roma,Roma,fue de protocolo ovsynch
,Celo,29/06/2025,Otros,Roma,
,Diagnósticos/Tratamiento,19/06/2025,Dns: Vacia; Loc.: DD; Trat: CIDR; Med: ,User1,
,Control de Gestación,19/06/2025,-,User1,VACIA DE 46 PODT. INSEM
,Invitación Visita Veterinaria,19/06/2025,"19/06/2025, Diagnostico de Gestacion (>40 dias insem)",DR  RAFA (Veterinario),
,Inseminación,04/05/2025,Artificial Insemination; 8403213816034; REWAED-RED-ET; Unknown Brand; Jose Zapatero,Jose Zapatero,U  TUR
,Inseminación,04/05/2025,Artificial Insemination; 8403213816034; REWAED-RED-ET; Unknown Brand; Roma,Roma,ES DE CIDR
,Celo,04/05/2025,Otros,Roma,
,Diagnósticos/Tratamiento,24/04/2025,Dns: Protocolo sincronizacion; Loc.: DD; Trat: CIDR; Med: ,User1,
,Control de Gestación,24/04/2025,-,User1,VACIA DE 34 POST. INSEM
,Inseminación,21/03/2025,Artificial Insemination; 8403151003682; TAOS-ET; Unknown Brand; Roma,Roma,ML TUR
,Celo,21/03/2025,Herd Navigator,Roma,
,Control de Gestación,13/03/2025,-,User1,VACIA DE 40 POST. INSEM
,Inseminación,01/02/2025,Artificial Insemination; 8403214324421; HIGH OOHM; Unknown Brand; Roma,Roma,utero poco tur
,Celo,01/02/2025,Herd Navigator,Roma,
,Diagnósticos/Tratamiento,09/01/2025,Dns: Protocolo sincronizacion; Loc.: DD; Trat: PG2; Med: ,User1,
